split,file_name,primary_class,object_count
train,00059349.jpg,car,2
train,00080720.jpg,car,3
train,00011015.jpg,car,2
train,00040198.jpg,pickup_truck,4
train,00058484.jpg,car,3
train,00099389.jpg,car,2
train,00055635.jpg,car,10
train,00070450.jpg,car,3
train,00057375.jpg,car,5
train,00091696.jpg,car,1
train,00058246.jpg,car,2
train,00058386.jpg,car,4
train,00072223.jpg,pickup_truck,1
train,00013642.jpg,car,15
train,00086228.jpg,car,5
train,00073240.jpg,car,2
train,00017685.jpg,pickup_truck,1
train,00040532.jpg,pickup_truck,1
train,00107856.jpg,work_van,1
train,00005612.jpg,car,2
train,00027986.jpg,car,3
train,00065465.jpg,car,1
train,00022790.jpg,car,2
train,00002769.jpg,car,6
train,00030846.jpg,car,2
train,00050929.jpg,car,1
train,00043947.jpg,bus,1
train,00065295.jpg,car,4
train,00097292.jpg,car,1
train,00068075.jpg,car,4
train,00028554.jpg,work_van,2
train,00073000.jpg,pickup_truck,1
train,00035112.jpg,motorized_vehicle,3
train,00092627.jpg,car,1
train,00016537.jpg,car,3
train,00012263.jpg,single_unit_truck,3
train,00103298.jpg,car,5
train,00025242.jpg,car,2
train,00096869.jpg,car,6
train,00102408.jpg,car,2
train,00031785.jpg,car,1
train,00023213.jpg,car,4
train,00018020.jpg,car,4
train,00061866.jpg,car,2
train,00049347.jpg,pickup_truck,1
train,00003443.jpg,car,1
train,00059799.jpg,car,5
train,00076496.jpg,car,1
train,00082860.jpg,car,2
train,00097473.jpg,car,18
train,00066109.jpg,car,1
train,00035895.jpg,bus,2
train,00064228.jpg,bus,1
train,00082870.jpg,car,2
train,00036424.jpg,car,9
train,00088236.jpg,car,2
train,00023104.jpg,bus,1
train,00005015.jpg,motorcycle,1
train,00005583.jpg,car,12
train,00033844.jpg,car,4
train,00044435.jpg,car,3
train,00024899.jpg,car,1
train,00017303.jpg,car,6
train,00074903.jpg,car,4
train,00017310.jpg,car,1
train,00094697.jpg,bus,2
train,00088791.jpg,car,1
train,00041115.jpg,car,4
train,00110127.jpg,articulated_truck,1
train,00026599.jpg,car,3
train,00012586.jpg,car,3
train,00029634.jpg,car,1
train,00087913.jpg,pickup_truck,2
train,00069231.jpg,car,3
train,00075214.jpg,car,2
train,00096144.jpg,car,3
train,00108359.jpg,motorized_vehicle,2
train,00000660.jpg,car,5
train,00079463.jpg,motorized_vehicle,7
train,00032685.jpg,car,2
train,00023987.jpg,car,1
train,00047077.jpg,car,1
train,00021521.jpg,car,1
train,00077990.jpg,car,2
train,00004147.jpg,car,1
train,00058104.jpg,car,1
train,00023326.jpg,car,5
train,00036074.jpg,car,4
train,00033452.jpg,pickup_truck,8
train,00034485.jpg,pickup_truck,2
train,00087961.jpg,car,1
train,00042681.jpg,work_van,2
train,00025461.jpg,car,2
train,00046334.jpg,car,2
train,00059536.jpg,car,11
train,00016683.jpg,car,6
train,00027250.jpg,car,1
train,00055033.jpg,car,5
train,00073454.jpg,car,1
train,00043576.jpg,car,4
train,00095951.jpg,car,2
train,00027432.jpg,motorized_vehicle,1
train,00025561.jpg,car,1
train,00043462.jpg,car,4
train,00015044.jpg,car,2
train,00040111.jpg,car,3
train,00048277.jpg,car,3
train,00077933.jpg,pickup_truck,2
train,00054726.jpg,car,2
train,00002966.jpg,car,2
train,00086608.jpg,pickup_truck,1
train,00034548.jpg,car,4
train,00056261.jpg,car,1
train,00000384.jpg,car,1
train,00068600.jpg,car,9
train,00065931.jpg,car,6
train,00028307.jpg,pickup_truck,1
train,00108032.jpg,car,5
train,00018984.jpg,articulated_truck,3
train,00070280.jpg,bus,1
train,00035711.jpg,car,2
train,00050585.jpg,car,1
train,00105478.jpg,car,8
train,00044300.jpg,car,3
train,00078179.jpg,car,2
train,00014551.jpg,car,4
train,00096852.jpg,car,1
train,00041300.jpg,car,1
train,00097681.jpg,pickup_truck,1
train,00029930.jpg,car,3
train,00011191.jpg,pickup_truck,2
train,00035014.jpg,non_motorized_vehicle,3
train,00029935.jpg,car,5
train,00013410.jpg,car,11
train,00081722.jpg,pickup_truck,1
train,00066086.jpg,car,2
train,00008126.jpg,pickup_truck,4
train,00023688.jpg,car,2
train,00087863.jpg,car,1
train,00110502.jpg,car,2
