layer_id,type,noise_std_ratio,map50_95,map50,drop_map50_95,drop_map50
baseline,none,1.2,0.506632,0.690055,0.000000,0.000000
0,Conv,1.2,0.065716,0.099764,0.440916,0.590291
1,Conv,1.2,0.199891,0.297920,0.306741,0.392135
2,C3k2,1.2,0.447731,0.620584,0.058901,0.069472
3,Conv,1.2,0.248601,0.355401,0.258031,0.334654
4,C3k2,1.2,0.472949,0.660127,0.033683,0.029928
5,Conv,1.2,0.427052,0.590254,0.079580,0.099801
6,C3k2,1.2,0.478560,0.650586,0.028073,0.039469
7,Conv,1.2,0.486875,0.663839,0.019757,0.026216
8,C3k2,1.2,0.437130,0.601833,0.069502,0.088222
9,SPPF,1.2,0.446487,0.613747,0.060146,0.076308
10,C2PSA,1.2,0.470590,0.647324,0.036042,0.042731
11,Upsample,1.2,0.490131,0.674079,0.016501,0.015976
12,Concat,1.2,0.469926,0.648878,0.036706,0.041177
13,C3k2,1.2,0.463549,0.651774,0.043083,0.038281
14,Upsample,1.2,0.488165,0.675265,0.018468,0.014791
15,Concat,1.2,0.472398,0.658084,0.034235,0.031971
16,C3k2,1.2,0.433686,0.581791,0.072946,0.108265
17,Conv,1.2,0.494969,0.683079,0.011663,0.006976
18,Concat,1.2,0.488956,0.675842,0.017677,0.014214
19,C3k2,1.2,0.412849,0.586817,0.093783,0.103238
20,Conv,1.2,0.503499,0.687672,0.003134,0.002384
21,Concat,1.2,0.504790,0.690177,0.001843,-0.000122
22,C3k2,1.2,0.417266,0.600848,0.089366,0.089207
