layer_id,type,from,params,mean_latency_ms,latency_percent,output_shape
0,Conv,-1,464,3.539604,2.352041,"[1, 16, 320, 320]"
1,Conv,-1,4672,3.732147,2.479985,"[1, 32, 160, 160]"
2,C3k2,-1,6640,9.743769,6.474664,"[1, 64, 160, 160]"
3,Conv,-1,36992,4.289915,2.850617,"[1, 64, 80, 80]"
4,C3k2,-1,26080,6.354869,4.222764,"[1, 128, 80, 80]"
5,Conv,-1,147712,3.771343,2.506030,"[1, 128, 40, 40]"
6,C3k2,-1,87040,8.223077,5.464175,"[1, 128, 40, 40]"
7,Conv,-1,295424,2.278540,1.514073,"[1, 256, 20, 20]"
8,C3k2,-1,346112,7.866549,5.227265,"[1, 256, 20, 20]"
9,SPPF,-1,164608,10.681995,7.098108,"[1, 256, 20, 20]"
10,C2PSA,-1,249728,7.108940,4.723839,"[1, 256, 20, 20]"
11,Upsample,-1,0,0.781722,0.519449,"[1, 256, 40, 40]"
12,Concat,"[-1, 6]",0,0.198674,0.132017,"[1, 384, 40, 40]"
13,C3k2,-1,119808,9.049358,6.013233,"[1, 128, 40, 40]"
14,Upsample,-1,0,0.805258,0.535088,"[1, 128, 80, 80]"
15,Concat,"[-1, 4]",0,0.708978,0.471111,"[1, 256, 80, 80]"
16,C3k2,-1,34304,10.769844,7.156483,"[1, 64, 80, 80]"
17,Conv,-1,36992,1.558709,1.035751,"[1, 64, 40, 40]"
18,Concat,"[-1, 13]",0,0.148366,0.098588,"[1, 192, 40, 40]"
19,C3k2,-1,95232,8.333276,5.537401,"[1, 128, 40, 40]"
20,Conv,-1,147712,1.515446,1.007003,"[1, 128, 20, 20]"
21,Concat,"[-1, 10]",0,0.117379,0.077997,"[1, 384, 20, 20]"
22,C3k2,-1,463104,9.477111,6.297471,"[1, 256, 20, 20]"
23,Detect,"[16, 19, 22]",245466,39.435867,26.204847,"[[1, 300, 6], dict]"
