pruning_method,layer_id,amount_tested,method,model_path,split,size_mb,total_params,zero_params,zero_param_percent,map50_95,map50,drop_map50_95,drop_map50,preprocess_ms,inference_ms,postprocess_ms,latency_ms,fps,target_layers,amount,note
l1_unstructured,0,0.05,L1 unstructured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l1_unstructured_amount_sweep/layer_0_amt_0p05/yolo26n_l1_layer_0_amt_0p05.pt,val,4.726157,2376981,25,0.001052,0.506218,0.689714,0.000414,0.000341,0.282883,0.973776,0.049266,1.305925,765.740571,0,0.05,mask-based unstructured pruning; sparse weights with unchanged architecture shape
l1_unstructured,0,0.10,L1 unstructured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l1_unstructured_amount_sweep/layer_0_amt_0p10/yolo26n_l1_layer_0_amt_0p10.pt,val,4.726157,2376981,46,0.001935,0.508460,0.688729,-0.001828,0.001327,0.255955,0.998516,0.072513,1.326984,753.588762,0,0.1,mask-based unstructured pruning; sparse weights with unchanged architecture shape
l1_unstructured,0,0.20,L1 unstructured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l1_unstructured_amount_sweep/layer_0_amt_0p20/yolo26n_l1_layer_0_amt_0p20.pt,val,4.726157,2376981,89,0.003744,0.418903,0.583251,0.087729,0.106804,0.258593,0.986357,0.066287,1.311236,762.639115,0,0.2,mask-based unstructured pruning; sparse weights with unchanged architecture shape
l1_unstructured,0,0.30,L1 unstructured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l1_unstructured_amount_sweep/layer_0_amt_0p30/yolo26n_l1_layer_0_amt_0p30.pt,val,4.726157,2376981,133,0.005595,0.264047,0.380511,0.242586,0.309544,0.278110,0.998659,0.048178,1.324946,754.747480,0,0.3,mask-based unstructured pruning; sparse weights with unchanged architecture shape
l1_unstructured,0,0.40,L1 unstructured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l1_unstructured_amount_sweep/layer_0_amt_0p40/yolo26n_l1_layer_0_amt_0p40.pt,val,4.726157,2376981,176,0.007404,0.159644,0.222746,0.346988,0.467310,0.262491,0.982827,0.056297,1.301615,768.276124,0,0.4,mask-based unstructured pruning; sparse weights with unchanged architecture shape
l1_unstructured,0,0.50,L1 unstructured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l1_unstructured_amount_sweep/layer_0_amt_0p50/yolo26n_l1_layer_0_amt_0p50.pt,val,4.726157,2376981,219,0.009213,0.018311,0.030356,0.488322,0.659699,0.260367,1.009486,0.065734,1.335588,748.734063,0,0.5,mask-based unstructured pruning; sparse weights with unchanged architecture shape
l1_unstructured,1,0.05,L1 unstructured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l1_unstructured_amount_sweep/layer_1_amt_0p05/yolo26n_l1_layer_1_amt_0p05.pt,val,4.726157,2376981,233,0.009802,0.506433,0.689545,0.000200,0.000510,0.278415,0.983348,0.066750,1.328514,752.720888,1,0.05,mask-based unstructured pruning; sparse weights with unchanged architecture shape
l1_unstructured,1,0.10,L1 unstructured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l1_unstructured_amount_sweep/layer_1_amt_0p10/yolo26n_l1_layer_1_amt_0p10.pt,val,4.726157,2376981,464,0.019521,0.505760,0.689036,0.000872,0.001019,0.278179,0.995062,0.072700,1.345941,742.974608,1,0.1,mask-based unstructured pruning; sparse weights with unchanged architecture shape
l1_unstructured,1,0.20,L1 unstructured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l1_unstructured_amount_sweep/layer_1_amt_0p20/yolo26n_l1_layer_1_amt_0p20.pt,val,4.726157,2376981,925,0.038915,0.506921,0.693057,-0.000289,-0.003001,0.249840,0.981221,0.071609,1.302670,767.654360,1,0.2,mask-based unstructured pruning; sparse weights with unchanged architecture shape
l1_unstructured,1,0.30,L1 unstructured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l1_unstructured_amount_sweep/layer_1_amt_0p30/yolo26n_l1_layer_1_amt_0p30.pt,val,4.726157,2376981,1385,0.058267,0.501910,0.687123,0.004722,0.002932,0.260479,1.002401,0.068264,1.331145,751.233197,1,0.3,mask-based unstructured pruning; sparse weights with unchanged architecture shape
