pruning_method,layer_id,amount_tested,method,model_path,split,size_mb,total_params,zero_params,zero_param_percent,map50_95,map50,drop_map50_95,drop_map50,preprocess_ms,inference_ms,postprocess_ms,latency_ms,fps,target_layers,amount,note,safe_under_threshold
l1_unstructured,0,0.10,L1 unstructured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l1_unstructured_amount_sweep/layer_0_amt_0p10/yolo26n_l1_layer_0_amt_0p10.pt,val,4.726157,2376981,46,0.001935,0.508460,0.688729,-0.001828,0.001327,0.255955,0.998516,0.072513,1.326984,753.588762,0,0.1,mask-based unstructured pruning; sparse weights with unchanged architecture shape,yes
l1_unstructured,1,0.50,L1 unstructured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l1_unstructured_amount_sweep/layer_1_amt_0p50/yolo26n_l1_layer_1_amt_0p50.pt,val,4.726157,2376981,2307,0.097056,0.487480,0.669459,0.019153,0.020596,0.282077,0.990768,0.061010,1.333854,749.707008,1,0.5,mask-based unstructured pruning; sparse weights with unchanged architecture shape,yes
l1_unstructured,2,0.40,L1 unstructured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l1_unstructured_amount_sweep/layer_2_amt_0p40/yolo26n_l1_layer_2_amt_0p40.pt,val,4.726157,2376981,2564,0.107868,0.498702,0.681062,0.007931,0.008993,0.256677,0.971865,0.042513,1.271054,786.748577,2,0.4,mask-based unstructured pruning; sparse weights with unchanged architecture shape,yes
l1_unstructured,3,0.50,L1 unstructured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l1_unstructured_amount_sweep/layer_3_amt_0p50/yolo26n_l1_layer_3_amt_0p50.pt,val,4.726157,2376981,18435,0.775564,0.508698,0.695688,-0.002065,-0.005632,0.279444,0.986084,0.075421,1.340949,745.740603,3,0.5,mask-based unstructured pruning; sparse weights with unchanged architecture shape,yes
l1_unstructured,4,0.30,L1 unstructured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l1_unstructured_amount_sweep/layer_4_amt_0p30/yolo26n_l1_layer_4_amt_0p30.pt,val,4.726157,2376981,7682,0.323183,0.488375,0.675047,0.018257,0.015008,0.294354,1.003324,0.094851,1.392529,718.117814,4,0.3,mask-based unstructured pruning; sparse weights with unchanged architecture shape,yes
l1_unstructured,5,0.50,L1 unstructured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l1_unstructured_amount_sweep/layer_5_amt_0p50/yolo26n_l1_layer_5_amt_0p50.pt,val,4.726157,2376981,73731,3.101876,0.507110,0.686895,-0.000477,0.003161,0.321478,0.975637,0.043942,1.341057,745.680427,5,0.5,mask-based unstructured pruning; sparse weights with unchanged architecture shape,yes
l1_unstructured,6,0.40,L1 unstructured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l1_unstructured_amount_sweep/layer_6_amt_0p40/yolo26n_l1_layer_6_amt_0p40.pt,val,4.726157,2376981,34407,1.447508,0.491914,0.671179,0.014718,0.018876,0.268363,0.985264,0.077736,1.331363,751.110218,6,0.4,mask-based unstructured pruning; sparse weights with unchanged architecture shape,yes
l1_unstructured,7,0.50,L1 unstructured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l1_unstructured_amount_sweep/layer_7_amt_0p50/yolo26n_l1_layer_7_amt_0p50.pt,val,4.726157,2376981,147459,6.203626,0.510988,0.692249,-0.004355,-0.002194,0.270962,0.997348,0.070222,1.338533,747.086601,7,0.5,mask-based unstructured pruning; sparse weights with unchanged architecture shape,yes
l1_unstructured,8,0.50,L1 unstructured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l1_unstructured_amount_sweep/layer_8_amt_0p50/yolo26n_l1_layer_8_amt_0p50.pt,val,4.726157,2376981,172035,7.237542,0.495540,0.671236,0.011092,0.018819,0.292350,0.973054,0.045597,1.311000,762.776342,8,0.5,mask-based unstructured pruning; sparse weights with unchanged architecture shape,yes
l1_unstructured,9,0.50,L1 unstructured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l1_unstructured_amount_sweep/layer_9_amt_0p50/yolo26n_l1_layer_9_amt_0p50.pt,val,4.726157,2376981,81923,3.446515,0.506917,0.691306,-0.000285,-0.001251,0.270845,0.981460,0.049446,1.301751,768.196280,9,0.5,mask-based unstructured pruning; sparse weights with unchanged architecture shape,yes
