layer_id,layer_type,conv_name,total_weights,pruned_weights,amount,new_zero_weights
10,C2PSA,cv1.conv,65536,6554,0.1,6554
10,C2PSA,cv2.conv,65536,6554,0.1,6554
10,C2PSA,m.0.attn.qkv.conv,32768,3277,0.1,3277
10,C2PSA,m.0.attn.proj.conv,16384,1638,0.1,1638
10,C2PSA,m.0.attn.pe.conv,1152,115,0.1,115
10,C2PSA,m.0.ffn.0.conv,32768,3277,0.1,3277
10,C2PSA,m.0.ffn.1.conv,32768,3277,0.1,3277
6,C3k2,cv1.conv,16384,1638,0.1,1638
6,C3k2,cv2.conv,24576,2458,0.1,2458
6,C3k2,m.0.cv1.conv,2048,205,0.1,205
6,C3k2,m.0.cv2.conv,2048,205,0.1,205
6,C3k2,m.0.cv3.conv,4096,410,0.1,410
6,C3k2,m.0.m.0.cv1.conv,9216,922,0.1,922
6,C3k2,m.0.m.0.cv2.conv,9216,922,0.1,922
6,C3k2,m.0.m.1.cv1.conv,9216,922,0.1,922
6,C3k2,m.0.m.1.cv2.conv,9216,922,0.1,922
13,C3k2,cv1.conv,49152,4915,0.1,4915
13,C3k2,cv2.conv,24576,2458,0.1,2458
13,C3k2,m.0.cv1.conv,2048,205,0.1,205
13,C3k2,m.0.cv2.conv,2048,205,0.1,205
13,C3k2,m.0.cv3.conv,4096,410,0.1,410
13,C3k2,m.0.m.0.cv1.conv,9216,922,0.1,922
13,C3k2,m.0.m.0.cv2.conv,9216,922,0.1,922
13,C3k2,m.0.m.1.cv1.conv,9216,922,0.1,922
13,C3k2,m.0.m.1.cv2.conv,9216,922,0.1,922
16,C3k2,cv1.conv,16384,1638,0.1,1638
16,C3k2,cv2.conv,6144,614,0.1,614
16,C3k2,m.0.cv1.conv,512,51,0.1,51
16,C3k2,m.0.cv2.conv,512,51,0.1,51
16,C3k2,m.0.cv3.conv,1024,102,0.1,102
16,C3k2,m.0.m.0.cv1.conv,2304,230,0.1,230
16,C3k2,m.0.m.0.cv2.conv,2304,230,0.1,230
16,C3k2,m.0.m.1.cv1.conv,2304,230,0.1,230
16,C3k2,m.0.m.1.cv2.conv,2304,230,0.1,230
