pruning_method,combo_layers,combo_size,amount_tested,method,model_path,split,size_mb,total_params,zero_params,zero_param_percent,map50_95,map50,drop_map50_95,drop_map50,preprocess_ms,inference_ms,postprocess_ms,latency_ms,fps,target_layers,amount,note
l1_unstructured,"20,10,6,13,22,16",6,0.20,L1 unstructured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l1_unstructured_combo_top6_amt_0p20/combo_20_10_6_13_22_16_amt_0p20/yolo26n_l1_combo_20_10_6_13_22_16_amt_0p20.pt,val,4.730317,2376981,218575,9.195488,0.499182,0.681810,0.007450,0.008245,0.242032,0.972469,0.043497,1.257998,794.913962,"20,10,6,13,22,16",0.2,mask-based unstructured pruning; sparse weights with unchanged architecture shape
l1_unstructured,"20,10,6,13,22",5,0.20,L1 unstructured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l1_unstructured_combo_top6_amt_0p20/combo_20_10_6_13_22_amt_0p20/yolo26n_l1_combo_20_10_6_13_22_amt_0p20.pt,val,4.729522,2376981,211816,8.911136,0.500218,0.682259,0.006415,0.007796,0.268292,1.001819,0.055396,1.325507,754.428024,"20,10,6,13,22",0.2,mask-based unstructured pruning; sparse weights with unchanged architecture shape
l1_unstructured,"20,10,13,22,16",5,0.20,L1 unstructured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l1_unstructured_combo_top6_amt_0p20/combo_20_10_13_22_16_amt_0p20/yolo26n_l1_combo_20_10_13_22_16_amt_0p20.pt,val,4.729848,2376981,201372,8.471755,0.504057,0.686395,0.002575,0.003660,0.244059,0.997454,0.091044,1.332557,750.437125,"20,10,13,22,16",0.2,mask-based unstructured pruning; sparse weights with unchanged architecture shape
l1_unstructured,"20,10,6,22,16",5,0.20,L1 unstructured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l1_unstructured_combo_top6_amt_0p20/combo_20_10_6_22_16_amt_0p20/yolo26n_l1_combo_20_10_6_22_16_amt_0p20.pt,val,4.729522,2376981,194819,8.196069,0.503538,0.684479,0.003095,0.005576,0.248916,0.970820,0.039638,1.259374,794.045119,"20,10,6,22,16",0.2,mask-based unstructured pruning; sparse weights with unchanged architecture shape
l1_unstructured,"20,10,13,22",4,0.20,L1 unstructured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l1_unstructured_combo_top6_amt_0p20/combo_20_10_13_22_amt_0p20/yolo26n_l1_combo_20_10_13_22_amt_0p20.pt,val,4.728259,2376981,194613,8.187402,0.504265,0.687154,0.002368,0.002902,0.282026,1.001918,0.073921,1.357865,736.450267,"20,10,13,22",0.2,mask-based unstructured pruning; sparse weights with unchanged architecture shape
l1_unstructured,"10,6,13,22,16",5,0.20,L1 unstructured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l1_unstructured_combo_top6_amt_0p20/combo_10_6_13_22_16_amt_0p20/yolo26n_l1_combo_10_6_13_22_16_amt_0p20.pt,val,4.729583,2376981,189084,7.954796,0.499296,0.682019,0.007336,0.008036,0.275186,0.986926,0.079600,1.341711,745.316796,"10,6,13,22,16",0.2,mask-based unstructured pruning; sparse weights with unchanged architecture shape
l1_unstructured,"20,10,6,22",4,0.20,L1 unstructured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l1_unstructured_combo_top6_amt_0p20/combo_20_10_6_22_amt_0p20/yolo26n_l1_combo_20_10_6_22_amt_0p20.pt,val,4.728055,2376981,188060,7.911717,0.504110,0.685278,0.002522,0.004777,0.275440,0.986632,0.043554,1.305626,765.915931,"20,10,6,22",0.2,mask-based unstructured pruning; sparse weights with unchanged architecture shape
l1_unstructured,"10,6,13,22",4,0.20,L1 unstructured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l1_unstructured_combo_top6_amt_0p20/combo_10_6_13_22_amt_0p20/yolo26n_l1_combo_10_6_13_22_amt_0p20.pt,val,4.728055,2376981,182325,7.670444,0.500617,0.683014,0.006015,0.007041,0.265037,1.006767,0.072682,1.344486,743.778433,"10,6,13,22",0.2,mask-based unstructured pruning; sparse weights with unchanged architecture shape
l1_unstructured,"20,10,22,16",4,0.20,L1 unstructured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l1_unstructured_combo_top6_amt_0p20/combo_20_10_22_16_amt_0p20/yolo26n_l1_combo_20_10_22_16_amt_0p20.pt,val,4.728259,2376981,177616,7.472336,0.505637,0.687633,0.000995,0.002422,0.287265,0.984613,0.071433,1.343311,744.428987,"20,10,22,16",0.2,mask-based unstructured pruning; sparse weights with unchanged architecture shape
l1_unstructured,"10,13,22,16",4,0.20,L1 unstructured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l1_unstructured_combo_top6_amt_0p20/combo_10_13_22_16_amt_0p20/yolo26n_l1_combo_10_13_22_16_amt_0p20.pt,val,4.728259,2376981,171881,7.231063,0.503863,0.686125,0.002769,0.003930,0.266892,0.984352,0.076174,1.327418,753.342255,"10,13,22,16",0.2,mask-based unstructured pruning; sparse weights with unchanged architecture shape
l1_unstructured,"20,10,22",3,0.20,L1 unstructured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l1_unstructured_combo_top6_amt_0p20/combo_20_10_22_amt_0p20/yolo26n_l1_combo_20_10_22_amt_0p20.pt,val,4.727586,2376981,170857,7.187983,0.506718,0.688192,-0.000085,0.001863,0.241324,0.987296,0.066432,1.295052,772.169924,"20,10,22",0.2,mask-based unstructured pruning; sparse weights with unchanged architecture shape
l1_unstructured,"20,6,13,22,16",5,0.20,L1 unstructured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l1_unstructured_combo_top6_amt_0p20/combo_20_6_13_22_16_amt_0p20/yolo26n_l1_combo_20_6_13_22_16_amt_0p20.pt,val,4.729522,2376981,169192,7.117937,0.501766,0.684569,0.004867,0.005486,0.262442,0.993946,0.096506,1.352895,739.155865,"20,6,13,22,16",0.2,mask-based unstructured pruning; sparse weights with unchanged architecture shape
l1_unstructured,"10,6,22,16",4,0.20,L1 unstructured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l1_unstructured_combo_top6_amt_0p20/combo_10_6_22_16_amt_0p20/yolo26n_l1_combo_10_6_22_16_amt_0p20.pt,val,4.728055,2376981,165328,6.955377,0.504384,0.685516,0.002248,0.004539,0.264595,0.973720,0.050014,1.288329,776.199521,"10,6,22,16",0.2,mask-based unstructured pruning; sparse weights with unchanged architecture shape
l1_unstructured,"10,13,22",3,0.20,L1 unstructured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l1_unstructured_combo_top6_amt_0p20/combo_10_13_22_amt_0p20/yolo26n_l1_combo_10_13_22_amt_0p20.pt,val,4.727647,2376981,165122,6.946711,0.503727,0.686932,0.002905,0.003123,0.288452,0.989234,0.041081,1.318767,758.283994,"10,13,22",0.2,mask-based unstructured pruning; sparse weights with unchanged architecture shape
l1_unstructured,"20,6,13,22",4,0.20,L1 unstructured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l1_unstructured_combo_top6_amt_0p20/combo_20_6_13_22_amt_0p20/yolo26n_l1_combo_20_6_13_22_amt_0p20.pt,val,4.728055,2376981,162433,6.833584,0.502142,0.685919,0.004490,0.004136,0.277259,0.995306,0.091772,1.364337,732.956976,"20,6,13,22",0.2,mask-based unstructured pruning; sparse weights with unchanged architecture shape
l1_unstructured,"10,6,22",3,0.20,L1 unstructured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l1_unstructured_combo_top6_amt_0p20/combo_10_6_22_amt_0p20/yolo26n_l1_combo_10_6_22_amt_0p20.pt,val,4.727443,2376981,158569,6.671025,0.504186,0.685341,0.002447,0.004714,0.275001,0.974121,0.044107,1.293230,773.257952,"10,6,22",0.2,mask-based unstructured pruning; sparse weights with unchanged architecture shape
l1_unstructured,"20,13,22,16",4,0.20,L1 unstructured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l1_unstructured_combo_top6_amt_0p20/combo_20_13_22_16_amt_0p20/yolo26n_l1_combo_20_13_22_16_amt_0p20.pt,val,4.728259,2376981,151989,6.394203,0.504312,0.687957,0.002320,0.002098,0.241156,0.982812,0.101552,1.325520,754.420643,"20,13,22,16",0.2,mask-based unstructured pruning; sparse weights with unchanged architecture shape
l1_unstructured,"10,22,16",3,0.20,L1 unstructured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l1_unstructured_combo_top6_amt_0p20/combo_10_22_16_amt_0p20/yolo26n_l1_combo_10_22_16_amt_0p20.pt,val,4.727647,2376981,148125,6.231644,0.505418,0.687499,0.001215,0.002556,0.253431,0.973793,0.050269,1.277492,782.783776,"10,22,16",0.2,mask-based unstructured pruning; sparse weights with unchanged architecture shape
