pruning_method,layer_id,amount_tested,method,model_path,split,size_mb,total_params,zero_params,zero_param_percent,map50_95,map50,drop_map50_95,drop_map50,preprocess_ms,inference_ms,postprocess_ms,latency_ms,fps,target_layers,amount,note
l2_structured,0,0.05,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_amount_sweep/layer_0_amt_0p05/yolo26n_l2_layer_0_amt_0p05.pt,val,4.726157,2376981,30,0.001262,0.431097,0.586205,0.075536,0.103850,0.258264,0.993331,0.087744,1.339339,746.636934,0,0.05,mask-based structured pruning; architecture shape unchanged
l2_structured,0,0.10,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_amount_sweep/layer_0_amt_0p10/yolo26n_l2_layer_0_amt_0p10.pt,val,4.726157,2376981,57,0.002398,0.436055,0.591533,0.070578,0.098523,0.268531,0.972749,0.047399,1.288678,775.988855,0,0.1,mask-based structured pruning; architecture shape unchanged
l2_structured,0,0.20,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_amount_sweep/layer_0_amt_0p20/yolo26n_l2_layer_0_amt_0p20.pt,val,4.726157,2376981,84,0.003534,0.408297,0.554118,0.098335,0.135937,0.258652,0.994023,0.088023,1.340699,745.879603,0,0.2,mask-based structured pruning; architecture shape unchanged
l2_structured,0,0.30,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_amount_sweep/layer_0_amt_0p30/yolo26n_l2_layer_0_amt_0p30.pt,val,4.726157,2376981,138,0.005806,0.371243,0.497059,0.135389,0.192997,0.258603,0.973122,0.050391,1.282116,779.960740,0,0.3,mask-based structured pruning; architecture shape unchanged
l2_structured,0,0.40,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_amount_sweep/layer_0_amt_0p40/yolo26n_l2_layer_0_amt_0p40.pt,val,4.726157,2376981,165,0.006942,0.278182,0.392187,0.228451,0.297868,0.245921,0.984965,0.065869,1.296755,771.155506,0,0.4,mask-based structured pruning; architecture shape unchanged
l2_structured,0,0.50,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_amount_sweep/layer_0_amt_0p50/yolo26n_l2_layer_0_amt_0p50.pt,val,4.726157,2376981,219,0.009213,0.204640,0.286181,0.301992,0.403874,0.262228,0.984734,0.060480,1.307443,764.851927,0,0.5,mask-based structured pruning; architecture shape unchanged
l2_structured,1,0.05,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_amount_sweep/layer_1_amt_0p05/yolo26n_l2_layer_1_amt_0p05.pt,val,4.726157,2376981,291,0.012242,0.367683,0.489755,0.138949,0.200300,0.241007,0.972008,0.042657,1.255673,796.385573,1,0.05,mask-based structured pruning; architecture shape unchanged
l2_structured,1,0.10,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_amount_sweep/layer_1_amt_0p10/yolo26n_l2_layer_1_amt_0p10.pt,val,4.726157,2376981,435,0.018301,0.276425,0.383864,0.230207,0.306191,0.243319,0.985496,0.079292,1.308107,764.463568,1,0.1,mask-based structured pruning; architecture shape unchanged
l2_structured,1,0.20,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_amount_sweep/layer_1_amt_0p20/yolo26n_l2_layer_1_amt_0p20.pt,val,4.726157,2376981,867,0.036475,0.168009,0.227468,0.338624,0.462587,0.250130,0.970451,0.042511,1.263092,791.707689,1,0.2,mask-based structured pruning; architecture shape unchanged
l2_structured,1,0.30,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_amount_sweep/layer_1_amt_0p30/yolo26n_l2_layer_1_amt_0p30.pt,val,4.726157,2376981,1443,0.060707,0.010417,0.014862,0.496215,0.675193,0.263365,0.989767,0.074857,1.327989,753.018087,1,0.3,mask-based structured pruning; architecture shape unchanged
l2_structured,1,0.40,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_amount_sweep/layer_1_amt_0p40/yolo26n_l2_layer_1_amt_0p40.pt,val,4.726157,2376981,1875,0.078882,0.000395,0.000505,0.506237,0.689550,0.256112,0.970521,0.039409,1.266042,789.863033,1,0.4,mask-based structured pruning; architecture shape unchanged
l2_structured,1,0.50,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_amount_sweep/layer_1_amt_0p50/yolo26n_l2_layer_1_amt_0p50.pt,val,4.726157,2376981,2307,0.097056,0.000023,0.000076,0.506609,0.689979,0.260046,0.990606,0.070371,1.321023,756.989279,1,0.5,mask-based structured pruning; architecture shape unchanged
l2_structured,2,0.05,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_amount_sweep/layer_2_amt_0p05/yolo26n_l2_layer_2_amt_0p05.pt,val,4.726157,2376981,283,0.011906,0.345386,0.452371,0.161246,0.237684,0.296068,0.973079,0.043626,1.312773,761.746163,2,0.05,mask-based structured pruning; architecture shape unchanged
l2_structured,2,0.10,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_amount_sweep/layer_2_amt_0p10/yolo26n_l2_layer_2_amt_0p10.pt,val,4.726157,2376981,675,0.028397,0.170376,0.241182,0.336256,0.448873,0.256206,0.979235,0.067200,1.302640,767.671695,2,0.1,mask-based structured pruning; architecture shape unchanged
l2_structured,2,0.20,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_amount_sweep/layer_2_amt_0p20/yolo26n_l2_layer_2_amt_0p20.pt,val,4.726157,2376981,1323,0.055659,0.046321,0.062534,0.460311,0.627521,0.258544,0.996616,0.054108,1.309268,763.785489,2,0.2,mask-based structured pruning; architecture shape unchanged
