pruning_method,layer_id,amount_tested,method,model_path,split,size_mb,total_params,zero_params,zero_param_percent,map50_95,map50,drop_map50_95,drop_map50,preprocess_ms,inference_ms,postprocess_ms,latency_ms,fps,target_layers,amount,note,safe_under_threshold
l2_structured,0,0.10,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_amount_sweep/layer_0_amt_0p10/yolo26n_l2_layer_0_amt_0p10.pt,val,4.726157,2376981,57,0.002398,0.436055,0.591533,0.070578,0.098523,0.268531,0.972749,0.047399,1.288678,775.988855,0,0.1,mask-based structured pruning; architecture shape unchanged,no
l2_structured,1,0.05,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_amount_sweep/layer_1_amt_0p05/yolo26n_l2_layer_1_amt_0p05.pt,val,4.726157,2376981,291,0.012242,0.367683,0.489755,0.138949,0.200300,0.241007,0.972008,0.042657,1.255673,796.385573,1,0.05,mask-based structured pruning; architecture shape unchanged,no
l2_structured,2,0.05,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_amount_sweep/layer_2_amt_0p05/yolo26n_l2_layer_2_amt_0p05.pt,val,4.726157,2376981,283,0.011906,0.345386,0.452371,0.161246,0.237684,0.296068,0.973079,0.043626,1.312773,761.746163,2,0.05,mask-based structured pruning; architecture shape unchanged,no
l2_structured,3,0.05,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_amount_sweep/layer_3_amt_0p05/yolo26n_l2_layer_3_amt_0p05.pt,val,4.726157,2376981,1731,0.072823,0.442196,0.594305,0.064437,0.095750,0.254567,1.007804,0.043268,1.305639,765.908449,3,0.05,mask-based structured pruning; architecture shape unchanged,no
l2_structured,4,0.05,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_amount_sweep/layer_4_amt_0p05/yolo26n_l2_layer_4_amt_0p05.pt,val,4.726157,2376981,1347,0.056669,0.466020,0.641876,0.040612,0.048179,0.248963,1.009241,0.060134,1.318338,758.530565,4,0.05,mask-based structured pruning; architecture shape unchanged,no
l2_structured,5,0.05,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_amount_sweep/layer_5_amt_0p05/yolo26n_l2_layer_5_amt_0p05.pt,val,4.726157,2376981,6915,0.290915,0.468495,0.632627,0.038137,0.057428,0.247868,0.994279,0.063854,1.306001,765.696423,5,0.05,mask-based structured pruning; architecture shape unchanged,no
l2_structured,6,0.05,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_amount_sweep/layer_6_amt_0p05/yolo26n_l2_layer_6_amt_0p05.pt,val,4.726157,2376981,4675,0.196678,0.473675,0.643863,0.032957,0.046192,0.268334,0.983434,0.048924,1.300693,768.820969,6,0.05,mask-based structured pruning; architecture shape unchanged,no
l2_structured,7,0.10,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_amount_sweep/layer_7_amt_0p10/yolo26n_l2_layer_7_amt_0p10.pt,val,4.726157,2376981,29955,1.260212,0.496558,0.668741,0.010075,0.021314,0.251675,0.980844,0.069003,1.301522,768.331428,7,0.1,mask-based structured pruning; architecture shape unchanged,yes
l2_structured,8,0.05,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_amount_sweep/layer_8_amt_0p05/yolo26n_l2_layer_8_amt_0p05.pt,val,4.726157,2376981,16771,0.705559,0.492803,0.670595,0.013829,0.019460,0.287652,0.973705,0.046568,1.307925,764.570048,8,0.05,mask-based structured pruning; architecture shape unchanged,yes
l2_structured,9,0.05,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_amount_sweep/layer_9_amt_0p05/yolo26n_l2_layer_9_amt_0p05.pt,val,4.726157,2376981,8195,0.344765,0.490896,0.671055,0.015737,0.019000,0.297399,0.974851,0.073025,1.345275,743.342356,9,0.05,mask-based structured pruning; architecture shape unchanged,yes
l2_structured,10,0.05,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_amount_sweep/layer_10_amt_0p05/yolo26n_l2_layer_10_amt_0p05.pt,val,4.726361,2376981,12345,0.519356,0.489093,0.671069,0.017540,0.018986,0.259449,0.971431,0.042940,1.273820,785.040297,10,0.05,mask-based structured pruning; architecture shape unchanged,yes
l2_structured,13,0.05,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_amount_sweep/layer_13_amt_0p05/yolo26n_l2_layer_13_amt_0p05.pt,val,4.726361,2376981,6211,0.261298,0.483315,0.656596,0.023317,0.033460,0.261359,0.983458,0.077487,1.322305,756.255112,13,0.05,mask-based structured pruning; architecture shape unchanged,no
l2_structured,16,0.05,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_amount_sweep/layer_16_amt_0p05/yolo26n_l2_layer_16_amt_0p05.pt,val,4.726361,2376981,1763,0.074170,0.467004,0.650860,0.039628,0.039195,0.256768,0.986085,0.069655,1.312508,761.899901,16,0.05,mask-based structured pruning; architecture shape unchanged,no
l2_structured,17,0.05,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_amount_sweep/layer_17_amt_0p05/yolo26n_l2_layer_17_amt_0p05.pt,val,4.726361,2376981,1731,0.072823,0.487526,0.683480,0.019106,0.006575,0.294927,1.015691,0.078549,1.389168,719.855572,17,0.05,mask-based structured pruning; architecture shape unchanged,yes
l2_structured,19,0.05,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_amount_sweep/layer_19_amt_0p05/yolo26n_l2_layer_19_amt_0p05.pt,val,4.726361,2376981,5059,0.212833,0.355349,0.528053,0.151284,0.162002,0.315962,0.973727,0.044299,1.333988,749.631766,19,0.05,mask-based structured pruning; architecture shape unchanged,no
l2_structured,20,0.10,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_amount_sweep/layer_20_amt_0p10/yolo26n_l2_layer_20_amt_0p10.pt,val,4.726361,2376981,14979,0.630169,0.489231,0.683530,0.017401,0.006525,0.258992,0.970943,0.039142,1.269076,787.974598,20,0.1,mask-based structured pruning; architecture shape unchanged,yes
l2_structured,22,0.05,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_amount_sweep/layer_22_amt_0p05/yolo26n_l2_layer_22_amt_0p05.pt,val,4.726361,2376981,22585,0.950155,0.466189,0.658617,0.040443,0.031438,0.251380,0.985382,0.068261,1.305022,766.270320,22,0.05,mask-based structured pruning; architecture shape unchanged,no
