layer_id,layer_type,conv_name,out_channels,pruned_output_channels,amount,new_zero_weights
10,C2PSA,cv1.conv,256,26,0.1,6656
10,C2PSA,cv2.conv,256,26,0.1,6656
10,C2PSA,m.0.attn.qkv.conv,256,26,0.1,3328
10,C2PSA,m.0.attn.proj.conv,128,13,0.1,1664
10,C2PSA,m.0.attn.pe.conv,128,13,0.1,117
10,C2PSA,m.0.ffn.0.conv,256,26,0.1,3328
10,C2PSA,m.0.ffn.1.conv,128,13,0.1,3328
6,C3k2,cv1.conv,128,13,0.1,1664
6,C3k2,cv2.conv,128,13,0.1,2496
6,C3k2,m.0.cv1.conv,32,3,0.1,192
6,C3k2,m.0.cv2.conv,32,3,0.1,192
6,C3k2,m.0.cv3.conv,64,6,0.1,384
6,C3k2,m.0.m.0.cv1.conv,32,3,0.1,864
6,C3k2,m.0.m.0.cv2.conv,32,3,0.1,864
6,C3k2,m.0.m.1.cv1.conv,32,3,0.1,864
6,C3k2,m.0.m.1.cv2.conv,32,3,0.1,864
13,C3k2,cv1.conv,128,13,0.1,4992
13,C3k2,cv2.conv,128,13,0.1,2496
13,C3k2,m.0.cv1.conv,32,3,0.1,192
13,C3k2,m.0.cv2.conv,32,3,0.1,192
13,C3k2,m.0.cv3.conv,64,6,0.1,384
13,C3k2,m.0.m.0.cv1.conv,32,3,0.1,864
13,C3k2,m.0.m.0.cv2.conv,32,3,0.1,864
13,C3k2,m.0.m.1.cv1.conv,32,3,0.1,864
13,C3k2,m.0.m.1.cv2.conv,32,3,0.1,864
