layer_id,layer_type,conv_name,out_channels,pruned_output_channels,amount,new_zero_weights
6,C3k2,cv1.conv,128,13,0.1,1664
6,C3k2,cv2.conv,128,13,0.1,2496
6,C3k2,m.0.cv1.conv,32,3,0.1,192
6,C3k2,m.0.cv2.conv,32,3,0.1,192
6,C3k2,m.0.cv3.conv,64,6,0.1,384
6,C3k2,m.0.m.0.cv1.conv,32,3,0.1,864
6,C3k2,m.0.m.0.cv2.conv,32,3,0.1,864
6,C3k2,m.0.m.1.cv1.conv,32,3,0.1,864
6,C3k2,m.0.m.1.cv2.conv,32,3,0.1,864
16,C3k2,cv1.conv,64,6,0.1,1536
16,C3k2,cv2.conv,64,6,0.1,576
16,C3k2,m.0.cv1.conv,16,2,0.1,64
16,C3k2,m.0.cv2.conv,16,2,0.1,64
16,C3k2,m.0.cv3.conv,32,3,0.1,96
16,C3k2,m.0.m.0.cv1.conv,16,2,0.1,288
16,C3k2,m.0.m.0.cv2.conv,16,2,0.1,288
16,C3k2,m.0.m.1.cv1.conv,16,2,0.1,288
16,C3k2,m.0.m.1.cv2.conv,16,2,0.1,288
