layer_id,layer_type,conv_name,out_channels,pruned_output_channels,amount,new_zero_weights
6,C3k2,cv1.conv,128,26,0.2,3328
6,C3k2,cv2.conv,128,26,0.2,4992
6,C3k2,m.0.cv1.conv,32,6,0.2,384
6,C3k2,m.0.cv2.conv,32,6,0.2,384
6,C3k2,m.0.cv3.conv,64,13,0.2,832
6,C3k2,m.0.m.0.cv1.conv,32,6,0.2,1728
6,C3k2,m.0.m.0.cv2.conv,32,6,0.2,1728
6,C3k2,m.0.m.1.cv1.conv,32,6,0.2,1728
6,C3k2,m.0.m.1.cv2.conv,32,6,0.2,1728
13,C3k2,cv1.conv,128,26,0.2,9984
13,C3k2,cv2.conv,128,26,0.2,4992
13,C3k2,m.0.cv1.conv,32,6,0.2,384
13,C3k2,m.0.cv2.conv,32,6,0.2,384
13,C3k2,m.0.cv3.conv,64,13,0.2,832
13,C3k2,m.0.m.0.cv1.conv,32,6,0.2,1728
13,C3k2,m.0.m.0.cv2.conv,32,6,0.2,1728
13,C3k2,m.0.m.1.cv1.conv,32,6,0.2,1728
13,C3k2,m.0.m.1.cv2.conv,32,6,0.2,1728
22,C3k2,cv1.conv,256,51,0.2,19584
22,C3k2,cv2.conv,256,51,0.2,19584
22,C3k2,m.0.0.cv1.conv,64,13,0.2,14976
22,C3k2,m.0.0.cv2.conv,128,26,0.2,14976
22,C3k2,m.0.1.attn.qkv.conv,256,51,0.2,6528
22,C3k2,m.0.1.attn.proj.conv,128,26,0.2,3328
22,C3k2,m.0.1.attn.pe.conv,128,26,0.2,234
22,C3k2,m.0.1.ffn.0.conv,256,51,0.2,6528
22,C3k2,m.0.1.ffn.1.conv,128,26,0.2,6656
16,C3k2,cv1.conv,64,13,0.2,3328
16,C3k2,cv2.conv,64,13,0.2,1248
16,C3k2,m.0.cv1.conv,16,3,0.2,96
16,C3k2,m.0.cv2.conv,16,3,0.2,96
16,C3k2,m.0.cv3.conv,32,6,0.2,192
16,C3k2,m.0.m.0.cv1.conv,16,3,0.2,432
16,C3k2,m.0.m.0.cv2.conv,16,3,0.2,432
16,C3k2,m.0.m.1.cv1.conv,16,3,0.2,432
16,C3k2,m.0.m.1.cv2.conv,16,3,0.2,432
