pruning_method,combo_layers,combo_size,amount_tested,method,model_path,split,size_mb,total_params,zero_params,zero_param_percent,map50_95,map50,drop_map50_95,drop_map50,preprocess_ms,inference_ms,postprocess_ms,latency_ms,fps,target_layers,amount,note
l2_structured,20,1,0.10,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_combo_top6_amt_0p10/combo_20_amt_0p10/yolo26n_l2_combo_20_amt_0p10.pt,val,4.726361,2376981,14979,0.630169,0.489231,0.683530,0.017401,0.006525,0.289457,0.995361,0.079240,1.364058,733.106525,20,0.1,mask-based structured pruning; architecture shape unchanged
l2_structured,13,1,0.10,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_combo_top6_amt_0p10/combo_13_amt_0p10/yolo26n_l2_combo_13_amt_0p10.pt,val,4.726361,2376981,11715,0.492852,0.470154,0.638727,0.036479,0.051328,0.277726,1.035041,0.073277,1.386044,721.477916,13,0.1,mask-based structured pruning; architecture shape unchanged
l2_structured,10,1,0.10,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_combo_top6_amt_0p10/combo_10_amt_0p10/yolo26n_l2_combo_10_amt_0p10.pt,val,4.726361,2376981,25080,1.055120,0.466356,0.637345,0.040276,0.052710,0.279705,0.987308,0.074378,1.341391,745.494962,10,0.1,mask-based structured pruning; architecture shape unchanged
l2_structured,20,1,0.20,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_combo_top6_amt_0p20/combo_20_amt_0p20/yolo26n_l2_combo_20_amt_0p20.pt,val,4.726361,2376981,29955,1.260212,0.459252,0.668721,0.047380,0.021334,0.250480,0.972777,0.049817,1.273073,785.500789,20,0.2,mask-based structured pruning; architecture shape unchanged
l2_structured,"20,13",2,0.10,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_combo_top6_amt_0p10/combo_20_13_amt_0p10/yolo26n_l2_combo_20_13_amt_0p10.pt,val,4.726974,2376981,26691,1.122895,0.452123,0.633237,0.054510,0.056818,0.279941,0.975481,0.044511,1.299932,769.270894,"20,13",0.1,mask-based structured pruning; architecture shape unchanged
l2_structured,"20,10",2,0.10,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_combo_top6_amt_0p10/combo_20_10_amt_0p10/yolo26n_l2_combo_20_10_amt_0p10.pt,val,4.726974,2376981,40056,1.685163,0.437222,0.618515,0.069410,0.071540,0.271013,0.985885,0.077421,1.334319,749.446010,"20,10",0.1,mask-based structured pruning; architecture shape unchanged
l2_structured,"10,13",2,0.10,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_combo_top6_amt_0p10/combo_10_13_amt_0p10/yolo26n_l2_combo_10_13_amt_0p10.pt,val,4.726974,2376981,36792,1.547846,0.417326,0.568863,0.089306,0.121193,0.274378,0.982888,0.070264,1.327530,753.278436,"10,13",0.1,mask-based structured pruning; architecture shape unchanged
l2_structured,22,1,0.10,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_combo_top6_amt_0p10/combo_22_amt_0p10/yolo26n_l2_combo_22_amt_0p10.pt,val,4.726361,2376981,46136,1.940949,0.396377,0.581774,0.110255,0.108281,0.249987,0.982629,0.102421,1.335037,749.042746,22,0.1,mask-based structured pruning; architecture shape unchanged
l2_structured,16,1,0.10,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_combo_top6_amt_0p10/combo_16_amt_0p10/yolo26n_l2_combo_16_amt_0p10.pt,val,4.726361,2376981,3491,0.146867,0.391477,0.568352,0.115156,0.121704,0.292833,0.990334,0.050098,1.333265,750.038707,16,0.1,mask-based structured pruning; architecture shape unchanged
l2_structured,10,1,0.20,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_combo_top6_amt_0p20/combo_10_amt_0p20/yolo26n_l2_combo_10_amt_0p20.pt,val,4.726361,2376981,49389,2.077804,0.387412,0.537850,0.119220,0.152205,0.254776,0.998871,0.070880,1.324526,754.987079,10,0.2,mask-based structured pruning; architecture shape unchanged
l2_structured,"20,10,13",3,0.10,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_combo_top6_amt_0p10/combo_20_10_13_amt_0p10/yolo26n_l2_combo_20_10_13_amt_0p10.pt,val,4.727586,2376981,51768,2.177889,0.384306,0.543870,0.122327,0.146185,0.269440,0.985181,0.065237,1.319859,757.656965,"20,10,13",0.1,mask-based structured pruning; architecture shape unchanged
l2_structured,"20,16",2,0.10,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_combo_top6_amt_0p10/combo_20_16_amt_0p10/yolo26n_l2_combo_20_16_amt_0p10.pt,val,4.726974,2376981,18467,0.776910,0.375986,0.563415,0.130647,0.126640,0.253048,0.971176,0.043035,1.267259,789.104954,"20,16",0.1,mask-based structured pruning; architecture shape unchanged
