layer_id,layer_type,layer_params,params_percent,ad_gen_map50_95,ad_snow_map50_95,combined_sensitivity,deletion_score,mode,adapter_details
22,C3k2,463104,18.464409,0.162098,0.002031,0.082064,224.999030,adapted_bypass,input_tensors=1; multi_input_policy=concat; spatial_unchanged; channels_crop_384_to_256
9,SPPF,164608,6.563082,0.070282,-0.004974,0.032654,200.987597,adapted_bypass,input_tensors=1; multi_input_policy=concat; spatial_unchanged; channels_unchanged
8,C3k2,346112,13.799824,0.360050,-0.004441,0.177804,77.612503,adapted_bypass,input_tensors=1; multi_input_policy=concat; spatial_unchanged; channels_unchanged
20,Conv,147712,5.889422,0.153146,0.000494,0.076820,76.665289,adapted_bypass,"input_tensors=1; multi_input_policy=concat; spatial_resize_(40, 40)_to_(20, 20); channels_unchanged"
7,Conv,295424,11.778844,0.328455,0.004093,0.166274,70.840014,adapted_bypass,"input_tensors=1; multi_input_policy=concat; spatial_resize_(40, 40)_to_(20, 20); channels_zero_pad_128_to_256"
10,C2PSA,249728,9.956899,0.476628,0.014138,0.245383,40.576973,adapted_bypass,input_tensors=1; multi_input_policy=concat; spatial_unchanged; channels_unchanged
5,Conv,147712,5.889422,0.505982,0.020484,0.263233,22.373418,adapted_bypass,"input_tensors=1; multi_input_policy=concat; spatial_resize_(80, 80)_to_(40, 40); channels_unchanged"
13,C3k2,119808,4.776862,0.488902,0.020652,0.254777,18.749174,adapted_bypass,input_tensors=1; multi_input_policy=concat; spatial_unchanged; channels_crop_384_to_128
19,C3k2,95232,3.796993,0.443687,0.014533,0.229110,16.572809,adapted_bypass,input_tensors=1; multi_input_policy=concat; spatial_unchanged; channels_crop_192_to_128
6,C3k2,87040,3.470370,0.506191,0.020819,0.263505,13.170032,adapted_bypass,input_tensors=1; multi_input_policy=concat; spatial_unchanged; channels_unchanged
17,Conv,36992,1.474907,0.327647,0.010016,0.168831,8.735977,adapted_bypass,"input_tensors=1; multi_input_policy=concat; spatial_resize_(80, 80)_to_(40, 40); channels_unchanged"
16,C3k2,34304,1.367734,0.404183,0.020736,0.212459,6.437629,adapted_bypass,input_tensors=1; multi_input_policy=concat; spatial_unchanged; channels_crop_256_to_64
3,Conv,36992,1.474907,0.506631,0.020819,0.263725,5.592593,adapted_bypass,"input_tensors=1; multi_input_policy=concat; spatial_resize_(160, 160)_to_(80, 80); channels_unchanged"
4,C3k2,26080,1.039835,0.506632,0.020819,0.263725,3.942871,adapted_bypass,input_tensors=1; multi_input_policy=concat; spatial_unchanged; channels_zero_pad_64_to_128
2,C3k2,6640,0.264743,0.506632,0.020819,0.263726,1.003858,adapted_bypass,input_tensors=1; multi_input_policy=concat; spatial_unchanged; channels_zero_pad_32_to_64
1,Conv,4672,0.186277,0.506619,0.020819,0.263719,0.706348,adapted_bypass,"input_tensors=1; multi_input_policy=concat; spatial_resize_(320, 320)_to_(160, 160); channels_zero_pad_16_to_32"
0,Conv,464,0.018500,0.506632,0.020819,0.263726,0.070149,adapted_bypass,"input_tensors=1; multi_input_policy=concat; spatial_resize_(640, 640)_to_(320, 320); channels_zero_pad_3_to_16"
11,Upsample,0,0.000000,0.000000,0.000000,0.000000,0.000000,adapted_bypass,"input_tensors=1; multi_input_policy=concat; spatial_resize_(20, 20)_to_(40, 40); channels_unchanged"
12,Concat,0,0.000000,0.000000,0.000000,0.000000,0.000000,adapted_bypass,input_tensors=2; multi_input_policy=concat; source_0_spatial_unchanged; source_1_spatial_unchanged; concatenated_inputs_along_channels; spatial_unchanged; channels_unchanged
14,Upsample,0,0.000000,0.000000,0.000000,0.000000,0.000000,adapted_bypass,"input_tensors=1; multi_input_policy=concat; spatial_resize_(40, 40)_to_(80, 80); channels_unchanged"
15,Concat,0,0.000000,0.000000,0.000000,0.000000,0.000000,adapted_bypass,input_tensors=2; multi_input_policy=concat; source_0_spatial_unchanged; source_1_spatial_unchanged; concatenated_inputs_along_channels; spatial_unchanged; channels_unchanged
18,Concat,0,0.000000,0.000000,0.000000,0.000000,0.000000,adapted_bypass,input_tensors=2; multi_input_policy=concat; source_0_spatial_unchanged; source_1_spatial_unchanged; concatenated_inputs_along_channels; spatial_unchanged; channels_unchanged
21,Concat,0,0.000000,0.000000,0.000000,0.000000,0.000000,adapted_bypass,input_tensors=2; multi_input_policy=concat; source_0_spatial_unchanged; source_1_spatial_unchanged; concatenated_inputs_along_channels; spatial_unchanged; channels_unchanged
