layer_id,layer_type,layer_params,layer_params_percent
0,Conv,464,0.018500
1,Conv,4672,0.186277
2,C3k2,6640,0.264743
3,Conv,36992,1.474907
4,C3k2,26080,1.039835
5,Conv,147712,5.889422
6,C3k2,87040,3.470370
7,Conv,295424,11.778844
8,C3k2,346112,13.799824
9,SPPF,164608,6.563082
10,C2PSA,249728,9.956899
11,Upsample,0,0.000000
12,Concat,0,0.000000
13,C3k2,119808,4.776862
14,Upsample,0,0.000000
15,Concat,0,0.000000
16,C3k2,34304,1.367734
17,Conv,36992,1.474907
18,Concat,0,0.000000
19,C3k2,95232,3.796993
20,Conv,147712,5.889422
21,Concat,0,0.000000
22,C3k2,463104,18.464409
