layer_id,layer_type,layer_params,params_percent,gen_baseline_map50_95,gen_pruned_map50_95,ad_gen_map50_95,amount
7,Conv,295424,11.778844,0.506632,0.497288,0.009344,0.5
20,Conv,147712,5.889422,0.506632,0.494247,0.012386,0.5
5,Conv,147712,5.889422,0.506632,0.479005,0.027628,0.5
9,SPPF,164608,6.563082,0.506632,0.462662,0.043970,0.5
17,Conv,36992,1.474907,0.506632,0.438231,0.068402,0.5
3,Conv,36992,1.474907,0.506632,0.362484,0.144149,0.5
10,C2PSA,249728,9.956899,0.506632,0.354910,0.151723,0.5
22,C3k2,463104,18.464409,0.506632,0.347989,0.158643,0.5
8,C3k2,346112,13.799824,0.506632,0.312708,0.193924,0.5
0,Conv,464,0.018500,0.506632,0.281935,0.224697,0.5
16,C3k2,34304,1.367734,0.506632,0.248206,0.258426,0.5
13,C3k2,119808,4.776862,0.506632,0.186786,0.319847,0.5
19,C3k2,95232,3.796993,0.506632,0.116391,0.390241,0.5
1,Conv,4672,0.186277,0.506632,0.039520,0.467113,0.5
6,C3k2,87040,3.470370,0.506632,0.014508,0.492124,0.5
2,C3k2,6640,0.264743,0.506632,0.000455,0.506178,0.5
4,C3k2,26080,1.039835,0.506632,0.000021,0.506612,0.5
