layer_id,layer_type,layer_params,params_percent,snow_baseline_map50_95,snow_deleted_map50_95,ad_snow_map50_95,mode,adapter_details
11,Upsample,0,0.000000,0.020819,0.020886,-0.000067,zero,
10,C2PSA,249728,9.956899,0.020819,0.020358,0.000461,zero,
20,Conv,147712,5.889422,0.020819,0.020325,0.000494,zero,
21,Concat,0,0.000000,0.020819,0.020325,0.000494,zero,
22,C3k2,463104,18.464409,0.020819,0.020325,0.000494,zero,
14,Upsample,0,0.000000,0.020819,0.018534,0.002285,zero,
9,SPPF,164608,6.563082,0.020819,0.017190,0.003629,zero,
13,C3k2,119808,4.776862,0.020819,0.010816,0.010003,zero,
8,C3k2,346112,13.799824,0.020819,0.010785,0.010034,zero,
17,Conv,36992,1.474907,0.020819,0.010594,0.010225,zero,
18,Concat,0,0.000000,0.020819,0.010594,0.010225,zero,
19,C3k2,95232,3.796993,0.020819,0.010594,0.010225,zero,
7,Conv,295424,11.778844,0.020819,0.008598,0.012222,zero,
12,Concat,0,0.000000,0.020819,0.004330,0.016489,zero,
15,Concat,0,0.000000,0.020819,0.000333,0.020486,zero,
16,C3k2,34304,1.367734,0.020819,0.000139,0.020680,zero,
0,Conv,464,0.018500,0.020819,0.000000,0.020819,zero,
1,Conv,4672,0.186277,0.020819,0.000000,0.020819,zero,
2,C3k2,6640,0.264743,0.020819,0.000000,0.020819,zero,
3,Conv,36992,1.474907,0.020819,0.000000,0.020819,zero,
4,C3k2,26080,1.039835,0.020819,0.000000,0.020819,zero,
5,Conv,147712,5.889422,0.020819,0.000000,0.020819,zero,
6,C3k2,87040,3.470370,0.020819,0.000000,0.020819,zero,
