layer_id,layer_type,mode,multi_input_policy,total_model_params,layer_params,params_percent,status,error,input_shapes,output_shape,adapter_details,gen_baseline_map50_95,snow_baseline_map50_95,gen_deleted_map50_95,ad_gen_map50_95,snow_deleted_map50_95,ad_snow_map50_95,combined_sensitivity,deletion_score,gen_latency_ms,snow_latency_ms,gen_fps,snow_fps
0,Conv,zero,,2508090,464,0.018500,ok,,,,,0.506632,0.020819,0.000000,0.506632,0.000000,0.020819,0.263726,0.070149,1.257476,1.137733,795.243922,878.941184
1,Conv,zero,,2508090,4672,0.186277,ok,,,,,0.506632,0.020819,0.000000,0.506632,0.000000,0.020819,0.263726,0.706329,1.261215,1.054186,792.886464,948.598792
2,C3k2,zero,,2508090,6640,0.264743,ok,,,,,0.506632,0.020819,0.000000,0.506632,0.000000,0.020819,0.263726,1.003859,1.290561,1.145042,774.856940,873.330748
3,Conv,zero,,2508090,36992,1.474907,ok,,,,,0.506632,0.020819,0.000000,0.506632,0.000000,0.020819,0.263726,5.592580,1.250993,1.110472,799.364837,900.518311
4,C3k2,zero,,2508090,26080,1.039835,ok,,,,,0.506632,0.020819,0.000001,0.506631,0.000000,0.020819,0.263725,3.942875,1.311198,1.129200,762.661502,885.582456
5,Conv,zero,,2508090,147712,5.889422,ok,,,,,0.506632,0.020819,0.000318,0.506314,0.000000,0.020819,0.263567,22.345096,1.255036,1.135894,796.789755,880.363848
6,C3k2,zero,,2508090,87040,3.470370,ok,,,,,0.506632,0.020819,0.001150,0.505483,0.000000,0.020819,0.263151,13.187760,1.255868,1.094282,796.262030,913.841191
7,Conv,zero,,2508090,295424,11.778844,ok,,,,,0.506632,0.020819,0.197890,0.308742,0.008598,0.012222,0.160482,73.396772,1.282219,1.130273,779.898178,884.741912
8,C3k2,zero,,2508090,346112,13.799824,ok,,,,,0.506632,0.020819,0.132066,0.374566,0.010785,0.010034,0.192300,71.761980,1.268108,1.114234,788.576471,897.477893
9,SPPF,zero,,2508090,164608,6.563082,ok,,,,,0.506632,0.020819,0.153238,0.353395,0.017190,0.003629,0.178512,36.765484,1.335634,1.099018,748.707895,909.903275
10,C2PSA,zero,,2508090,249728,9.956899,ok,,,,,0.506632,0.020819,0.140040,0.366592,0.020358,0.000461,0.183527,54.253118,1.241927,1.092511,805.200004,915.322501
11,Upsample,zero,,2508090,0,0.000000,ok,,,,,0.506632,0.020819,0.268282,0.238350,0.020886,-0.000067,0.119141,0.000000,1.285010,1.144168,778.203918,873.997635
12,Concat,zero,,2508090,0,0.000000,ok,,,,,0.506632,0.020819,0.019659,0.486973,0.004330,0.016489,0.251731,0.000000,1.282529,1.094336,779.709396,913.795796
13,C3k2,zero,,2508090,119808,4.776862,ok,,,,,0.506632,0.020819,0.045171,0.461461,0.010816,0.010003,0.235732,20.263919,1.252308,1.084876,798.525823,921.764612
14,Upsample,zero,,2508090,0,0.000000,ok,,,,,0.506632,0.020819,0.390821,0.115811,0.018534,0.002285,0.059048,0.000000,1.251199,1.103374,799.233576,906.310908
15,Concat,zero,,2508090,0,0.000000,ok,,,,,0.506632,0.020819,0.135880,0.370752,0.000333,0.020486,0.195619,0.000000,1.266804,1.155608,789.388141,865.345092
16,C3k2,zero,,2508090,34304,1.367734,ok,,,,,0.506632,0.020819,0.131581,0.375051,0.000139,0.020680,0.197866,6.912434,1.239203,1.083330,806.970542,923.079724
17,Conv,zero,,2508090,36992,1.474907,ok,,,,,0.506632,0.020819,0.225375,0.281257,0.010594,0.010225,0.145741,10.120040,1.247439,1.096644,801.642367,911.873050
18,Concat,zero,,2508090,0,0.000000,ok,,,,,0.506632,0.020819,0.082612,0.424021,0.010594,0.010225,0.217123,0.000000,1.285683,1.078658,777.796690,927.078137
19,C3k2,zero,,2508090,95232,3.796993,ok,,,,,0.506632,0.020819,0.083707,0.422925,0.010594,0.010225,0.216575,17.532003,1.276351,1.124082,783.483668,889.614577
20,Conv,zero,,2508090,147712,5.889422,ok,,,,,0.506632,0.020819,0.351422,0.155210,0.020325,0.000494,0.077852,75.648764,1.253717,1.106406,797.628141,903.827314
21,Concat,zero,,2508090,0,0.000000,ok,,,,,0.506632,0.020819,0.347605,0.159027,0.020325,0.000494,0.079761,0.000000,1.259822,1.134608,793.762862,881.362018
22,C3k2,zero,,2508090,463104,18.464409,ok,,,,,0.506632,0.020819,0.347605,0.159027,0.020325,0.000494,0.079761,231.497207,1.235444,1.116772,809.425537,895.438143
