pruning_method,search_type,layers,size,amount,baseline_mAP50_95,pruned_mAP50_95,drop_mAP50_95,baseline_mAP50,pruned_mAP50,drop_mAP50,baseline_latency_ms,pruned_latency_ms,baseline_fps,pruned_fps,zero_percent,model_path,source_csv
l1_unstructured,new_top6_combo,"20,7,22,10,8,17",6,0.2,0.506632,0.505457,0.001175,0.690055,0.686602,0.003453,1.308328,1.279930,764.334295,781.292788,12.874524,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p20/combo_20_7_22_10_8_17_amt_0p20/yolo26n_l1_combo_20_7_22_10_8_17_amt_0p20.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p20/combo_20_7_22_10_8_17_amt_0p20/unstructured_pruning_summary.csv
l1_unstructured,new_top6_combo,"20,7,22,10,8",5,0.2,0.506632,0.505079,0.001554,0.690055,0.686423,0.003632,1.350002,1.263322,740.739424,791.563578,12.564341,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p20/combo_20_7_22_10_8_amt_0p20/yolo26n_l1_combo_20_7_22_10_8_amt_0p20.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p20/combo_20_7_22_10_8_amt_0p20/unstructured_pruning_summary.csv
l1_unstructured,new_top6_combo,"7,22,10,8,17",5,0.2,0.506632,0.505335,0.001298,0.690055,0.686490,0.003565,1.286775,1.297841,777.136434,770.510570,11.633833,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p20/combo_7_22_10_8_17_amt_0p20/yolo26n_l1_combo_7_22_10_8_17_amt_0p20.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p20/combo_7_22_10_8_17_amt_0p20/unstructured_pruning_summary.csv
l1_unstructured,new_top6_combo,"7,22,10,8",4,0.2,0.506632,0.504790,0.001842,0.690055,0.686056,0.003999,1.416823,1.488776,705.804628,671.692533,11.323650,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p20/combo_7_22_10_8_amt_0p20/yolo26n_l1_combo_7_22_10_8_amt_0p20.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p20/combo_7_22_10_8_amt_0p20/unstructured_pruning_summary.csv
l1_unstructured,new_top6_combo,"20,7,22,8,17",5,0.2,0.506632,0.505573,0.001059,0.690055,0.688973,0.001082,1.290327,1.381676,774.997059,723.758846,10.796973,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p20/combo_20_7_22_8_17_amt_0p20/yolo26n_l1_combo_20_7_22_8_17_amt_0p20.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p20/combo_20_7_22_8_17_amt_0p20/unstructured_pruning_summary.csv
l1_unstructured,new_top6_combo,"20,7,22,8",4,0.2,0.506632,0.505712,0.000920,0.690055,0.688788,0.001267,1.343394,1.313091,744.383243,761.562066,10.486790,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p20/combo_20_7_22_8_amt_0p20/yolo26n_l1_combo_20_7_22_8_amt_0p20.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p20/combo_20_7_22_8_amt_0p20/unstructured_pruning_summary.csv
l1_unstructured,new_top6_combo,"20,22,10,8,17",5,0.2,0.506632,0.505101,0.001531,0.690055,0.685683,0.004372,1.376613,1.297763,726.420612,770.556954,10.393142,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p20/combo_20_22_10_8_17_amt_0p20/yolo26n_l1_combo_20_22_10_8_17_amt_0p20.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p20/combo_20_22_10_8_17_amt_0p20/unstructured_pruning_summary.csv
l1_unstructured,new_top6_combo,"20,22,10,8",4,0.2,0.506632,0.504970,0.001662,0.690055,0.685525,0.004530,1.392071,1.343118,718.354074,744.536037,10.082958,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p20/combo_20_22_10_8_amt_0p20/yolo26n_l1_combo_20_22_10_8_amt_0p20.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p20/combo_20_22_10_8_amt_0p20/unstructured_pruning_summary.csv
l1_unstructured,new_top6_combo,"20,7,22,10,17",5,0.2,0.506632,0.507425,-0.000793,0.690055,0.689192,0.000863,1.390924,1.276629,718.946560,783.312948,9.979550,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p20/combo_20_7_22_10_17_amt_0p20/yolo26n_l1_combo_20_7_22_10_17_amt_0p20.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p20/combo_20_7_22_10_17_amt_0p20/unstructured_pruning_summary.csv
l1_unstructured,new_top6_combo,"20,7,22,10",4,0.2,0.506632,0.506361,0.000272,0.690055,0.688518,0.001537,1.368177,1.350388,730.899441,740.527829,9.669366,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p20/combo_20_7_22_10_amt_0p20/yolo26n_l1_combo_20_7_22_10_amt_0p20.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p20/combo_20_7_22_10_amt_0p20/unstructured_pruning_summary.csv
