pruning_method,search_type,layers,size,amount,baseline_mAP50_95,pruned_mAP50_95,drop_mAP50_95,baseline_mAP50,pruned_mAP50,drop_mAP50,baseline_latency_ms,pruned_latency_ms,baseline_fps,pruned_fps,zero_percent,model_path,source_csv
l1_unstructured,single_layer_sweep,22,1,0.5,0.506632,0.490312,0.016320,0.690055,0.681908,0.008147,1.410311,1.348186,709.063230,741.737568,9.674120,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_single_sweep/layer_22_amt_0p50/yolo26n_l1_layer_22_amt_0p50.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_single_sweep/layer_22_amt_0p50/unstructured_pruning_summary.csv
l1_unstructured,single_layer_sweep,22,1,0.4,0.506632,0.498674,0.007958,0.690055,0.684486,0.005569,1.365839,1.309681,732.150738,763.544454,7.739313,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_single_sweep/layer_22_amt_0p40/yolo26n_l1_layer_22_amt_0p40.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_single_sweep/layer_22_amt_0p40/unstructured_pruning_summary.csv
l1_unstructured,single_layer_sweep,8,1,0.5,0.506632,0.495540,0.011092,0.690055,0.671236,0.018819,1.374367,1.316340,727.607647,759.681999,7.237542,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_single_sweep/layer_8_amt_0p50/yolo26n_l1_layer_8_amt_0p50.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_single_sweep/layer_8_amt_0p50/unstructured_pruning_summary.csv
l1_unstructured,single_layer_sweep,7,1,0.5,0.506632,0.510988,-0.004355,0.690055,0.692249,-0.002194,1.340016,1.433590,746.259495,697.549615,6.203626,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_single_sweep/layer_7_amt_0p50/yolo26n_l1_layer_7_amt_0p50.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_single_sweep/layer_7_amt_0p50/unstructured_pruning_summary.csv
l1_unstructured,single_layer_sweep,22,1,0.3,0.506632,0.505320,0.001313,0.690055,0.688611,0.001444,1.489353,1.393272,671.432336,717.735157,5.804380,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_single_sweep/layer_22_amt_0p30/yolo26n_l1_layer_22_amt_0p30.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_single_sweep/layer_22_amt_0p30/unstructured_pruning_summary.csv
l1_unstructured,single_layer_sweep,8,1,0.4,0.506632,0.504015,0.002618,0.690055,0.685925,0.004130,1.320707,1.319506,757.170038,757.859625,5.790160,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_single_sweep/layer_8_amt_0p40/yolo26n_l1_layer_8_amt_0p40.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_single_sweep/layer_8_amt_0p40/unstructured_pruning_summary.csv
l1_unstructured,single_layer_sweep,10,1,0.5,0.506632,0.496514,0.010119,0.690055,0.671996,0.018059,1.285732,1.315146,777.766851,760.371715,5.193941,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_single_sweep/layer_10_amt_0p50/yolo26n_l1_layer_10_amt_0p50.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_single_sweep/layer_10_amt_0p50/unstructured_pruning_summary.csv
l1_unstructured,single_layer_sweep,7,1,0.4,0.506632,0.508825,-0.002193,0.690055,0.691867,-0.001812,1.313575,1.290024,761.280967,775.179446,4.962934,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_single_sweep/layer_7_amt_0p40/yolo26n_l1_layer_7_amt_0p40.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_single_sweep/layer_7_amt_0p40/unstructured_pruning_summary.csv
l1_unstructured,single_layer_sweep,8,1,0.3,0.506632,0.505212,0.001420,0.690055,0.688367,0.001688,1.406207,1.259691,711.132669,793.845615,4.342567,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_single_sweep/layer_8_amt_0p30/yolo26n_l1_layer_8_amt_0p30.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_single_sweep/layer_8_amt_0p30/unstructured_pruning_summary.csv
l1_unstructured,single_layer_sweep,10,1,0.4,0.506632,0.496928,0.009705,0.690055,0.679725,0.010330,1.396902,1.393939,715.869677,717.391403,4.155145,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_single_sweep/layer_10_amt_0p40/yolo26n_l1_layer_10_amt_0p40.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_single_sweep/layer_10_amt_0p40/unstructured_pruning_summary.csv
l1_unstructured,single_layer_sweep,22,1,0.2,0.506632,0.507116,-0.000484,0.690055,0.689970,0.000086,1.361128,1.397523,734.684909,715.551740,3.869741,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_single_sweep/layer_22_amt_0p20/yolo26n_l1_layer_22_amt_0p20.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_single_sweep/layer_22_amt_0p20/unstructured_pruning_summary.csv
l1_unstructured,single_layer_sweep,7,1,0.3,0.506632,0.508511,-0.001878,0.690055,0.691969,-0.001914,1.368191,1.275846,730.891998,783.793872,3.722243,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_single_sweep/layer_7_amt_0p30/yolo26n_l1_layer_7_amt_0p30.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_single_sweep/layer_7_amt_0p30/unstructured_pruning_summary.csv
l1_unstructured,single_layer_sweep,9,1,0.5,0.506632,0.506917,-0.000285,0.690055,0.691306,-0.001251,1.377646,1.296566,725.875908,771.267962,3.446515,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_single_sweep/layer_9_amt_0p50/yolo26n_l1_layer_9_amt_0p50.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_single_sweep/layer_9_amt_0p50/unstructured_pruning_summary.csv
l1_unstructured,single_layer_sweep,10,1,0.3,0.506632,0.504557,0.002075,0.690055,0.684785,0.005270,1.381629,1.367833,723.783425,731.083264,3.116390,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_single_sweep/layer_10_amt_0p30/yolo26n_l1_layer_10_amt_0p30.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_single_sweep/layer_10_amt_0p30/unstructured_pruning_summary.csv
l1_unstructured,single_layer_sweep,5,1,0.5,0.506632,0.507110,-0.000477,0.690055,0.686895,0.003161,1.369927,1.321186,729.965756,756.895864,3.101876,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_single_sweep/layer_5_amt_0p50/yolo26n_l1_layer_5_amt_0p50.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_single_sweep/layer_5_amt_0p50/unstructured_pruning_summary.csv
l1_unstructured,single_layer_sweep,20,1,0.5,0.506632,0.506550,0.000082,0.690055,0.690149,-0.000094,1.383824,1.368637,722.635033,730.654075,3.101876,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_single_sweep/layer_20_amt_0p50/yolo26n_l1_layer_20_amt_0p50.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_single_sweep/layer_20_amt_0p50/unstructured_pruning_summary.csv
l1_unstructured,single_layer_sweep,8,1,0.2,0.506632,0.505200,0.001432,0.690055,0.688980,0.001075,1.505703,1.506518,664.141621,663.782369,2.895101,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_single_sweep/layer_8_amt_0p20/yolo26n_l1_layer_8_amt_0p20.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_single_sweep/layer_8_amt_0p20/unstructured_pruning_summary.csv
