layer_id,layer_type,conv_name,out_channels,pruned_output_channels,amount,new_zero_weights
7,Conv,conv,256,26,0.1,29952
22,C3k2,cv1.conv,256,26,0.1,9984
22,C3k2,cv2.conv,256,26,0.1,9984
22,C3k2,m.0.0.cv1.conv,64,6,0.1,6912
22,C3k2,m.0.0.cv2.conv,128,13,0.1,7488
22,C3k2,m.0.1.attn.qkv.conv,256,26,0.1,3328
22,C3k2,m.0.1.attn.proj.conv,128,13,0.1,1664
22,C3k2,m.0.1.attn.pe.conv,128,13,0.1,117
22,C3k2,m.0.1.ffn.0.conv,256,26,0.1,3328
22,C3k2,m.0.1.ffn.1.conv,128,13,0.1,3328
17,Conv,conv,64,6,0.1,3456
