layer_id,layer_type,conv_name,out_channels,pruned_output_channels,amount,new_zero_weights
20,Conv,conv,128,26,0.2,29952
7,Conv,conv,256,51,0.2,58752
8,C3k2,cv1.conv,256,51,0.2,13056
8,C3k2,cv2.conv,256,51,0.2,19584
8,C3k2,m.0.cv1.conv,64,13,0.2,1664
8,C3k2,m.0.cv2.conv,64,13,0.2,1664
8,C3k2,m.0.cv3.conv,128,26,0.2,3328
8,C3k2,m.0.m.0.cv1.conv,64,13,0.2,7488
8,C3k2,m.0.m.0.cv2.conv,64,13,0.2,7488
8,C3k2,m.0.m.1.cv1.conv,64,13,0.2,7488
8,C3k2,m.0.m.1.cv2.conv,64,13,0.2,7488
17,Conv,conv,64,13,0.2,7488
