pruning_method,search_type,layers,size,amount,baseline_mAP50_95,pruned_mAP50_95,drop_mAP50_95,baseline_mAP50,pruned_mAP50,drop_mAP50,baseline_latency_ms,pruned_latency_ms,baseline_fps,pruned_fps,zero_percent,model_path,source_csv
l2_structured,new_top6_combo,"20,7",2,0.2,0.506632,0.431699,0.074934,0.690055,0.620957,0.069098,1.340711,1.347729,745.872840,741.988910,3.731919,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l2_structured_combo_new_top6_amt_0p20/combo_20_7_amt_0p20/yolo26n_l2_combo_20_7_amt_0p20.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l2_structured_combo_new_top6_amt_0p20/combo_20_7_amt_0p20/structured_pruning_summary.csv
l2_structured,new_top6_combo,"20,7,10",3,0.1,0.506632,0.425103,0.081529,0.690055,0.596060,0.093995,1.335124,1.335054,748.994156,749.033352,2.945249,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l2_structured_combo_new_top6_amt_0p10/combo_20_7_10_amt_0p10/yolo26n_l2_combo_20_7_10_amt_0p10.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l2_structured_combo_new_top6_amt_0p10/combo_20_7_10_amt_0p10/structured_pruning_summary.csv
l2_structured,new_top6_combo,"7,17",2,0.2,0.506632,0.408839,0.097793,0.690055,0.596856,0.093200,1.375760,1.311467,726.871047,762.504919,2.786854,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l2_structured_combo_new_top6_amt_0p20/combo_7_17_amt_0p20/yolo26n_l2_combo_7_17_amt_0p20.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l2_structured_combo_new_top6_amt_0p20/combo_7_17_amt_0p20/structured_pruning_summary.csv
l2_structured,new_top6_combo,7,1,0.2,0.506632,0.476630,0.030002,0.690055,0.644706,0.045349,1.406065,1.388977,711.204897,719.954437,2.471833,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l2_structured_combo_new_top6_amt_0p20/combo_7_amt_0p20/yolo26n_l2_combo_7_amt_0p20.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l2_structured_combo_new_top6_amt_0p20/combo_7_amt_0p20/structured_pruning_summary.csv
l2_structured,new_top6_combo,"7,10,17",3,0.1,0.506632,0.423142,0.083490,0.690055,0.604016,0.086039,1.390365,1.337652,719.235486,747.578709,2.460600,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l2_structured_combo_new_top6_amt_0p10/combo_7_10_17_amt_0p10/yolo26n_l2_combo_7_10_17_amt_0p10.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l2_structured_combo_new_top6_amt_0p10/combo_7_10_17_amt_0p10/structured_pruning_summary.csv
l2_structured,new_top6_combo,"7,10",2,0.1,0.506632,0.453769,0.052863,0.690055,0.616817,0.073238,1.363286,1.284222,733.521831,778.681639,2.315206,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l2_structured_combo_new_top6_amt_0p10/combo_7_10_amt_0p10/yolo26n_l2_combo_7_10_amt_0p10.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l2_structured_combo_new_top6_amt_0p10/combo_7_10_amt_0p10/structured_pruning_summary.csv
l2_structured,new_top6_combo,"20,8",2,0.1,0.506632,0.425683,0.080950,0.690055,0.599002,0.091053,1.297181,1.373483,770.902492,728.076179,2.046419,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l2_structured_combo_new_top6_amt_0p10/combo_20_8_amt_0p10/yolo26n_l2_combo_20_8_amt_0p10.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l2_structured_combo_new_top6_amt_0p10/combo_20_8_amt_0p10/structured_pruning_summary.csv
l2_structured,new_top6_combo,"20,7,17",3,0.1,0.506632,0.439993,0.066639,0.690055,0.641673,0.048382,1.364057,1.298315,733.107335,770.229257,2.035649,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l2_structured_combo_new_top6_amt_0p10/combo_20_7_17_amt_0p10/yolo26n_l2_combo_20_7_17_amt_0p10.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l2_structured_combo_new_top6_amt_0p10/combo_20_7_17_amt_0p10/structured_pruning_summary.csv
l2_structured,new_top6_combo,"20,7",2,0.1,0.506632,0.480049,0.026583,0.690055,0.662864,0.027191,1.398089,1.383748,715.261879,722.674981,1.890255,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l2_structured_combo_new_top6_amt_0p10/combo_20_7_amt_0p10/yolo26n_l2_combo_20_7_amt_0p10.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l2_structured_combo_new_top6_amt_0p10/combo_20_7_amt_0p10/structured_pruning_summary.csv
l2_structured,new_top6_combo,"20,10",2,0.1,0.506632,0.437222,0.069410,0.690055,0.618515,0.071540,1.377301,1.472474,726.057664,679.129353,1.685163,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l2_structured_combo_new_top6_amt_0p10/combo_20_10_amt_0p10/yolo26n_l2_combo_20_10_amt_0p10.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l2_structured_combo_new_top6_amt_0p10/combo_20_10_amt_0p10/structured_pruning_summary.csv
