pruning_method,search_type,layers,size,amount,baseline_mAP50_95,pruned_mAP50_95,drop_mAP50_95,baseline_mAP50,pruned_mAP50,drop_mAP50,baseline_latency_ms,pruned_latency_ms,baseline_fps,pruned_fps,zero_percent,model_path,source_csv
l2_structured,new_top6_combo,7,1,0.1,0.506632,0.496558,0.010075,0.690055,0.668741,0.021314,1.308783,1.320066,764.068792,757.538141,1.260212,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l2_structured_combo_new_top6_amt_0p10/combo_7_amt_0p10/yolo26n_l2_combo_7_amt_0p10.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l2_structured_combo_new_top6_amt_0p10/combo_7_amt_0p10/structured_pruning_summary.csv
l2_structured,new_top6_combo,20,1,0.1,0.506632,0.489231,0.017401,0.690055,0.683530,0.006525,1.334943,1.322812,749.095577,755.965330,0.630169,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l2_structured_combo_new_top6_amt_0p10/combo_20_amt_0p10/yolo26n_l2_combo_20_amt_0p10.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l2_structured_combo_new_top6_amt_0p10/combo_20_amt_0p10/structured_pruning_summary.csv
l2_structured,new_top6_combo,"20,7",2,0.1,0.506632,0.480049,0.026583,0.690055,0.662864,0.027191,1.398089,1.383748,715.261879,722.674981,1.890255,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l2_structured_combo_new_top6_amt_0p10/combo_20_7_amt_0p10/yolo26n_l2_combo_20_7_amt_0p10.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l2_structured_combo_new_top6_amt_0p10/combo_20_7_amt_0p10/structured_pruning_summary.csv
l2_structured,new_top6_combo,7,1,0.2,0.506632,0.476630,0.030002,0.690055,0.644706,0.045349,1.406065,1.388977,711.204897,719.954437,2.471833,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l2_structured_combo_new_top6_amt_0p20/combo_7_amt_0p20/yolo26n_l2_combo_7_amt_0p20.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l2_structured_combo_new_top6_amt_0p20/combo_7_amt_0p20/structured_pruning_summary.csv
l2_structured,new_top6_combo,17,1,0.1,0.506632,0.473365,0.033267,0.690055,0.676999,0.013056,1.381229,1.307052,723.992949,765.080222,0.145521,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l2_structured_combo_new_top6_amt_0p10/combo_17_amt_0p10/yolo26n_l2_combo_17_amt_0p10.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l2_structured_combo_new_top6_amt_0p10/combo_17_amt_0p10/structured_pruning_summary.csv
l2_structured,new_top6_combo,10,1,0.1,0.506632,0.466356,0.040276,0.690055,0.637345,0.052710,1.372098,1.337527,728.811090,747.648262,1.055120,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l2_structured_combo_new_top6_amt_0p10/combo_10_amt_0p10/yolo26n_l2_combo_10_amt_0p10.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l2_structured_combo_new_top6_amt_0p10/combo_10_amt_0p10/structured_pruning_summary.csv
l2_structured,new_top6_combo,"7,17",2,0.1,0.506632,0.460691,0.045942,0.690055,0.649156,0.040899,1.389299,1.325710,719.787278,754.313021,1.405607,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l2_structured_combo_new_top6_amt_0p10/combo_7_17_amt_0p10/yolo26n_l2_combo_7_17_amt_0p10.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l2_structured_combo_new_top6_amt_0p10/combo_7_17_amt_0p10/structured_pruning_summary.csv
l2_structured,new_top6_combo,20,1,0.2,0.506632,0.459252,0.047380,0.690055,0.668721,0.021334,1.371468,1.358880,729.145720,735.900119,1.260212,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l2_structured_combo_new_top6_amt_0p20/combo_20_amt_0p20/yolo26n_l2_combo_20_amt_0p20.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l2_structured_combo_new_top6_amt_0p20/combo_20_amt_0p20/structured_pruning_summary.csv
l2_structured,new_top6_combo,"7,10",2,0.1,0.506632,0.453769,0.052863,0.690055,0.616817,0.073238,1.363286,1.284222,733.521831,778.681639,2.315206,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l2_structured_combo_new_top6_amt_0p10/combo_7_10_amt_0p10/yolo26n_l2_combo_7_10_amt_0p10.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l2_structured_combo_new_top6_amt_0p10/combo_7_10_amt_0p10/structured_pruning_summary.csv
l2_structured,new_top6_combo,"20,17",2,0.1,0.506632,0.449991,0.056641,0.690055,0.668460,0.021595,1.280547,1.328152,780.916439,752.925914,0.775564,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l2_structured_combo_new_top6_amt_0p10/combo_20_17_amt_0p10/yolo26n_l2_combo_20_17_amt_0p10.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l2_structured_combo_new_top6_amt_0p10/combo_20_17_amt_0p10/structured_pruning_summary.csv
l2_structured,new_top6_combo,8,1,0.1,0.506632,0.441743,0.064889,0.690055,0.607205,0.082850,1.374269,1.300041,727.659533,769.206723,1.416376,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l2_structured_combo_new_top6_amt_0p10/combo_8_amt_0p10/yolo26n_l2_combo_8_amt_0p10.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l2_structured_combo_new_top6_amt_0p10/combo_8_amt_0p10/structured_pruning_summary.csv
l2_structured,new_top6_combo,"20,7,17",3,0.1,0.506632,0.439993,0.066639,0.690055,0.641673,0.048382,1.364057,1.298315,733.107335,770.229257,2.035649,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l2_structured_combo_new_top6_amt_0p10/combo_20_7_17_amt_0p10/yolo26n_l2_combo_20_7_17_amt_0p10.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l2_structured_combo_new_top6_amt_0p10/combo_20_7_17_amt_0p10/structured_pruning_summary.csv
