pruning_method,search_type,layers,size,amount,baseline_mAP50_95,pruned_mAP50_95,drop_mAP50_95,baseline_mAP50,pruned_mAP50,drop_mAP50,baseline_latency_ms,pruned_latency_ms,baseline_fps,pruned_fps,zero_percent,model_path,source_csv
l2_structured,single_layer_sweep,7,1,0.2,0.506632,0.476630,0.030002,0.690055,0.644706,0.045349,1.357343,1.362042,736.733467,734.191686,2.471833,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l2_structured_single_sweep/layer_7_amt_0p20/yolo26n_l2_layer_7_amt_0p20.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l2_structured_single_sweep/layer_7_amt_0p20/structured_pruning_summary.csv
l2_structured,single_layer_sweep,7,1,0.1,0.506632,0.496558,0.010075,0.690055,0.668741,0.021314,1.427863,1.498826,700.347281,667.189005,1.260212,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l2_structured_single_sweep/layer_7_amt_0p10/yolo26n_l2_layer_7_amt_0p10.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l2_structured_single_sweep/layer_7_amt_0p10/structured_pruning_summary.csv
l2_structured,single_layer_sweep,20,1,0.2,0.506632,0.459252,0.047380,0.690055,0.668721,0.021334,1.728571,1.563211,578.512643,639.709057,1.260212,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l2_structured_single_sweep/layer_20_amt_0p20/yolo26n_l2_layer_20_amt_0p20.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l2_structured_single_sweep/layer_20_amt_0p20/structured_pruning_summary.csv
l2_structured,single_layer_sweep,10,1,0.1,0.506632,0.466356,0.040276,0.690055,0.637345,0.052710,1.476986,1.377728,677.054631,725.832778,1.055120,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l2_structured_single_sweep/layer_10_amt_0p10/yolo26n_l2_layer_10_amt_0p10.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l2_structured_single_sweep/layer_10_amt_0p10/structured_pruning_summary.csv
l2_structured,single_layer_sweep,22,1,0.05,0.506632,0.466189,0.040443,0.690055,0.658617,0.031438,1.697359,1.298156,589.150708,770.323390,0.950155,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l2_structured_single_sweep/layer_22_amt_0p05/yolo26n_l2_layer_22_amt_0p05.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l2_structured_single_sweep/layer_22_amt_0p05/structured_pruning_summary.csv
l2_structured,single_layer_sweep,8,1,0.05,0.506632,0.492803,0.013829,0.690055,0.670595,0.019460,1.312830,1.279845,761.713256,781.344921,0.705559,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l2_structured_single_sweep/layer_8_amt_0p05/yolo26n_l2_layer_8_amt_0p05.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l2_structured_single_sweep/layer_8_amt_0p05/structured_pruning_summary.csv
l2_structured,single_layer_sweep,9,1,0.1,0.506632,0.470803,0.035829,0.690055,0.642084,0.047972,1.831570,1.770207,545.979806,564.905600,0.700174,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l2_structured_single_sweep/layer_9_amt_0p10/yolo26n_l2_layer_9_amt_0p10.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l2_structured_single_sweep/layer_9_amt_0p10/structured_pruning_summary.csv
l2_structured,single_layer_sweep,7,1,0.05,0.506632,0.503190,0.003443,0.690055,0.682027,0.008028,1.374796,1.526256,727.380771,655.198020,0.630169,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l2_structured_single_sweep/layer_7_amt_0p05/yolo26n_l2_layer_7_amt_0p05.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l2_structured_single_sweep/layer_7_amt_0p05/structured_pruning_summary.csv
l2_structured,single_layer_sweep,20,1,0.1,0.506632,0.489231,0.017401,0.690055,0.683530,0.006525,1.442814,1.484096,693.090133,673.811001,0.630169,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l2_structured_single_sweep/layer_20_amt_0p10/yolo26n_l2_layer_20_amt_0p10.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l2_structured_single_sweep/layer_20_amt_0p10/structured_pruning_summary.csv
l2_structured,single_layer_sweep,10,1,0.05,0.506632,0.489093,0.017540,0.690055,0.671069,0.018986,1.350790,1.355747,740.307378,737.600799,0.519356,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l2_structured_single_sweep/layer_10_amt_0p05/yolo26n_l2_layer_10_amt_0p05.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l2_structured_single_sweep/layer_10_amt_0p05/structured_pruning_summary.csv
l2_structured,single_layer_sweep,13,1,0.1,0.506632,0.470154,0.036479,0.690055,0.638727,0.051328,1.631259,1.487847,613.023555,672.111972,0.492852,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l2_structured_single_sweep/layer_13_amt_0p10/yolo26n_l2_layer_13_amt_0p10.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l2_structured_single_sweep/layer_13_amt_0p10/structured_pruning_summary.csv
l2_structured,single_layer_sweep,9,1,0.05,0.506632,0.490896,0.015737,0.690055,0.671055,0.019000,1.745832,1.368557,572.792791,730.696406,0.344765,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l2_structured_single_sweep/layer_9_amt_0p05/yolo26n_l2_layer_9_amt_0p05.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l2_structured_single_sweep/layer_9_amt_0p05/structured_pruning_summary.csv
l2_structured,single_layer_sweep,20,1,0.05,0.506632,0.503472,0.003161,0.690055,0.688338,0.001717,1.329571,1.356846,752.122306,737.003350,0.290915,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l2_structured_single_sweep/layer_20_amt_0p05/yolo26n_l2_layer_20_amt_0p05.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l2_structured_single_sweep/layer_20_amt_0p05/structured_pruning_summary.csv
l2_structured,single_layer_sweep,5,1,0.05,0.506632,0.468495,0.038137,0.690055,0.632627,0.057428,1.369527,1.295462,730.179170,771.925348,0.290915,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l2_structured_single_sweep/layer_5_amt_0p05/yolo26n_l2_layer_5_amt_0p05.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l2_structured_single_sweep/layer_5_amt_0p05/structured_pruning_summary.csv
