pruning_method,search_type,layers,size,amount,baseline_mAP50_95,pruned_mAP50_95,drop_mAP50_95,baseline_mAP50,pruned_mAP50,drop_mAP50,baseline_latency_ms,pruned_latency_ms,baseline_fps,pruned_fps,zero_percent,model_path,source_csv
l2_structured,single_layer_sweep,20,1,0.05,0.506632,0.503472,0.003161,0.690055,0.688338,0.001717,1.329571,1.356846,752.122306,737.003350,0.290915,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l2_structured_single_sweep/layer_20_amt_0p05/yolo26n_l2_layer_20_amt_0p05.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l2_structured_single_sweep/layer_20_amt_0p05/structured_pruning_summary.csv
l2_structured,single_layer_sweep,7,1,0.05,0.506632,0.503190,0.003443,0.690055,0.682027,0.008028,1.374796,1.526256,727.380771,655.198020,0.630169,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l2_structured_single_sweep/layer_7_amt_0p05/yolo26n_l2_layer_7_amt_0p05.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l2_structured_single_sweep/layer_7_amt_0p05/structured_pruning_summary.csv
l2_structured,single_layer_sweep,7,1,0.1,0.506632,0.496558,0.010075,0.690055,0.668741,0.021314,1.427863,1.498826,700.347281,667.189005,1.260212,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l2_structured_single_sweep/layer_7_amt_0p10/yolo26n_l2_layer_7_amt_0p10.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l2_structured_single_sweep/layer_7_amt_0p10/structured_pruning_summary.csv
l2_structured,single_layer_sweep,8,1,0.05,0.506632,0.492803,0.013829,0.690055,0.670595,0.019460,1.312830,1.279845,761.713256,781.344921,0.705559,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l2_structured_single_sweep/layer_8_amt_0p05/yolo26n_l2_layer_8_amt_0p05.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l2_structured_single_sweep/layer_8_amt_0p05/structured_pruning_summary.csv
l2_structured,single_layer_sweep,9,1,0.05,0.506632,0.490896,0.015737,0.690055,0.671055,0.019000,1.745832,1.368557,572.792791,730.696406,0.344765,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l2_structured_single_sweep/layer_9_amt_0p05/yolo26n_l2_layer_9_amt_0p05.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l2_structured_single_sweep/layer_9_amt_0p05/structured_pruning_summary.csv
l2_structured,single_layer_sweep,20,1,0.1,0.506632,0.489231,0.017401,0.690055,0.683530,0.006525,1.442814,1.484096,693.090133,673.811001,0.630169,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l2_structured_single_sweep/layer_20_amt_0p10/yolo26n_l2_layer_20_amt_0p10.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l2_structured_single_sweep/layer_20_amt_0p10/structured_pruning_summary.csv
l2_structured,single_layer_sweep,10,1,0.05,0.506632,0.489093,0.017540,0.690055,0.671069,0.018986,1.350790,1.355747,740.307378,737.600799,0.519356,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l2_structured_single_sweep/layer_10_amt_0p05/yolo26n_l2_layer_10_amt_0p05.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l2_structured_single_sweep/layer_10_amt_0p05/structured_pruning_summary.csv
l2_structured,single_layer_sweep,17,1,0.05,0.506632,0.487526,0.019106,0.690055,0.683480,0.006575,1.331329,1.350315,751.128856,740.568187,0.072823,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l2_structured_single_sweep/layer_17_amt_0p05/yolo26n_l2_layer_17_amt_0p05.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l2_structured_single_sweep/layer_17_amt_0p05/structured_pruning_summary.csv
l2_structured,single_layer_sweep,13,1,0.05,0.506632,0.483315,0.023317,0.690055,0.656596,0.033460,1.305965,1.337035,765.717202,747.923682,0.261298,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l2_structured_single_sweep/layer_13_amt_0p05/yolo26n_l2_layer_13_amt_0p05.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l2_structured_single_sweep/layer_13_amt_0p05/structured_pruning_summary.csv
l2_structured,single_layer_sweep,7,1,0.2,0.506632,0.476630,0.030002,0.690055,0.644706,0.045349,1.357343,1.362042,736.733467,734.191686,2.471833,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l2_structured_single_sweep/layer_7_amt_0p20/yolo26n_l2_layer_7_amt_0p20.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l2_structured_single_sweep/layer_7_amt_0p20/structured_pruning_summary.csv
