pruning_method,search_type,layers,size,amount,baseline_mAP50_95,pruned_mAP50_95,drop_mAP50_95,baseline_mAP50,pruned_mAP50,drop_mAP50,baseline_latency_ms,pruned_latency_ms,baseline_fps,pruned_fps,zero_percent,model_path,source_csv
l1_unstructured,new_top6_combo,"20,7,22",3,0.2,0.506632,0.508041,-0.001408,0.690055,0.691633,-0.001578,1.431396,1.333292,698.618788,750.023526,7.591815,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p20/combo_20_7_22_amt_0p20/yolo26n_l1_combo_20_7_22_amt_0p20.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p20/combo_20_7_22_amt_0p20/unstructured_pruning_summary.csv
l1_unstructured,new_top6_combo,"7,22",2,0.2,0.506632,0.507516,-0.000883,0.690055,0.690458,-0.000403,1.409484,1.340551,709.479322,745.961945,6.351124,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p20/combo_7_22_amt_0p20/yolo26n_l1_combo_7_22_amt_0p20.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p20/combo_7_22_amt_0p20/unstructured_pruning_summary.csv
l1_unstructured,new_top6_combo,"7,10,17",3,0.2,0.506632,0.507481,-0.000849,0.690055,0.689200,0.000855,1.288605,1.308381,776.033216,764.303265,4.869244,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p20/combo_7_10_17_amt_0p20/yolo26n_l1_combo_7_10_17_amt_0p20.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p20/combo_7_10_17_amt_0p20/unstructured_pruning_summary.csv
l1_unstructured,new_top6_combo,"20,7,10,17",4,0.2,0.506632,0.507432,-0.000800,0.690055,0.689533,0.000522,1.338472,1.320309,747.120830,757.398362,6.109935,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p20/combo_20_7_10_17_amt_0p20/yolo26n_l1_combo_20_7_10_17_amt_0p20.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p20/combo_20_7_10_17_amt_0p20/unstructured_pruning_summary.csv
l1_unstructured,new_top6_combo,"20,7,22,10,17",5,0.2,0.506632,0.507425,-0.000793,0.690055,0.689192,0.000863,1.390924,1.276629,718.946560,783.312948,9.979550,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p20/combo_20_7_22_10_17_amt_0p20/yolo26n_l1_combo_20_7_22_10_17_amt_0p20.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p20/combo_20_7_22_10_17_amt_0p20/unstructured_pruning_summary.csv
l1_unstructured,new_top6_combo,7,1,0.2,0.506632,0.507365,-0.000732,0.690055,0.690671,-0.000616,1.323464,1.308173,755.593034,764.425114,2.481509,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p20/combo_7_amt_0p20/yolo26n_l1_combo_7_amt_0p20.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p20/combo_7_amt_0p20/unstructured_pruning_summary.csv
l1_unstructured,new_top6_combo,"20,10",2,0.2,0.506632,0.507197,-0.000565,0.690055,0.689075,0.000980,1.352099,1.308793,739.590994,764.062884,3.318369,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p20/combo_20_10_amt_0p20/yolo26n_l1_combo_20_10_amt_0p20.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p20/combo_20_10_amt_0p20/unstructured_pruning_summary.csv
l1_unstructured,new_top6_combo,"20,10,17",3,0.2,0.506632,0.507164,-0.000532,0.690055,0.689185,0.000870,1.334681,1.328788,749.242788,752.565530,3.628552,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p20/combo_20_10_17_amt_0p20/yolo26n_l1_combo_20_10_17_amt_0p20.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p20/combo_20_10_17_amt_0p20/unstructured_pruning_summary.csv
l1_unstructured,new_top6_combo,"20,7",2,0.2,0.506632,0.507151,-0.000519,0.690055,0.690411,-0.000356,1.284137,1.317662,778.732826,758.919788,3.722201,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p20/combo_20_7_amt_0p20/yolo26n_l1_combo_20_7_amt_0p20.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p20/combo_20_7_amt_0p20/unstructured_pruning_summary.csv
l1_unstructured,new_top6_combo,22,1,0.2,0.506632,0.507116,-0.000484,0.690055,0.689970,0.000086,1.401001,1.375075,713.775489,727.232825,3.869741,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p20/combo_22_amt_0p20/yolo26n_l1_combo_22_amt_0p20.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p20/combo_22_amt_0p20/unstructured_pruning_summary.csv
l1_unstructured,new_top6_combo,"20,22",2,0.2,0.506632,0.507102,-0.000470,0.690055,0.690206,-0.000151,1.353549,1.311958,738.798688,762.219427,5.110432,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p20/combo_20_22_amt_0p20/yolo26n_l1_combo_20_22_amt_0p20.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p20/combo_20_22_amt_0p20/unstructured_pruning_summary.csv
l1_unstructured,new_top6_combo,"20,7,10",3,0.2,0.506632,0.507047,-0.000415,0.690055,0.689564,0.000491,1.397286,1.383245,715.673311,722.937948,5.799752,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p20/combo_20_7_10_amt_0p20/yolo26n_l1_combo_20_7_10_amt_0p20.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p20/combo_20_7_10_amt_0p20/unstructured_pruning_summary.csv
l1_unstructured,new_top6_combo,10,1,0.2,0.506632,0.507033,-0.000401,0.690055,0.688809,0.001246,1.348546,1.354654,741.539205,738.195739,2.077678,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p20/combo_10_amt_0p20/yolo26n_l1_combo_10_amt_0p20.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p20/combo_10_amt_0p20/unstructured_pruning_summary.csv
l1_unstructured,new_top6_combo,"7,22,10,17",4,0.2,0.506632,0.506945,-0.000313,0.690055,0.688903,0.001153,1.339156,1.308096,746.738920,764.469868,8.738858,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p20/combo_7_22_10_17_amt_0p20/yolo26n_l1_combo_7_22_10_17_amt_0p20.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p20/combo_7_22_10_17_amt_0p20/unstructured_pruning_summary.csv
l1_unstructured,new_top6_combo,"20,7,22",3,0.1,0.506632,0.506925,-0.000293,0.690055,0.689701,0.000354,1.365073,1.264629,732.561532,790.745840,3.795865,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p10/combo_20_7_22_amt_0p10/yolo26n_l1_combo_20_7_22_amt_0p10.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p10/combo_20_7_22_amt_0p10/unstructured_pruning_summary.csv
l1_unstructured,new_top6_combo,"10,17",2,0.2,0.506632,0.506914,-0.000282,0.690055,0.688656,0.001399,1.439149,1.513433,694.854914,660.749396,2.387861,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p20/combo_10_17_amt_0p20/yolo26n_l1_combo_10_17_amt_0p20.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p20/combo_10_17_amt_0p20/unstructured_pruning_summary.csv
l1_unstructured,new_top6_combo,"20,7",2,0.1,0.506632,0.506865,-0.000233,0.690055,0.689951,0.000104,1.399101,1.288531,714.744847,776.077822,1.861184,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p10/combo_20_7_amt_0p10/yolo26n_l1_combo_20_7_amt_0p10.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p10/combo_20_7_amt_0p10/unstructured_pruning_summary.csv
l1_unstructured,new_top6_combo,"7,22",2,0.1,0.506632,0.506846,-0.000214,0.690055,0.689657,0.000398,1.357465,1.297598,736.667040,770.654885,3.175499,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p10/combo_7_22_amt_0p10/yolo26n_l1_combo_7_22_amt_0p10.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p10/combo_7_22_amt_0p10/unstructured_pruning_summary.csv
