layer_id,type,from,params,mean_latency_ms,latency_percent,output_shape
0,Conv,-1,464,0.117580,2.122852,"[1, 16, 320, 320]"
1,Conv,-1,4672,0.075517,1.363431,"[1, 32, 160, 160]"
2,C3k2,-1,6640,0.212683,3.839889,"[1, 64, 160, 160]"
3,Conv,-1,36992,0.078229,1.412386,"[1, 64, 80, 80]"
4,C3k2,-1,26080,0.171062,3.088444,"[1, 128, 80, 80]"
5,Conv,-1,147712,0.070614,1.274911,"[1, 128, 40, 40]"
6,C3k2,-1,87040,0.359264,6.486353,"[1, 128, 40, 40]"
7,Conv,-1,295424,0.054146,0.977588,"[1, 256, 20, 20]"
8,C3k2,-1,346112,0.354152,6.394054,"[1, 256, 20, 20]"
9,SPPF,-1,164608,0.120899,2.182773,"[1, 256, 20, 20]"
10,C2PSA,-1,249728,0.433745,7.831060,"[1, 256, 20, 20]"
11,Upsample,-1,0,0.023213,0.419100,"[1, 256, 40, 40]"
12,Concat,"[-1, 6]",0,0.018001,0.325008,"[1, 384, 40, 40]"
13,C3k2,-1,119808,0.370862,6.695738,"[1, 128, 40, 40]"
14,Upsample,-1,0,0.021586,0.389719,"[1, 128, 80, 80]"
15,Concat,"[-1, 4]",0,0.022788,0.411435,"[1, 256, 80, 80]"
16,C3k2,-1,34304,0.324072,5.850978,"[1, 64, 80, 80]"
17,Conv,-1,36992,0.048551,0.876574,"[1, 64, 40, 40]"
18,Concat,"[-1, 13]",0,0.015941,0.287807,"[1, 192, 40, 40]"
19,C3k2,-1,95232,0.351819,6.351932,"[1, 128, 40, 40]"
20,Conv,-1,147712,0.049447,0.892747,"[1, 128, 20, 20]"
21,Concat,"[-1, 10]",0,0.014925,0.269456,"[1, 384, 20, 20]"
22,C3k2,-1,463104,0.505301,9.122982,"[1, 256, 20, 20]"
23,Detect,"[16, 19, 22]",245466,1.724374,31.132783,"[[1, 300, 6], dict]"
