layer_id,type,noise_std_ratio,map50_95,map50,drop_map50_95,drop_map50
baseline,none,0.8,0.506632,0.690055,0.000000,0.000000
0,Conv,0.8,0.226854,0.326779,0.279779,0.363276
1,Conv,0.8,0.390777,0.550719,0.115855,0.139336
2,C3k2,0.8,0.492481,0.675808,0.014152,0.014248
3,Conv,0.8,0.411865,0.581763,0.094768,0.108292
4,C3k2,0.8,0.493392,0.680380,0.013240,0.009675
5,Conv,0.8,0.489192,0.664380,0.017441,0.025675
6,C3k2,0.8,0.495748,0.671429,0.010884,0.018626
7,Conv,0.8,0.506976,0.690179,-0.000344,-0.000124
8,C3k2,0.8,0.483495,0.656205,0.023138,0.033850
9,SPPF,0.8,0.490068,0.667612,0.016565,0.022443
10,C2PSA,0.8,0.488985,0.666504,0.017648,0.023551
11,Upsample,0.8,0.497985,0.679906,0.008647,0.010149
12,Concat,0.8,0.487604,0.667526,0.019028,0.022529
13,C3k2,0.8,0.485423,0.670340,0.021209,0.019715
14,Upsample,0.8,0.498079,0.682847,0.008553,0.007208
15,Concat,0.8,0.496932,0.684875,0.009700,0.005180
16,C3k2,0.8,0.470565,0.634714,0.036067,0.055341
17,Conv,0.8,0.502246,0.686088,0.004386,0.003967
18,Concat,0.8,0.500158,0.685673,0.006475,0.004382
19,C3k2,0.8,0.468986,0.647063,0.037646,0.042992
20,Conv,0.8,0.505775,0.689858,0.000857,0.000197
21,Concat,0.8,0.507442,0.690595,-0.000809,-0.000540
22,C3k2,0.8,0.471390,0.662330,0.035243,0.027726
