layer_id,type,noise_std_ratio,map50_95,map50,drop_map50_95,drop_map50
baseline,none,1.0,0.506632,0.690055,0.000000,0.000000
baseline,none,1.2,0.506632,0.690055,0.000000,0.000000
baseline,none,1.4,0.506632,0.690055,0.000000,0.000000
baseline,none,1.6,0.506632,0.690055,0.000000,0.000000
baseline,none,1.8,0.506632,0.690055,0.000000,0.000000
baseline,none,2.0,0.506632,0.690055,0.000000,0.000000
0,Conv,1.0,0.129418,0.186596,0.377214,0.503459
0,Conv,1.2,0.065716,0.099764,0.440916,0.590291
0,Conv,1.4,0.026591,0.040245,0.480042,0.649810
0,Conv,1.6,0.011231,0.015276,0.495402,0.674779
0,Conv,1.8,0.003342,0.004996,0.503290,0.685059
0,Conv,2.0,0.000512,0.000584,0.506120,0.689471
1,Conv,1.0,0.301697,0.437431,0.204935,0.252624
1,Conv,1.2,0.199891,0.297920,0.306741,0.392135
1,Conv,1.4,0.129561,0.186459,0.377071,0.503596
1,Conv,1.6,0.075012,0.106964,0.431620,0.583092
1,Conv,1.8,0.038253,0.054733,0.468379,0.635322
1,Conv,2.0,0.017707,0.027234,0.488925,0.662821
2,C3k2,1.0,0.474561,0.650729,0.032072,0.039326
2,C3k2,1.2,0.447731,0.620584,0.058901,0.069472
2,C3k2,1.4,0.410067,0.579536,0.096565,0.110519
2,C3k2,1.6,0.352978,0.499061,0.153655,0.190994
2,C3k2,1.8,0.291210,0.415278,0.215422,0.274777
2,C3k2,2.0,0.232762,0.338824,0.273870,0.351232
3,Conv,1.0,0.334498,0.473960,0.172134,0.216095
3,Conv,1.2,0.248601,0.355401,0.258031,0.334654
3,Conv,1.4,0.168258,0.244309,0.338374,0.445746
3,Conv,1.6,0.115964,0.169383,0.390668,0.520672
3,Conv,1.8,0.076408,0.115100,0.430225,0.574955
3,Conv,2.0,0.049574,0.078621,0.457059,0.611434
4,C3k2,1.0,0.484197,0.670723,0.022436,0.019333
4,C3k2,1.2,0.472949,0.660127,0.033683,0.029928
4,C3k2,1.4,0.457832,0.641807,0.048801,0.048249
4,C3k2,1.6,0.437715,0.620264,0.068917,0.069791
4,C3k2,1.8,0.411499,0.586216,0.095133,0.103839
4,C3k2,2.0,0.373137,0.533281,0.133495,0.156774
5,Conv,1.0,0.466743,0.637374,0.039890,0.052681
5,Conv,1.2,0.427052,0.590254,0.079580,0.099801
5,Conv,1.4,0.362145,0.507168,0.144487,0.182887
5,Conv,1.6,0.285636,0.399377,0.220997,0.290678
5,Conv,1.8,0.198762,0.279559,0.307871,0.410496
5,Conv,2.0,0.123186,0.176447,0.383447,0.513608
6,C3k2,1.0,0.488420,0.662584,0.018213,0.027472
6,C3k2,1.2,0.478560,0.650586,0.028073,0.039469
6,C3k2,1.4,0.465963,0.632219,0.040670,0.057836
6,C3k2,1.6,0.451011,0.613271,0.055621,0.076784
6,C3k2,1.8,0.430408,0.587706,0.076224,0.102349
6,C3k2,2.0,0.401695,0.552524,0.104937,0.137531
7,Conv,1.0,0.497987,0.678049,0.008646,0.012006
7,Conv,1.2,0.486875,0.663839,0.019757,0.026216
7,Conv,1.4,0.466759,0.636701,0.039874,0.053354
7,Conv,1.6,0.439544,0.599419,0.067089,0.090636
7,Conv,1.8,0.414522,0.563618,0.092110,0.126437
7,Conv,2.0,0.389627,0.528152,0.117006,0.161903
8,C3k2,1.0,0.465640,0.636539,0.040992,0.053517
8,C3k2,1.2,0.437130,0.601833,0.069502,0.088222
8,C3k2,1.4,0.404464,0.567050,0.102169,0.123005
