layer_id,type,noise_std_ratio,map50_95,map50,drop_map50_95,drop_map50
baseline,none,2.0,0.506632,0.690055,0.000000,0.000000
0,Conv,2.0,0.000512,0.000584,0.506120,0.689471
1,Conv,2.0,0.017707,0.027234,0.488925,0.662821
2,C3k2,2.0,0.232762,0.338824,0.273870,0.351232
3,Conv,2.0,0.049574,0.078621,0.457059,0.611434
4,C3k2,2.0,0.373137,0.533281,0.133495,0.156774
5,Conv,2.0,0.123186,0.176447,0.383447,0.513608
6,C3k2,2.0,0.401695,0.552524,0.104937,0.137531
7,Conv,2.0,0.389627,0.528152,0.117006,0.161903
8,C3k2,2.0,0.277729,0.397917,0.228903,0.292138
9,SPPF,2.0,0.281725,0.402256,0.224907,0.287799
10,C2PSA,2.0,0.388013,0.564685,0.118620,0.125371
11,Upsample,2.0,0.454629,0.631433,0.052003,0.058622
12,Concat,2.0,0.399019,0.565454,0.107614,0.124602
13,C3k2,2.0,0.378618,0.547738,0.128014,0.142317
14,Upsample,2.0,0.450013,0.645560,0.056619,0.044495
15,Concat,2.0,0.384739,0.576219,0.121893,0.113836
16,C3k2,2.0,0.365116,0.486241,0.141516,0.203814
17,Conv,2.0,0.471332,0.668117,0.035301,0.021938
18,Concat,2.0,0.446150,0.640426,0.060483,0.049629
19,C3k2,2.0,0.277101,0.410841,0.229532,0.279214
20,Conv,2.0,0.497232,0.684586,0.009400,0.005469
21,Concat,2.0,0.482082,0.670815,0.024550,0.019241
22,C3k2,2.0,0.361636,0.533679,0.144997,0.156377
