epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,474.172,1.99599,2.64687,0.01053,0.33356,0.21827,0.17453,0.10785,1.54351,1.9075,0.01084,0.000999818,0.000999818,0.001018
2,926.302,1.67748,1.92174,0.008,0.5012,0.31483,0.28937,0.18749,1.40752,1.5752,0.00939,0.0009505,0.0009505,0.0009505
3,1379.6,1.58546,1.70967,0.00738,0.58229,0.34526,0.35187,0.23436,1.36034,1.39646,0.00892,0.000901,0.000901,0.000901
4,1831.31,1.53759,1.59663,0.00703,0.44976,0.38009,0.38143,0.25892,1.30861,1.30538,0.00843,0.0008515,0.0008515,0.0008515
5,2282.95,1.50011,1.51539,0.00681,0.45248,0.41146,0.41412,0.28365,1.27853,1.22693,0.00813,0.000802,0.000802,0.000802
6,2732.81,1.47355,1.45788,0.00662,0.51355,0.42616,0.43323,0.30013,1.25288,1.18172,0.00787,0.0007525,0.0007525,0.0007525
7,3180.32,1.45136,1.41065,0.00649,0.50809,0.44096,0.44572,0.31028,1.23895,1.14542,0.00773,0.000703,0.000703,0.000703
8,3626.55,1.43756,1.37592,0.00636,0.51676,0.44024,0.46478,0.32477,1.22669,1.11182,0.00761,0.0006535,0.0006535,0.0006535
9,4075.08,1.42309,1.34479,0.00625,0.5169,0.45047,0.47048,0.32973,1.21993,1.09603,0.00753,0.000604,0.000604,0.000604
10,4522.96,1.41151,1.32138,0.00618,0.52536,0.4599,0.47763,0.33574,1.21394,1.07798,0.00748,0.0005545,0.0005545,0.0005545
11,4969.55,1.40119,1.3021,0.00612,0.53105,0.462,0.48303,0.33946,1.20836,1.06765,0.00743,0.000505,0.000505,0.000505
12,5416.41,1.39171,1.278,0.00606,0.55949,0.4591,0.48774,0.34293,1.20493,1.05703,0.00739,0.0004555,0.0004555,0.0004555
13,5867.67,1.37934,1.259,0.00599,0.55154,0.46457,0.49113,0.34547,1.20169,1.04977,0.00736,0.000406,0.000406,0.000406
14,6320,1.37393,1.24559,0.00592,0.554,0.47286,0.49423,0.3482,1.19823,1.0449,0.00733,0.0003565,0.0003565,0.0003565
15,6763.25,1.36687,1.2341,0.00591,0.5447,0.4759,0.498,0.35106,1.19547,1.03826,0.0073,0.000307,0.000307,0.000307
16,7209.74,1.36289,1.22579,0.00587,0.54523,0.48039,0.50056,0.35312,1.1927,1.03316,0.00728,0.0002575,0.0002575,0.0002575
17,7657.6,1.35616,1.21349,0.00582,0.55154,0.47706,0.50224,0.35474,1.19054,1.02675,0.00725,0.000208,0.000208,0.000208
18,8104.85,1.35167,1.20522,0.0058,0.55386,0.48167,0.50499,0.35658,1.1889,1.02293,0.00723,0.0001585,0.0001585,0.0001585
19,8554.46,1.34978,1.20202,0.00579,0.5612,0.48291,0.50739,0.35819,1.187,1.01671,0.00721,0.000109,0.000109,0.000109
20,9005.1,1.34609,1.19456,0.00575,0.55608,0.48645,0.5091,0.35995,1.18475,1.0133,0.00718,5.95e-05,5.95e-05,5.95e-05
