epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.53766,1.85944,1.8136,0.00449,0.60285,0.20516,0.24445,0.11661,1.92657,1.82148,0.00763,0.00024,0.00024,0.00024
2,10.6734,1.8223,1.55989,0.00396,0.32647,0.26589,0.2688,0.14563,1.8925,1.64585,0.00711,0.000465745,0.000465745,0.000465745
3,13.5618,1.78549,1.48255,0.00372,0.35229,0.25824,0.26669,0.14205,1.86579,1.64887,0.00701,0.00066674,0.00066674,0.00066674
4,16.3203,1.78936,1.4426,0.00381,0.4027,0.25714,0.26557,0.14094,1.89865,1.72714,0.00712,0.000842985,0.000842985,0.000842985
5,19.1207,1.81752,1.49109,0.00392,0.40827,0.29761,0.3091,0.15034,1.93915,1.63647,0.00748,0.000802,0.000802,0.000802
6,22.1163,1.78652,1.41053,0.0036,0.6553,0.23584,0.30506,0.15246,1.90661,1.58222,0.00732,0.0007525,0.0007525,0.0007525
7,25.4603,1.77317,1.40227,0.00373,0.2886,0.29501,0.2874,0.14689,1.87239,1.5553,0.00701,0.000703,0.000703,0.000703
8,28.4161,1.75317,1.41256,0.00367,0.27272,0.28612,0.28604,0.14557,1.91541,1.54827,0.00728,0.0006535,0.0006535,0.0006535
9,31.3354,1.79202,1.40355,0.00378,0.27866,0.33513,0.28466,0.15149,1.88036,1.52371,0.00727,0.000604,0.000604,0.000604
10,34.2972,1.75237,1.36587,0.00354,0.43897,0.27241,0.28877,0.16029,1.87813,1.49823,0.0072,0.0005545,0.0005545,0.0005545
11,37.2532,1.77003,1.34918,0.00348,0.32544,0.32635,0.29076,0.15721,1.85305,1.52643,0.00686,0.000505,0.000505,0.000505
12,40.5793,1.76007,1.33404,0.0035,0.29017,0.26901,0.29361,0.16078,1.87774,1.57369,0.00697,0.0004555,0.0004555,0.0004555
13,43.4059,1.69623,1.30042,0.00341,0.31754,0.35407,0.30403,0.16256,1.88794,1.52394,0.00702,0.000406,0.000406,0.000406
14,46.2491,1.7466,1.3101,0.00338,0.39025,0.32865,0.30699,0.17579,1.85826,1.48589,0.00672,0.0003565,0.0003565,0.0003565
15,49.0849,1.77605,1.30407,0.0033,0.36896,0.32645,0.30327,0.17434,1.86255,1.48919,0.00662,0.000307,0.000307,0.000307
16,51.8824,1.73734,1.28256,0.00331,0.39023,0.33116,0.31509,0.17594,1.8806,1.46292,0.00672,0.0002575,0.0002575,0.0002575
17,54.9567,1.72301,1.27769,0.00324,0.38775,0.33205,0.30753,0.17396,1.8666,1.47823,0.00665,0.000208,0.000208,0.000208
18,57.7499,1.71652,1.27713,0.00316,0.40124,0.32824,0.31242,0.17491,1.86461,1.45139,0.00671,0.0001585,0.0001585,0.0001585
19,60.5301,1.68277,1.25994,0.00317,0.42539,0.33165,0.3178,0.17683,1.87666,1.42989,0.00674,0.000109,0.000109,0.000109
20,63.3825,1.66071,1.24019,0.00313,0.43053,0.34024,0.32114,0.18092,1.86242,1.42742,0.00662,5.95e-05,5.95e-05,5.95e-05
