epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,509.168,1.23387,1.01108,0.00563,0.62221,0.58436,0.61052,0.42928,1.06376,0.81747,0.00681,0.000999818,0.000999818,0.001018
2,997.997,1.15345,0.84239,0.00494,0.68512,0.61922,0.67223,0.47721,1.04163,0.75016,0.00644,0.0009505,0.0009505,0.0009505
3,1484.67,1.13679,0.80724,0.00482,0.71916,0.63995,0.70243,0.50319,1.02831,0.7214,0.0063,0.000901,0.000901,0.000901
4,1976.32,1.13171,0.79015,0.00475,0.69951,0.66844,0.71239,0.51761,1.01491,0.69124,0.00603,0.0008515,0.0008515,0.0008515
5,2459.79,1.12145,0.77045,0.00469,0.70841,0.67948,0.72713,0.52995,1.0029,0.67216,0.00587,0.000802,0.000802,0.000802
6,2950.29,1.1167,0.75983,0.00463,0.70708,0.69058,0.73469,0.53788,0.99801,0.65844,0.00579,0.0007525,0.0007525,0.0007525
7,3446.09,1.11034,0.7507,0.00459,0.70639,0.70516,0.74202,0.54617,0.99369,0.65273,0.00573,0.000703,0.000703,0.000703
8,3943.5,1.10759,0.7438,0.00454,0.73289,0.70105,0.7517,0.5543,0.98959,0.64118,0.00566,0.0006535,0.0006535,0.0006535
9,4429.38,1.10189,0.7346,0.00449,0.74398,0.70105,0.75493,0.55777,0.98657,0.64085,0.00563,0.000604,0.000604,0.000604
10,4925.63,1.09932,0.72643,0.00447,0.7409,0.70417,0.75585,0.56006,0.98444,0.63424,0.0056,0.0005545,0.0005545,0.0005545
11,5423.85,1.09429,0.72061,0.00444,0.75304,0.7017,0.75934,0.56237,0.98325,0.63059,0.00559,0.000505,0.000505,0.000505
12,5913.94,1.0905,0.71342,0.00441,0.75549,0.69877,0.76033,0.56376,0.9823,0.6289,0.00557,0.0004555,0.0004555,0.0004555
13,6402.42,1.08552,0.70592,0.00439,0.75373,0.70519,0.76203,0.56531,0.98178,0.62643,0.00556,0.000406,0.000406,0.000406
14,6891.01,1.08185,0.69957,0.00434,0.75976,0.70334,0.76286,0.56633,0.98078,0.62558,0.00556,0.0003565,0.0003565,0.0003565
15,7384.31,1.07865,0.69518,0.00434,0.75626,0.7078,0.7642,0.5678,0.98046,0.62372,0.00555,0.000307,0.000307,0.000307
16,7875.25,1.0773,0.69415,0.00432,0.75897,0.70874,0.76568,0.56829,0.98033,0.62165,0.00555,0.0002575,0.0002575,0.0002575
17,8372.02,1.07352,0.68671,0.00429,0.75726,0.71012,0.76724,0.56934,0.97985,0.62002,0.00554,0.000208,0.000208,0.000208
18,8872.5,1.0702,0.68053,0.00428,0.76314,0.70717,0.76753,0.5703,0.97935,0.61855,0.00554,0.0001585,0.0001585,0.0001585
19,9364.71,1.06911,0.67984,0.00426,0.76423,0.70643,0.76818,0.57086,0.97938,0.61748,0.00553,0.000109,0.000109,0.000109
20,9852.83,1.06595,0.67552,0.00423,0.76313,0.70799,0.76908,0.57077,0.979,0.61666,0.00553,5.95e-05,5.95e-05,5.95e-05
