method,shared_rank_prune_first_ascending,cumulative_queue_index,group_id,group_kind,eligible_for_cumulative_raw,protected_reason,GEN2_rank,NGN2_rank,mean_domain_rank,GEN2_prune_first_mean_score,NGN2_prune_first_mean_score,GEN2_selected_unit_count,NGN2_selected_unit_count
fpgm,1,1,DG012,GENERIC,True,,1,1,1.0,0.7465083599090576,0.563346803188324,6,6
fpgm,2,2,DG011,GENERIC,True,,2,4,3.0,0.8519583344459534,0.6722823977470398,6,6
fpgm,3,3,DG018,GENERIC,True,,3,3,3.0,0.9479774832725525,0.6344912648200989,12,12
fpgm,4,4,DG017,GENERIC,True,,5,5,5.0,1.053633451461792,0.7264106273651123,12,12
fpgm,5,5,DG007,GENERIC,True,,6,6,6.0,1.0808526277542114,0.7281503081321716,12,12
fpgm,6,6,DG026,GENERIC,True,,11,2,6.5,1.1797078847885132,0.6185042858123779,96,96
fpgm,7,7,DG033,GENERIC,True,,7,7,7.0,1.1120582818984985,0.7630789875984192,12,12
fpgm,8,8,DG006,GENERIC,True,,8,8,8.0,1.1187134981155396,0.7968132495880127,12,12
fpgm,9,,DG001,GENERIC,False,stem remains protected,4,13,8.5,1.0387228727340698,0.8746905326843262,6,6
fpgm,10,9,DG032,GENERIC,True,,9,9,9.0,1.1422477960586548,0.7976830005645752,12,12
fpgm,11,10,DG004,GENERIC,True,,13,10,11.5,1.397815227508545,0.8040328621864319,96,96
fpgm,12,11,DG010,GENERIC,True,,12,12,12.0,1.205054521560669,0.8549395203590393,24,24
fpgm,13,12,DG021,GENERIC,True,,10,14,12.0,1.1698284149169922,0.8843076825141907,24,24
fpgm,14,13,DG039,GENERIC,True,,15,11,13.0,1.4235197305679321,0.8475546836853027,24,24
fpgm,15,14,DG028,GENERIC,True,,14,17,15.5,1.4076075553894043,0.958977222442627,48,48
fpgm,16,15,DG038,GENERIC,True,,16,15,15.5,1.4536495208740234,0.8934062123298645,24,24
