method,shared_rank_prune_first_ascending,cumulative_queue_index,group_id,group_kind,eligible_for_cumulative_raw,protected_reason,GEN2_rank,NGN2_rank,mean_domain_rank,GEN2_prune_first_mean_score,NGN2_prune_first_mean_score,GEN2_selected_unit_count,NGN2_selected_unit_count
global_l1,1,,DG001,GENERIC,False,stem remains protected,1,1,1.0,0.8189491629600525,0.8328902721405029,6,6
global_l1,2,1,DG016,GENERIC,True,,2,2,2.0,0.8201510310173035,0.8739903569221497,48,48
global_l1,3,2,DG021,GENERIC,True,,6,4,5.0,0.9056974053382874,0.8967061638832092,24,24
global_l1,4,3,DG010,GENERIC,True,,3,8,5.5,0.8598425984382629,0.9059497714042664,24,24
global_l1,5,4,DG023,GENERIC,True,,7,5,6.0,0.9062221646308899,0.9033963084220886,48,48
global_l1,6,5,DG002,GENERIC,True,,10,3,6.5,0.9213221073150635,0.8950064182281494,12,12
global_l1,7,6,DG018,GENERIC,True,,4,9,6.5,0.8984372019767761,0.9071254134178162,12,12
global_l1,8,7,DG024,GENERIC,True,,5,10,7.5,0.9012411236763,0.9094429016113281,96,96
global_l1,9,8,DG026,GENERIC,True,,9,7,8.0,0.9211428761482239,0.9049381613731384,96,96
global_l1,10,9,DG022,GENERIC,True,,11,6,8.5,0.9218944907188416,0.9034347534179688,3,3
global_l1,11,10,DG015,GENERIC,True,,8,11,9.5,0.9152587056159973,0.9264280200004578,24,24
global_l1,12,11,DG019,GENERIC,True,,12,13,12.5,0.9240637421607971,0.926655113697052,12,12
global_l1,13,12,DG025,GENERIC,True,,14,12,13.0,0.9295911192893982,0.9264764785766602,24,24
global_l1,14,13,DG012,GENERIC,True,,13,17,15.0,0.9283609986305237,0.9353575706481934,6,6
global_l1,15,14,CDG008,CUSTOM,True,,17,16,16.5,0.934323787689209,0.9351919293403625,24,24
global_l1,16,15,DG033,GENERIC,True,,20,14,17.0,0.9407433867454529,0.9317652583122253,12,12
global_l1,17,16,DG005,GENERIC,True,,15,20,17.5,0.9318349361419678,0.9377745985984802,48,48
