rank_by_prunability_descending,ratio_percent,group_id,group_kind,representative_root,parameters_removed,baseline_parameters,R_parameter_reduction_fraction,sensitivity_S_R4,epsilon,P_R4_prunability
1,12.5,DG004,GENERIC,model.10.m.0.ffn.0.conv,8256,2506140,0.0032943091766621177,-0.00023849270830066766,0.001,4.326037600126903
2,12.5,DG026,GENERIC,model.22.m.0.1.ffn.0.conv,8256,2506140,0.0032943091766621177,0.00025392944070084427,0.001,2.6271886357663536
3,12.5,DG025,GENERIC,model.22.m.0.0.cv1.conv,18448,2506140,0.007361121086611282,0.004646882353155053,0.001,1.3035725956816582
4,12.5,DG038,GENERIC,model.8.m.0.cv1.conv,20528,2506140,0.008191082700886622,0.007132597947297241,0.001,1.0071913986119059
5,12.5,CDG009,CUSTOM,model.22,63120,2506140,0.025186142833201655,0.03115892951223144,0.001,0.7831772765826135
6,12.5,CDG005,CUSTOM,model.10,36464,2506140,0.014549865530257687,0.018295706772592464,0.001,0.7540467784742796
7,12.5,DG040,GENERIC,model.8.m.0.m.0.cv1.conv,9232,2506140,0.0036837527033605467,0.005759508475208998,0.001,0.544973457296634
8,12.5,DG034,GENERIC,model.6.m.0.m.0.cv1.conv,2312,2506140,0.0009225342558675892,0.0010059922243544671,0.001,0.459889248157212
9,12.5,CDG004,CUSTOM,model.8,24672,2506140,0.00984462160932749,0.020415938294618203,0.001,0.45968668166182713
10,12.5,DG042,GENERIC,model.9.cv1.conv,20512,2506140,0.008184698380776812,0.019923432808046346,0.001,0.39117378376024853
11,12.5,DG003,GENERIC,model.10.cv2.conv,20544,2506140,0.008197467020996432,0.02053885193347702,0.001,0.38058978474407074
12,12.5,DG036,GENERIC,model.7.conv,45120,2506140,0.018003782709665062,0.05140815499338494,0.001,0.34353017601817
13,12.5,DG039,GENERIC,model.8.m.0.cv2.conv,2064,2506140,0.0008235772941655294,0.0015483286607661311,0.001,0.3231833110246968
14,12.5,DG037,GENERIC,model.8.cv2.conv,41088,2506140,0.016394934041992864,0.06825767303823639,0.001,0.23672372060408964
15,12.5,DG041,GENERIC,model.8.m.0.m.1.cv1.conv,9232,2506140,0.0036837527033605467,0.0163506812949242,0.001,0.21231170354320314
16,12.5,DG023,GENERIC,model.20.conv,22560,2506140,0.009001891354832531,0.04454816487109725,0.001,0.19763455630557605
17,12.5,DG031,GENERIC,model.6.cv2.conv,42016,2506140,0.016765224608361863,0.0962910887660556,0.001,0.17232024865787265
18,12.5,DG024,GENERIC,model.22.cv2.conv,26368,2506140,0.010521359540967385,0.08362031450172273,0.001,0.12433609592355258
19,12.5,DG019,GENERIC,model.19.m.0.m.0.cv1.conv,2312,2506140,0.0009225342558675892,0.007833002425954916,0.001,0.10444175280160822
20,12.5,DG008,GENERIC,model.13.m.0.m.0.cv1.conv,2312,2506140,0.0009225342558675892,0.00897726864502607,0.001,0.09246360789608452
21,12.5,DG028,GENERIC,model.4.cv2.conv,21024,2506140,0.008388996624290742,0.09922943449836119,0.001,0.08369793430719104
22,12.5,DG016,GENERIC,model.19.cv2.conv,28544,2506140,0.011389627075901586,0.16420062051741796,0.001,0.06894421485965738
23,12.5,DG033,GENERIC,model.6.m.0.cv2.conv,520,2506140,0.00020749040356883493,0.00217211824882076,0.001,0.06541067743800845
24,12.5,DG018,GENERIC,model.19.m.0.cv2.conv,520,2506140,0.00020749040356883493,0.0021949335829996187,0.001,0.06494357337282392
25,12.5,DG035,GENERIC,model.6.m.0.m.1.cv1.conv,2312,2506140,0.0009225342558675892,0.013421641452257835,0.001,0.06396874162498045
26,12.5,DG030,GENERIC,model.5.conv,20512,2506140,0.008184698380776812,0.13094981146773027,0.001,0.062028875143777425
27,12.5,CDG006,CUSTOM,model.13,10288,2506140,0.004105117830608027,0.06564095991161965,0.001,0.06160052070156706
28,12.5,DG021,GENERIC,model.2.cv2.conv,5008,2506140,0.0019982921943706255,0.03340200359196853,0.001,0.0580865061835278
29,12.5,DG005,GENERIC,model.13.cv2.conv,6176,2506140,0.002464347562386778,0.04889670253387525,0.001,0.04938898639070816
30,12.5,DG009,GENERIC,model.13.m.0.m.1.cv1.conv,2312,2506140,0.0009225342558675892,0.018550544910278355,0.001,0.04718713775504963
31,12.5,DG007,GENERIC,model.13.m.0.cv2.conv,520,2506140,0.00020749040356883493,0.003867820016074444,0.001,0.04262491277073991
32,12.5,DG020,GENERIC,model.19.m.0.m.1.cv1.conv,2312,2506140,0.0009225342558675892,0.02574541158670065,0.001,0.03449317849818868
33,12.5,CDG008,CUSTOM,model.19,7216,2506140,0.002879328369524448,0.0825642885545155,0.001,0.034456445681890026
34,12.5,DG010,GENERIC,model.16.cv2.conv,8896,2506140,0.00354968198105453,0.10959084215288467,0.001,0.03209743150474725
35,12.5,DG015,GENERIC,model.17.conv,5648,2506140,0.002253664998763038,0.0740116187043685,0.001,0.030044212319228217
36,12.5,CDG003,CUSTOM,model.6,6192,2506140,0.0024707318824965883,0.08641439021601484,0.001,0.02826458980484812
