rank_by_prunability_descending,ratio_percent,group_id,group_kind,representative_root,parameters_removed,gflops_removed,baseline_parameters,baseline_gflops,RP_parameter_reduction_fraction,RF_gflop_reduction_fraction,B_geometric_resource_benefit,sensitivity_S_GEN_PROTECTED,P_updated_prunability
1,12.5,DG026,GENERIC,model.22.m.0.1.ffn.0.conv,8256,0.006656000000000439,2506140,5.782528,0.0032943091766621177,0.001151053656809001,0.0019472869907788065,0.00028426509395957993,0.872615523561528
2,12.5,DG004,GENERIC,model.10.m.0.ffn.0.conv,8256,0.006656000000000439,2506140,5.782528,0.0032943091766621177,0.001151053656809001,0.0019472869907788065,0.000711177387276622,0.7324856435365055
3,12.5,DG025,GENERIC,model.22.m.0.0.cv1.conv,18448,0.014771200000000206,2506140,5.782528,0.007361121086611282,0.0025544536922259965,0.004336316747957513,0.004889603884428873,0.4700145297950474
4,12.5,DG038,GENERIC,model.8.m.0.cv1.conv,20528,0.016460799999999942,2506140,5.782528,0.008191082700886622,0.002846644235877447,0.0048287781431822245,0.008851529324516869,0.35297292510300443
5,12.5,CDG005,CUSTOM,model.10,36464,0.02935040000000022,2506140,5.782528,0.014549865530257687,0.005075703913582471,0.008593649365317835,0.019364358688317596,0.30737702588938154
6,12.5,CDG009,CUSTOM,model.22,63120,0.050700799999999546,2506140,5.782528,0.025186142833201655,0.008767929874269446,0.014860361172086164,0.03524677451287825,0.2965717550792929
7,12.5,DG034,GENERIC,model.6.m.0.m.0.cv1.conv,2312,0.007424000000000319,2506140,5.782528,0.0009225342558675892,0.0012838675402869332,0.0010883068436388507,0.003078384078055691,0.2611921220199961
8,12.5,DG040,GENERIC,model.8.m.0.m.0.cv1.conv,9232,0.007398400000000471,2506140,5.782528,0.0036837527033605467,0.0012794404108376943,0.0021709772159587684,0.006567017019566944,0.2484525804711925
9,12.5,DG003,GENERIC,model.10.cv2.conv,20544,0.02641919999999942,2506140,5.782528,0.008197467020996432,0.004568797591641479,0.006119850290904913,0.02576812532605642,0.19191717794872312
10,12.5,DG039,GENERIC,model.8.m.0.cv2.conv,2064,0.0016639999999998878,2506140,5.782528,0.0008235772941655294,0.0002877634142022119,0.00048682174769466917,0.002160193747246319,0.18391344841958404
11,12.5,DG036,GENERIC,model.7.conv,45120,0.036147200000001156,2506140,5.782528,0.018003782709665062,0.006251106782362516,0.010608655343848639,0.05311632123333531,0.16647562562850676
12,12.5,CDG004,CUSTOM,model.8,24672,0.019814400000000454,2506140,5.782528,0.00984462160932749,0.003426598193731263,0.005808060142981419,0.031806489198803536,0.1544099356397022
