sequence_rank,T4_rank,ratio_percent,group_id,group_kind,representative_root,P_updated_prunability,B_geometric_resource_benefit,sensitivity_S_GEN_PROTECTED,parameters_removed_isolated,gflops_removed_isolated
1,1,37.5,DG026,GENERIC,model.22.m.0.1.ffn.0.conv,0.9629844908037062,0.0058418609723362895,0.00022455134076407676,24768,0.01996800000000043
2,2,37.5,DG025,GENERIC,model.22.m.0.0.cv1.conv,0.3340485232653451,0.013008950243872412,0.02593434492986197,55344,0.04431359999999973
3,3,37.5,DG040,GENERIC,model.8.m.0.m.0.cv1.conv,0.279639082291886,0.006512931647876175,0.016777559775915607,27696,0.022195200000000526
4,4,37.5,DG039,GENERIC,model.8.m.0.cv2.conv,0.26618413264872814,0.0014604652430841374,0.004026207567017024,6192,0.0049920000000005516
5,5,37.5,CDG009,CUSTOM,model.22,0.24848074084244687,0.04349841168109156,0.13155906574599166,184752,0.1484160000000001
6,6,37.5,DG034,GENERIC,model.6.m.0.m.0.cv1.conv,0.22885504794672223,0.003264920530916552,0.011001404639575775,6936,0.022272000000000958
7,7,37.5,DG004,GENERIC,model.10.m.0.ffn.0.conv,0.22631758110878236,0.0058418609723362895,0.019970808744773874,24768,0.01996800000000043
8,8,37.5,DG038,GENERIC,model.8.m.0.cv1.conv,0.21147175496309573,0.014486334429546674,0.05401612081358831,61584,0.049382399999999826
9,9,37.5,DG041,GENERIC,model.8.m.0.m.1.cv1.conv,0.1888657702883898,0.006512931647876175,0.027971515364047756,27696,0.022195200000000526
10,10,37.5,CDG005,CUSTOM,model.10,0.16975247815853695,0.02469827323471182,0.12079753043564967,104784,0.08436480000000035
11,11,37.5,DG042,GENERIC,model.9.cv1.conv,0.16545562048458992,0.014469423199947951,0.07298256638837547,61536,0.04930560000000028
12,12,37.5,DG036,GENERIC,model.7.conv,0.16050906576999557,0.03182596603154539,0.16645545738132894,135360,0.10844159999999992
13,13,37.5,DG023,GENERIC,model.20.conv,0.12430169023315837,0.015912983015772764,0.11210605667647963,67680,0.0542208000000004
14,14,37.5,DG003,GENERIC,model.10.cv2.conv,0.11822009588838099,0.018359550872714948,0.13694019520471465,61632,0.07925760000000004
15,15,37.5,DG037,GENERIC,model.8.cv2.conv,0.11687044934083692,0.02900648695902052,0.2191870223722135,123264,0.09891839999999963
16,16,37.5,DG033,GENERIC,model.6.m.0.cv2.conv,0.10774470647512367,0.0007386748976317164,0.006117113398587395,1560,0.0050688000000000955
17,17,37.5,DG024,GENERIC,model.22.cv2.conv,0.0911083093606027,0.018653371609599637,0.18608505170775563,79104,0.0637439999999998
18,18,37.5,DG035,GENERIC,model.6.m.0.m.1.cv1.conv,0.0888923442270595,0.003264920530916552,0.03346400769463345,6936,0.022272000000000958
19,19,37.5,DG031,GENERIC,model.6.cv2.conv,0.08780325187419541,0.03467554581132088,0.36024770670105805,126048,0.13824000000000058
20,20,37.5,CDG004,CUSTOM,model.8,0.0832253148162834,0.017424180428943996,0.19193736380080373,74016,0.059443199999999585
