layer_id,type,noise_std_ratio,map50_95,map50,drop_map50_95,drop_map50
baseline,none,0.5,0.506632,0.690055,0.000000,0.000000
0,Conv,0.5,0.393198,0.550523,0.113434,0.139532
1,Conv,0.5,0.475063,0.661253,0.031570,0.028802
2,C3k2,0.5,0.503569,0.688291,0.003063,0.001764
3,Conv,0.5,0.478133,0.658121,0.028499,0.031934
4,C3k2,0.5,0.504135,0.691539,0.002497,-0.001484
5,Conv,0.5,0.504157,0.682718,0.002475,0.007337
6,C3k2,0.5,0.504724,0.684447,0.001909,0.005608
7,Conv,0.5,0.509426,0.692564,-0.002794,-0.002509
8,C3k2,0.5,0.499129,0.677524,0.007503,0.012531
9,SPPF,0.5,0.504346,0.683590,0.002286,0.006465
10,C2PSA,0.5,0.497905,0.676706,0.008727,0.013350
11,Upsample,0.5,0.503572,0.684532,0.003060,0.005523
12,Concat,0.5,0.497492,0.678396,0.009140,0.011659
13,C3k2,0.5,0.498251,0.681673,0.008382,0.008382
14,Upsample,0.5,0.502384,0.686134,0.004248,0.003922
15,Concat,0.5,0.502814,0.687390,0.003818,0.002665
16,C3k2,0.5,0.493960,0.672090,0.012672,0.017965
17,Conv,0.5,0.504614,0.687363,0.002018,0.002693
18,Concat,0.5,0.502931,0.685477,0.003701,0.004578
19,C3k2,0.5,0.493663,0.673873,0.012970,0.016182
20,Conv,0.5,0.506917,0.690851,-0.000284,-0.000796
21,Concat,0.5,0.507719,0.690264,-0.001086,-0.000209
22,C3k2,0.5,0.495493,0.682514,0.011139,0.007541
