epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.8657,3.23955,3.56575,0.0098,0.00135,0.00826,8e-05,1e-05,3.92346,5.34791,0.02797,0.00024,0.00024,0.07624
2,26.6613,2.83449,2.73872,0.00752,0.04145,0.03986,0.01275,0.00414,2.97777,4.51436,0.01535,0.000465745,0.000465745,0.0514657
3,38.4934,2.63685,2.47929,0.00651,0.6191,0.04142,0.0518,0.02517,2.79313,3.06465,0.01337,0.00066674,0.00066674,0.0266667
4,49.5032,2.50034,2.27349,0.00604,0.6001,0.06258,0.06439,0.02553,2.68025,2.43284,0.01188,0.000842985,0.000842985,0.00184299
5,60.1757,2.46689,2.29317,0.00608,0.51946,0.1338,0.14397,0.05505,2.53771,2.22056,0.01044,0.000802,0.000802,0.000802
6,70.5281,2.39585,2.12986,0.00557,0.82881,0.11621,0.15482,0.05789,2.46821,2.18013,0.00984,0.0007525,0.0007525,0.0007525
7,81.6591,2.31793,2.05087,0.00564,0.44036,0.16994,0.15644,0.07449,2.46394,2.11912,0.00946,0.000703,0.000703,0.000703
8,93.3562,2.28289,2.03401,0.0054,0.49399,0.15216,0.14591,0.07174,2.40159,2.09752,0.00878,0.0006535,0.0006535,0.0006535
9,104.629,2.2799,2.0203,0.00536,0.33968,0.15448,0.14117,0.07458,2.38595,2.10318,0.00899,0.000604,0.000604,0.000604
10,115.232,2.2318,1.9743,0.00509,0.45672,0.15318,0.15255,0.0907,2.33243,2.06501,0.00838,0.0005545,0.0005545,0.0005545
11,125.649,2.23572,1.89516,0.00489,0.47148,0.1774,0.18059,0.09602,2.3458,2.06599,0.00871,0.000505,0.000505,0.000505
12,136.475,2.20755,1.88722,0.00493,0.47569,0.17599,0.18747,0.09773,2.32603,2.12065,0.00904,0.0004555,0.0004555,0.0004555
13,148.062,2.13969,1.83187,0.00483,0.37359,0.17993,0.18313,0.10298,2.28698,1.97058,0.00856,0.000406,0.000406,0.000406
14,159.307,2.1986,1.82957,0.00476,0.51776,0.16297,0.17239,0.09555,2.29257,1.97228,0.00842,0.0003565,0.0003565,0.0003565
15,169.931,2.21774,1.81616,0.00467,0.49524,0.18045,0.1695,0.09,2.27417,1.97047,0.00806,0.000307,0.000307,0.000307
16,180.249,2.17337,1.78924,0.00463,0.55997,0.15253,0.16901,0.09175,2.28788,1.93901,0.00857,0.0002575,0.0002575,0.0002575
17,187.853,2.16455,1.79713,0.00454,0.48634,0.17569,0.17944,0.09834,2.25744,1.9371,0.00831,0.000208,0.000208,0.000208
18,198.738,2.17308,1.80967,0.00458,0.50696,0.18019,0.18426,0.10143,2.27599,1.8909,0.00834,0.0001585,0.0001585,0.0001585
19,204.844,2.13065,1.77241,0.0045,0.58865,0.1673,0.187,0.10184,2.25885,1.89081,0.00812,0.000109,0.000109,0.000109
20,215.762,2.09271,1.77377,0.00451,0.58603,0.16915,0.18761,0.10206,2.23533,1.8968,0.00809,5.95e-05,5.95e-05,5.95e-05
