module_path,module_type,in_channels,gen_out_channels,snow_out_channels,reason,status
model.10.m.0.attn.qkv.conv,Conv2d,128,256,256,packed attention projection requires head-aware structured pruning,PROTECTED_NOT_A_T1_T2_ROOT
model.10.m.0.attn.proj.conv,Conv2d,128,128,128,packed attention projection requires head-aware structured pruning,PROTECTED_NOT_A_T1_T2_ROOT
model.10.m.0.attn.pe.conv,Conv2d,128,128,128,packed attention projection requires head-aware structured pruning,PROTECTED_NOT_A_T1_T2_ROOT
model.22.m.0.1.attn.qkv.conv,Conv2d,128,256,256,packed attention projection requires head-aware structured pruning,PROTECTED_NOT_A_T1_T2_ROOT
model.22.m.0.1.attn.proj.conv,Conv2d,128,128,128,packed attention projection requires head-aware structured pruning,PROTECTED_NOT_A_T1_T2_ROOT
model.22.m.0.1.attn.pe.conv,Conv2d,128,128,128,packed attention projection requires head-aware structured pruning,PROTECTED_NOT_A_T1_T2_ROOT
model.23.cv2.0.0.conv,Conv2d,64,16,16,Detect-head root protected during the first dependency audit,PROTECTED_NOT_A_T1_T2_ROOT
model.23.cv2.0.1.conv,Conv2d,16,16,16,Detect-head root protected during the first dependency audit,PROTECTED_NOT_A_T1_T2_ROOT
model.23.cv2.0.2,Conv2d,16,4,4,Detect-head root protected during the first dependency audit,PROTECTED_NOT_A_T1_T2_ROOT
model.23.cv2.1.0.conv,Conv2d,128,16,16,Detect-head root protected during the first dependency audit,PROTECTED_NOT_A_T1_T2_ROOT
model.23.cv2.1.1.conv,Conv2d,16,16,16,Detect-head root protected during the first dependency audit,PROTECTED_NOT_A_T1_T2_ROOT
model.23.cv2.1.2,Conv2d,16,4,4,Detect-head root protected during the first dependency audit,PROTECTED_NOT_A_T1_T2_ROOT
model.23.cv2.2.0.conv,Conv2d,256,16,16,Detect-head root protected during the first dependency audit,PROTECTED_NOT_A_T1_T2_ROOT
model.23.cv2.2.1.conv,Conv2d,16,16,16,Detect-head root protected during the first dependency audit,PROTECTED_NOT_A_T1_T2_ROOT
model.23.cv2.2.2,Conv2d,16,4,4,Detect-head root protected during the first dependency audit,PROTECTED_NOT_A_T1_T2_ROOT
model.23.cv3.0.0.0.conv,Conv2d,64,64,64,Detect-head root protected during the first dependency audit,PROTECTED_NOT_A_T1_T2_ROOT
model.23.cv3.0.0.1.conv,Conv2d,64,64,64,Detect-head root protected during the first dependency audit,PROTECTED_NOT_A_T1_T2_ROOT
model.23.cv3.0.1.0.conv,Conv2d,64,64,64,Detect-head root protected during the first dependency audit,PROTECTED_NOT_A_T1_T2_ROOT
model.23.cv3.0.1.1.conv,Conv2d,64,64,64,Detect-head root protected during the first dependency audit,PROTECTED_NOT_A_T1_T2_ROOT
model.23.cv3.0.2,Conv2d,64,11,8,Detect-head root protected during the first dependency audit,PROTECTED_NOT_A_T1_T2_ROOT
model.23.cv3.1.0.0.conv,Conv2d,128,128,128,Detect-head root protected during the first dependency audit,PROTECTED_NOT_A_T1_T2_ROOT
model.23.cv3.1.0.1.conv,Conv2d,128,64,64,Detect-head root protected during the first dependency audit,PROTECTED_NOT_A_T1_T2_ROOT
