domain,group_id,group_kind,eligible_for_cumulative_raw,selection_unit,score_basis,root_channels_before,selectable_units_before,selected_unit_count,prune_first_mean_score,prune_first_max_score,all_unit_score_mean,all_unit_score_std,domain_rank_prune_first_ascending
NGN2,DG012,GENERIC,True,output_channel,canonical_root_filters,16,16,6,0.563346803188324,0.5895870923995972,0.6127054691314697,0.04868326708674431,1
NGN2,DG026,GENERIC,True,output_channel,canonical_root_filters,256,256,96,0.6185042858123779,0.6641329526901245,0.6880034804344177,0.07255084067583084,2
NGN2,DG018,GENERIC,True,output_channel,canonical_root_filters,32,32,12,0.6344912648200989,0.6629675626754761,0.6852160096168518,0.05017194151878357,3
NGN2,DG011,GENERIC,True,output_channel,canonical_root_filters,16,16,6,0.6722823977470398,0.6904807686805725,0.7425713539123535,0.059485480189323425,4
NGN2,DG017,GENERIC,True,output_channel,canonical_root_filters,32,32,12,0.7264106273651123,0.7623805999755859,0.7698565125465393,0.04543796181678772,5
NGN2,DG007,GENERIC,True,output_channel,canonical_root_filters,32,32,12,0.7281503081321716,0.7607358694076538,0.7689065933227539,0.03722997009754181,6
NGN2,DG033,GENERIC,True,output_channel,canonical_root_filters,32,32,12,0.7630789875984192,0.7812988758087158,0.7932960987091064,0.03060850128531456,7
NGN2,DG006,GENERIC,True,output_channel,canonical_root_filters,32,32,12,0.7968132495880127,0.8345299959182739,0.8475137948989868,0.04644334688782692,8
NGN2,DG032,GENERIC,True,output_channel,canonical_root_filters,32,32,12,0.7976830005645752,0.8208682537078857,0.8404406905174255,0.04219505190849304,9
NGN2,DG004,GENERIC,True,output_channel,canonical_root_filters,256,256,96,0.8040328621864319,0.8441175818443298,0.8598515391349792,0.05704982578754425,10
NGN2,DG039,GENERIC,True,output_channel,canonical_root_filters,64,64,24,0.8475546836853027,0.8708510994911194,0.8810471296310425,0.03373173251748085,11
NGN2,DG010,GENERIC,True,output_channel,canonical_root_filters,64,64,24,0.8549395203590393,0.913520097732544,0.9343593120574951,0.0767870545387268,12
NGN2,DG001,GENERIC,False,output_channel,canonical_root_filters,16,16,6,0.8746905326843262,1.0600992441177368,1.4285259246826172,0.5309826135635376,13
NGN2,DG021,GENERIC,True,output_channel,canonical_root_filters,64,64,24,0.8843076825141907,0.9343768358230591,0.9829051494598389,0.09174052625894547,14
NGN2,DG038,GENERIC,True,output_channel,canonical_root_filters,64,64,24,0.8934062123298645,0.9298832416534424,0.9444109797477722,0.05132473632693291,15
NGN2,DG016,GENERIC,True,output_channel,canonical_root_filters,128,128,48,0.911385715007782,1.00862717628479,1.057650089263916,0.13627910614013672,16
NGN2,DG028,GENERIC,True,output_channel,canonical_root_filters,128,128,48,0.958977222442627,0.9949961304664612,1.0245963335037231,0.07326808571815491,17
NGN2,DG013,GENERIC,True,output_channel,canonical_root_filters,16,16,6,1.0049083232879639,1.0244899988174438,1.0480077266693115,0.04262840747833252,18
NGN2,DG014,GENERIC,True,output_channel,canonical_root_filters,16,16,6,1.0288666486740112,1.0384917259216309,1.0551995038986206,0.028282860293984413,19
NGN2,DG005,GENERIC,True,output_channel,canonical_root_filters,128,128,48,1.0715434551239014,1.1142361164093018,1.125543236732483,0.05519600212574005,20
NGN2,DG022,GENERIC,True,output_channel,canonical_root_filters,8,8,3,1.074982762336731,1.0886796712875366,1.1299036741256714,0.052358247339725494,21
NGN2,DG024,GENERIC,True,output_channel,canonical_root_filters,256,256,96,1.077885627746582,1.170695185661316,1.2580546140670776,0.18271945416927338,22
NGN2,DG003,GENERIC,True,output_channel,canonical_root_filters,256,256,96,1.1157149076461792,1.1596652269363403,1.1821916103363037,0.06764382123947144,23
NGN2,DG020,GENERIC,False,output_channel,canonical_root_filters,32,32,12,1.1328001022338867,1.1712032556533813,1.1874110698699951,0.05511327087879181,24
NGN2,DG031,GENERIC,True,output_channel,canonical_root_filters,128,128,48,1.1636897325515747,1.1884984970092773,1.2020480632781982,0.03726455569267273,25
NGN2,DG019,GENERIC,True,output_channel,canonical_root_filters,32,32,12,1.1662427186965942,1.2036290168762207,1.2272989749908447,0.061309024691581726,26
NGN2,DG042,GENERIC,True,output_channel,canonical_root_filters,128,128,48,1.1825854778289795,1.2046300172805786,1.218675971031189,0.038369640707969666,27
NGN2,CDG001,CUSTOM,True,hidden_channel,paired_cv1_split_filters,16,16,6,1.227772831916809,1.291693091392517,1.3402382135391235,0.109840027987957,28
NGN2,DG009,GENERIC,True,output_channel,canonical_root_filters,32,32,12,1.2281819581985474,1.272964358329773,1.2754383087158203,0.0456191748380661,29
NGN2,DG008,GENERIC,True,output_channel,canonical_root_filters,32,32,12,1.2634384632110596,1.2908927202224731,1.3126130104064941,0.049799129366874695,30
NGN2,DG034,GENERIC,True,output_channel,canonical_root_filters,32,32,12,1.2677595615386963,1.2891184091567993,1.301804780960083,0.03410204127430916,31
NGN2,CDG002,CUSTOM,True,hidden_channel,paired_cv1_split_filters,32,32,12,1.2792261838912964,1.3110789060592651,1.3468737602233887,0.06407137215137482,32
NGN2,DG035,GENERIC,True,output_channel,canonical_root_filters,32,32,12,1.2840386629104614,1.3184785842895508,1.3223166465759277,0.03632202371954918,33
NGN2,DG037,GENERIC,True,output_channel,canonical_root_filters,256,256,96,1.362256407737732,1.4096219539642334,1.4204481840133667,0.06029408052563667,34
NGN2,CDG003,CUSTOM,True,hidden_channel,paired_cv1_split_filters,64,64,24,1.4049361944198608,1.4435023069381714,1.459862470626831,0.056324902921915054,35
NGN2,DG029,GENERIC,True,output_channel,canonical_root_filters,16,16,6,1.4069457054138184,1.4382357597351074,1.4599218368530273,0.05598774179816246,36
NGN2,CDG008,CUSTOM,True,hidden_channel,paired_cv1_split_filters,64,64,24,1.4247251749038696,1.4832327365875244,1.507182240486145,0.08118697255849838,37
NGN2,DG002,GENERIC,True,output_channel,canonical_root_filters,32,32,12,1.4290698766708374,1.492238163948059,1.520354151725769,0.09500791877508163,38
NGN2,DG015,GENERIC,True,output_channel,canonical_root_filters,64,64,24,1.4366670846939087,1.5048624277114868,1.5291343927383423,0.09865757077932358,39
NGN2,DG041,GENERIC,True,output_channel,canonical_root_filters,64,64,24,1.4867385625839233,1.5365407466888428,1.5520002841949463,0.06622838228940964,40
NGN2,DG040,GENERIC,True,output_channel,canonical_root_filters,64,64,24,1.5352798700332642,1.565129041671753,1.5801881551742554,0.04471859708428383,41
NGN2,CDG005,CUSTOM,True,paired_attention_unit,paired_cv1_attention_embedding_filters,128,64,24,1.6075072288513184,1.6307744979858398,1.6478886604309082,0.043666113168001175,42
NGN2,CDG004,CUSTOM,True,hidden_channel,paired_cv1_split_filters,128,128,48,1.6414114236831665,1.6649558544158936,1.6823716163635254,0.0466206818819046,43
NGN2,DG023,GENERIC,True,output_channel,canonical_root_filters,128,128,48,1.6535903215408325,1.7540169954299927,1.825135588645935,0.1786394715309143,44
NGN2,CDG007,CUSTOM,True,hidden_channel,paired_cv1_split_filters,32,32,12,1.7225189208984375,1.7466683387756348,1.769344687461853,0.04645657166838646,45
NGN2,DG025,GENERIC,True,output_channel,canonical_root_filters,64,64,24,1.734899878501892,1.8449190855026245,1.8590325117111206,0.11671891808509827,46
