sequence_rank,T4_rank,ratio_percent,group_id,group_kind,representative_root,P_R4_prunability,sensitivity_S_R4,parameters_removed_isolated
1,1,12.5,DG026,GENERIC,model.22.m.0.1.ffn.0.conv,2.6271886357663536,0.00025392944070084427,8256
2,2,12.5,DG004,GENERIC,model.10.m.0.ffn.0.conv,2.2347658733428384,0.00047411825818441476,8256
3,3,12.5,DG025,GENERIC,model.22.m.0.0.cv1.conv,1.3035725956816582,0.004646882353155053,18448
4,4,12.5,DG038,GENERIC,model.8.m.0.cv1.conv,1.0071913986119059,0.007132597947297241,20528
5,5,12.5,CDG009,CUSTOM,model.22,0.7831772765826135,0.03115892951223144,63120
6,6,12.5,CDG005,CUSTOM,model.10,0.7540467784742796,0.018295706772592464,36464
7,7,12.5,DG040,GENERIC,model.8.m.0.m.0.cv1.conv,0.544973457296634,0.005759508475208998,9232
8,8,12.5,CDG004,CUSTOM,model.8,0.4433650249309887,0.02120432613253569,24672
9,9,12.5,DG042,GENERIC,model.9.cv1.conv,0.39117378376024853,0.019923432808046346,20512
10,10,12.5,DG003,GENERIC,model.10.cv2.conv,0.38058978474407074,0.02053885193347702,20544
11,11,12.5,DG036,GENERIC,model.7.conv,0.34353017601817,0.05140815499338494,45120
12,12,12.5,DG039,GENERIC,model.8.m.0.cv2.conv,0.3231833110246968,0.0015483286607661311,2064
13,13,12.5,DG034,GENERIC,model.6.m.0.m.0.cv1.conv,0.30224667922334836,0.002052256052037127,2312
14,14,12.5,DG037,GENERIC,model.8.cv2.conv,0.23672372060408964,0.06825767303823639,41088
15,15,12.5,DG041,GENERIC,model.8.m.0.m.1.cv1.conv,0.21231170354320314,0.0163506812949242,9232
16,16,12.5,DG023,GENERIC,model.20.conv,0.19763455630557605,0.04454816487109725,22560
17,17,12.5,DG031,GENERIC,model.6.cv2.conv,0.17232024865787265,0.0962910887660556,42016
18,18,12.5,DG024,GENERIC,model.22.cv2.conv,0.12433609592355258,0.08362031450172273,26368
19,19,12.5,DG019,GENERIC,model.19.m.0.m.0.cv1.conv,0.10258369452129325,0.007992991139309173,2312
20,20,12.5,DG008,GENERIC,model.13.m.0.m.0.cv1.conv,0.09246360789608452,0.00897726864502607,2312
21,21,12.5,DG028,GENERIC,model.4.cv2.conv,0.08369793430719104,0.09922943449836119,21024
22,22,12.5,DG016,GENERIC,model.19.cv2.conv,0.06894421485965738,0.16420062051741796,28544
23,23,12.5,DG033,GENERIC,model.6.m.0.cv2.conv,0.06541067743800845,0.00217211824882076,520
24,24,12.5,DG018,GENERIC,model.19.m.0.cv2.conv,0.06494357337282392,0.0021949335829996187,520
25,25,12.5,DG035,GENERIC,model.6.m.0.m.1.cv1.conv,0.06396874162498045,0.013421641452257835,2312
26,26,12.5,DG030,GENERIC,model.5.conv,0.062028875143777425,0.13094981146773027,20512
27,27,12.5,CDG006,CUSTOM,model.13,0.06160052070156706,0.06564095991161965,10288
28,28,12.5,DG021,GENERIC,model.2.cv2.conv,0.0580865061835278,0.03340200359196853,5008
29,29,12.5,DG005,GENERIC,model.13.cv2.conv,0.04938898639070816,0.04889670253387525,6176
30,30,12.5,DG009,GENERIC,model.13.m.0.m.1.cv1.conv,0.04718713775504963,0.018550544910278355,2312
31,31,12.5,DG007,GENERIC,model.13.m.0.cv2.conv,0.04262491277073991,0.003867820016074444,520
32,32,12.5,DG020,GENERIC,model.19.m.0.m.1.cv1.conv,0.03449317849818868,0.02574541158670065,2312
33,33,12.5,CDG008,CUSTOM,model.19,0.034456445681890026,0.0825642885545155,7216
34,34,12.5,DG010,GENERIC,model.16.cv2.conv,0.03209743150474725,0.10959084215288467,8896
35,35,12.5,DG015,GENERIC,model.17.conv,0.030044212319228217,0.0740116187043685,5648
36,36,12.5,CDG003,CUSTOM,model.6,0.02826458980484812,0.08641439021601484,6192
37,37,12.5,DG017,GENERIC,model.19.m.0.cv1.conv,0.026645241606658165,0.07603285057813534,5144
38,38,12.5,DG006,GENERIC,model.13.m.0.cv1.conv,0.02484126246107031,0.08162699685737215,5144
39,39,12.5,DG032,GENERIC,model.6.m.0.cv1.conv,0.015142182197019577,0.13455238529014774,5144
40,40,12.5,DG029,GENERIC,model.4.m.0.cv1.conv,0.014681701228844027,0.030417825546509417,1156
41,41,12.5,DG014,GENERIC,model.16.m.0.m.1.cv1.conv,0.011583791388149746,0.018978916766178886,580
42,42,12.5,DG013,GENERIC,model.16.m.0.m.0.cv1.conv,0.011575913506988977,0.01899251323369826,580
43,43,12.5,DG001,GENERIC,model.0.conv,0.00784441698257739,0.03124952025282493,634
44,44,12.5,DG012,GENERIC,model.16.m.0.cv2.conv,0.006010884781710772,0.007762543754988481,132
45,45,12.5,DG022,GENERIC,model.2.m.0.cv1.conv,0.00568046090829051,0.01937084734117738,290
46,46,12.5,DG027,GENERIC,model.3.conv,0.004624671129477308,0.4421378357234091,5136
47,47,12.5,CDG007,CUSTOM,model.16,0.00459631890847512,0.2677728954077602,3096
48,48,12.5,DG011,GENERIC,model.16.m.0.cv1.conv,0.0036385517898598076,0.14068654966074992,1292
49,49,12.5,CDG002,CUSTOM,model.4,0.0034225725462119793,0.37486946215371764,3224
50,50,12.5,DG002,GENERIC,model.1.conv,0.0026125268962640708,0.107746151204348,712
51,51,12.5,CDG001,CUSTOM,model.2,0.0013795150802582185,0.23386821580248746,812
