rank_by_prunability_descending,ratio_percent,group_id,group_kind,representative_root,parameters_removed,baseline_parameters,R_parameter_reduction_fraction,sensitivity_S_R4,epsilon,P_R4_prunability
1,37.5,DG026,GENERIC,model.22.m.0.1.ffn.0.conv,24768,2506140,0.009882927529986353,0.00021771239723278386,0.001,8.115978413659104
2,37.5,DG025,GENERIC,model.22.m.0.0.cv1.conv,55344,2506140,0.022083363259833847,0.025195188720429952,0.001,0.8430312717163498
3,37.5,DG040,GENERIC,model.8.m.0.m.0.cv1.conv,27696,2506140,0.01105125811008164,0.015620660271802388,0.001,0.6649108957981975
4,37.5,DG039,GENERIC,model.8.m.0.cv2.conv,6192,2506140,0.0024707318824965883,0.0029063280679584333,0.001,0.6324947212607949
5,37.5,DG004,GENERIC,model.10.m.0.ffn.0.conv,24768,2506140,0.009882927529986353,0.015711533735426664,0.001,0.5913836327922196
6,37.5,CDG009,CUSTOM,model.22,184752,2506140,0.0737197443079796,0.12456565968061019,0.001,0.587101158831911
7,37.5,DG038,GENERIC,model.8.m.0.cv1.conv,61584,2506140,0.024573248102659866,0.04450109410646676,0.001,0.5400584004675052
8,37.5,DG041,GENERIC,model.8.m.0.m.1.cv1.conv,27696,2506140,0.01105125811008164,0.026398610696414422,0.001,0.40335103967617914
9,37.5,CDG005,CUSTOM,model.10,104784,2506140,0.04181091239914769,0.10689047400362035,0.001,0.38753108451210155
10,37.5,DG036,GENERIC,model.7.conv,135360,2506140,0.05401134812899519,0.13923051594583374,0.001,0.38516115957141545
11,37.5,DG042,GENERIC,model.9.cv1.conv,61536,2506140,0.024554095142330437,0.06544872107317469,0.001,0.3695194541861982
12,37.5,DG034,GENERIC,model.6.m.0.m.0.cv1.conv,6936,2506140,0.0027676027676027675,0.010100656450772415,0.001,0.24931883802333055
13,37.5,DG023,GENERIC,model.20.conv,67680,2506140,0.027005674064497595,0.10757855607301237,0.001,0.24872014365652412
14,37.5,DG037,GENERIC,model.8.cv2.conv,123264,2506140,0.049184802125978595,0.2051304266304415,0.001,0.23861010201157243
15,37.5,DG003,GENERIC,model.10.cv2.conv,61632,2506140,0.024592401062989298,0.11212524559380255,0.001,0.21739091865747576
16,37.5,CDG004,CUSTOM,model.8,74016,2506140,0.029533864827982474,0.15932096952574035,0.001,0.1842171046953447
17,37.5,DG024,GENERIC,model.22.cv2.conv,79104,2506140,0.03156407862290215,0.18411144236614943,0.001,0.1705139251222978
18,37.5,DG031,GENERIC,model.6.cv2.conv,126048,2506140,0.05029567382508559,0.2949532648510026,0.001,0.1699446493702541
19,37.5,DG033,GENERIC,model.6.m.0.cv2.conv,1560,2506140,0.0006224712107065049,0.005306479468304105,0.001,0.0987034388734632
20,37.5,DG035,GENERIC,model.6.m.0.m.1.cv1.conv,6936,2506140,0.0027676027676027675,0.029764950425722345,0.001,0.08995960433236373
21,37.5,DG019,GENERIC,model.19.m.0.m.0.cv1.conv,6936,2506140,0.0027676027676027675,0.0395821925501527,0.001,0.06819746774850767
22,37.5,DG018,GENERIC,model.19.m.0.cv2.conv,1560,2506140,0.0006224712107065049,0.008359551035778892,0.001,0.06650652454663425
23,37.5,DG007,GENERIC,model.13.m.0.cv2.conv,1560,2506140,0.0006224712107065049,0.00889614014555165,0.001,0.06290040374845621
24,37.5,DG016,GENERIC,model.19.cv2.conv,85632,2506140,0.034168881227704756,0.6523505129294145,0.001,0.05229793281174975
25,37.5,DG009,GENERIC,model.13.m.0.m.1.cv1.conv,6936,2506140,0.0027676027676027675,0.05231282792617438,0.001,0.0519125110270879
26,37.5,DG028,GENERIC,model.4.cv2.conv,63072,2506140,0.025166989872872227,0.5292246696157319,0.001,0.04746476600402509
27,37.5,DG030,GENERIC,model.5.conv,61536,2506140,0.024554095142330437,0.5354030681183465,0.001,0.04577545618533463
28,37.5,CDG006,CUSTOM,model.13,30864,2506140,0.01231535349182408,0.2690172515661884,0.001,0.045609506134852505
29,37.5,DG005,GENERIC,model.13.cv2.conv,18528,2506140,0.0073930426871603346,0.1745881252306818,0.001,0.042104457106353875
30,37.5,DG008,GENERIC,model.13.m.0.m.0.cv1.conv,6936,2506140,0.0027676027676027675,0.06836739641563987,0.001,0.03989774606819137
31,37.5,DG010,GENERIC,model.16.cv2.conv,26688,2506140,0.01064904594316359,0.30917762289495526,0.001,0.03433208960650909
32,37.5,DG015,GENERIC,model.17.conv,16944,2506140,0.006760994996289114,0.22206012683602527,0.001,0.030310190764211386
33,37.5,DG020,GENERIC,model.19.m.0.m.1.cv1.conv,6936,2506140,0.0027676027676027675,0.09747656174300806,0.001,0.02810417746737863
34,37.5,DG006,GENERIC,model.13.m.0.cv1.conv,15432,2506140,0.00615767674591204,0.2483774923567501,0.001,0.024692191294886784
35,37.5,CDG003,CUSTOM,model.6,18576,2506140,0.007412195647489765,0.3290288239820277,0.001,0.02245923722072654
36,37.5,DG017,GENERIC,model.19.m.0.cv1.conv,15432,2506140,0.00615767674591204,0.2879310108012912,0.001,0.02131192746958861
37,37.5,DG032,GENERIC,model.6.m.0.cv1.conv,15432,2506140,0.00615767674591204,0.29643638916319026,0.001,0.02070249966130941
38,37.5,CDG008,CUSTOM,model.19,21648,2506140,0.008637985108573344,0.5337580442083708,0.001,0.01615307184646579
39,37.5,DG021,GENERIC,model.2.cv2.conv,15024,2506140,0.005994876583111877,0.43585079230375523,0.001,0.013722938561007491
40,37.5,DG029,GENERIC,model.4.m.0.cv1.conv,3468,2506140,0.0013838013838013837,0.11206423030388607,0.001,0.01223907313641193
41,37.5,DG014,GENERIC,model.16.m.0.m.1.cv1.conv,1740,2506140,0.0006942948119418708,0.07394354759670531,0.001,0.009264237338724456
42,37.5,DG001,GENERIC,model.0.conv,1902,2506140,0.0007589360530537001,0.09570473572163089,0.001,0.007847971946672116
43,37.5,DG027,GENERIC,model.3.conv,15408,2506140,0.006148100265747324,0.7952016161090132,0.001,0.00772178822719891
44,37.5,DG013,GENERIC,model.16.m.0.m.0.cv1.conv,1740,2506140,0.0006942948119418708,0.12191740410915353,0.001,0.005648466276796089
45,37.5,DG012,GENERIC,model.16.m.0.cv2.conv,396,2506140,0.00015801192271780508,0.029140991994191862,0.001,0.005242426086979945
46,37.5,CDG007,CUSTOM,model.16,9288,2506140,0.0037060978237448824,0.7545423668535063,0.001,0.004905215096248157
47,37.5,CDG002,CUSTOM,model.4,9672,2506140,0.00385932150638033,0.9906877077403786,0.001,0.003891670206514943
48,37.5,DG022,GENERIC,model.2.m.0.cv1.conv,870,2506140,0.0003471474059709354,0.09354379835796163,0.001,0.0036718157298542865
49,37.5,DG011,GENERIC,model.16.m.0.cv1.conv,3876,2506140,0.0015466015466015467,0.5119350833040669,0.001,0.0030151993828129793
50,37.5,DG002,GENERIC,model.1.conv,2136,2506140,0.0008523067346596758,0.37954560666246323,0.001,0.0022396966874345123
51,37.5,CDG001,CUSTOM,model.2,2436,2506140,0.0009720127367186191,0.7071361723395176,0.001,0.0013726353414588533
