ratio_percent,group_id,group_kind,representative_root,parameters_removed,gflops_removed,gen2_pruned_map50_95,gen2_AD_map50_95,gen2_NAD_map50_95,ngn2_pruned_map50_95,ngn2_AD_map50_95,ngn2_NAD_map50_95,directional_NAD_difference_GEN2_minus_NGN2
12.5,DG001,GENERIC,model.0.conv,634,0.0421888000000008,0.283354670047716,0.009032779188607676,0.030893183726593155,0.24743833066615256,0.008169796366624349,0.031962193305288475,-0.00106900957869532
12.5,DG002,GENERIC,model.1.conv,712,0.036863999999999564,0.2581631709436312,0.03422427829269242,0.11705111960886691,0.23282418622039963,0.02278394081237728,0.08913621439531016,0.027914905213556745
12.5,DG003,GENERIC,model.10.cv2.conv,20544,0.02641919999999942,0.2848531728006361,0.007534276435687548,0.02576812532605642,0.25303151911389643,0.0025766079188804802,0.010080305148318227,0.015687820177738194
12.5,DG004,GENERIC,model.10.m.0.ffn.0.conv,8256,0.006656000000000439,0.29269998699050626,-0.0003125377541826069,-0.0010689164497276237,0.25524456159287723,0.0003635654398996824,0.001422354774553244,-0.002491271224280868
12.5,DG005,GENERIC,model.13.cv2.conv,6176,0.02990080000000006,0.27773068269970924,0.014656766536614407,0.05012789220226755,0.24373913665033395,0.011868990382442962,0.046434323197090635,0.003693569005176915
12.5,DG006,GENERIC,model.13.m.0.cv1.conv,5144,0.016537600000000374,0.27352329589483215,0.018864153341491496,0.06451765761752806,0.22599703093502377,0.029611096097753142,0.1158456753370603,-0.05132801771953224
12.5,DG007,GENERIC,model.13.m.0.cv2.conv,520,0.0016895999999997358,0.2918714026715959,0.0005160465647277568,0.001764940889479355,0.25354445481291765,0.0020636722198592583,0.00807357826926462,-0.0063086373797852655
12.5,DG008,GENERIC,model.13.m.0.m.0.cv1.conv,2312,0.007424000000000319,0.29015844027094106,0.002229008965382584,0.007623476900956087,0.2526213838643634,0.0029867431684135193,0.01168485213316604,-0.0040613752322099525
12.5,DG009,GENERIC,model.13.m.0.m.1.cv1.conv,2312,0.007424000000000319,0.28844675964340427,0.0039406895929193775,0.013477629095270416,0.24827309997268499,0.007335027060091925,0.028696376540294225,-0.015218747445023809
12.5,DG010,GENERIC,model.16.cv2.conv,8896,0.07024640000000026,0.2588858609655233,0.03350158827080035,0.11457943341378693,0.23014606606759597,0.025462060965180944,0.09961365963108018,0.014965773782706748
12.5,DG011,GENERIC,model.16.m.0.cv1.conv,1292,0.016691199999999462,0.25800203088591206,0.03438541835041159,0.11760223785330608,0.2078464261654062,0.04776170086737072,0.1868551732756376,-0.06925293542233153
12.5,DG012,GENERIC,model.16.m.0.cv2.conv,132,0.0017407999999994317,0.28948552689298307,0.0029019223433405794,0.009924921028313653,0.2547294001721001,0.0008787268606768039,0.0034377892083381364,0.0064871318199755165
12.5,DG013,GENERIC,model.16.m.0.m.0.cv1.conv,580,0.007475200000000015,0.28687142334664756,0.0055160258896760905,0.01886546739295138,0.25068853839866484,0.004919588634112071,0.019246604915192023,-0.00038113752224064323
12.5,DG014,GENERIC,model.16.m.0.m.1.cv1.conv,580,0.007475200000000015,0.2871515080397751,0.005235941196548521,0.01790754428832048,0.25020925864022325,0.005398868392553657,0.0211216617218957,-0.00321411743357522
12.5,DG015,GENERIC,model.17.conv,5648,0.01812479999999983,0.2689843689309694,0.023403080305354262,0.08004132997664548,0.23977264220679953,0.01583548482597738,0.06195219615981451,0.01808913381683097
12.5,DG016,GENERIC,model.19.cv2.conv,28544,0.04741119999999999,0.23099379323468144,0.061393656001642205,0.20997363656338228,0.2370370237650003,0.018571103267776612,0.07265458842548937,0.13731904813789292
12.5,DG017,GENERIC,model.19.m.0.cv1.conv,5144,0.016537600000000374,0.2705680441099124,0.02181940512641123,0.07462497170586684,0.2354537819402776,0.020154345092499304,0.07884860832267235,-0.004223636616805512
12.5,DG018,GENERIC,model.19.m.0.cv2.conv,520,0.0016895999999997358,0.2916770230943585,0.0007104261419651481,0.0024297422608962347,0.25516712218340143,0.00044100484937548146,0.0017253162272063867,0.000704426033689848
12.5,DG019,GENERIC,model.19.m.0.m.0.cv1.conv,2312,0.007424000000000319,0.28888187379983693,0.0035055754364867187,0.01198948670896376,0.2557308102788775,-0.00012268324610059667,-0.00047996614006277216,0.012469452849026532
12.5,DG020,GENERIC,model.19.m.0.m.1.cv1.conv,2312,0.007424000000000319,0.2839109577018866,0.008476491534437025,0.028990613504705727,0.2506863905656213,0.004921736467155602,0.0192550077506905,0.009735605754015227
12.5,DG021,GENERIC,model.2.cv2.conv,5008,0.08028159999999929,0.28293956663537767,0.009447882600945978,0.032312886977955334,0.24651352933983536,0.009094597692941547,0.03558023681999492,-0.0032673498420395866
12.5,DG022,GENERIC,model.2.m.0.cv1.conv,290,0.01495040000000003,0.287715292290893,0.004672156945430661,0.01597933480945814,0.24892298469277882,0.00668514233999809,0.026153872404615863,-0.010174537595157723
12.5,DG023,GENERIC,model.20.conv,22560,0.018073600000000134,0.278559675191922,0.013827774044401664,0.04729263886161302,0.2456242737601402,0.009983853272636706,0.03905921689006572,0.008233421971547299
12.5,DG024,GENERIC,model.22.cv2.conv,26368,0.021248000000000822,0.2672904574882067,0.02509699174811697,0.08583470943662906,0.23536612974474436,0.020241997288032554,0.07919152463191008,0.006643184804718982
12.5,DG025,GENERIC,model.22.m.0.0.cv1.conv,18448,0.014771200000000206,0.29117069661699113,0.0012167526193325173,0.004161439290607412,0.25417217975394757,0.0014359472788293415,0.005617768478250335,-0.001456329187642923
12.5,DG026,GENERIC,model.22.m.0.1.ffn.0.conv,8256,0.006656000000000439,0.2923309429834256,5.650625289804756e-05,0.00019325813418337288,0.25551220444599376,9.592258678314813e-05,0.00037527205373578704,-0.00018201391955241416
12.5,DG027,GENERIC,model.3.conv,5136,0.06594560000000005,0.10719714109460983,0.18519030814171383,0.633372973516496,0.24035661374148262,0.015251513291294289,0.05966756013723527,0.5737054133792607
12.5,DG028,GENERIC,model.4.cv2.conv,21024,0.09256960000000003,0.2625027304994196,0.02988471873690407,0.10220930759839009,0.23176763669791667,0.023840490334860243,0.0932696882983034,0.008939619300086687
12.5,DG029,GENERIC,model.4.m.0.cv1.conv,1156,0.014848000000000638,0.2828867170228776,0.00950073221344605,0.03249363896521781,0.248894273176475,0.00671385385630191,0.02626619870909263,0.006227440256125177
12.5,DG030,GENERIC,model.5.conv,20512,0.06574080000000038,0.25374256911254295,0.0386448801237807,0.13217010588079578,0.2227601253269196,0.032848001705857305,0.12850922264159922,0.003660883239196555
12.5,DG031,GENERIC,model.6.cv2.conv,42016,0.04607999999999901,0.2576102334878282,0.03477721574849546,0.11894223175217962,0.24257497465100814,0.013033152381768776,0.05098880279380757,0.06795342895837206
12.5,DG032,GENERIC,model.6.m.0.cv1.conv,5144,0.016537600000000374,0.25207306461322176,0.040314384623101884,0.13788001067897268,0.2229165800271782,0.0326915470055987,0.12789713451249785,0.009982876166474836
12.5,DG033,GENERIC,model.6.m.0.cv2.conv,520,0.0016895999999997358,0.2918429063130629,0.0005445429232607268,0.001862401839350489,0.2548945838928301,0.0007135431399468151,0.0027915510677613024,-0.0009291492284108135
12.5,DG034,GENERIC,model.6.m.0.m.0.cv1.conv,2312,0.007424000000000319,0.29148736836797123,0.0009000808683524153,0.003078384078055691,0.25641042764490524,-0.000802300612128326,-0.003138791483047979,0.00621717556110367
12.5,DG035,GENERIC,model.6.m.0.m.1.cv1.conv,2312,0.007424000000000319,0.28726146110918804,0.005125988127135606,0.01753149165781223,0.25427846862631387,0.0013296584064630412,0.005201941041149047,0.012329550616663184
