domain,method,method_id,status,parameters,parameter_reduction_percent,baseline_gflops,pruned_gflops,gflops_reduction_percent,map50,map75,map50_95,retention_vs_baseline_percent,precision,recall,seed,recovery_schedule,total_recovery_epochs
GEN2,Unpruned baseline,baseline,COMPLETE,2506140,0.0,5.6281088,5.6281088,0.0,0.4895037712207268,0.28769456429208773,0.29238744923632365,100.0,0.6236154171964428,0.4398202475126774,42,none,0
GEN2,XD-Prune,xd_prune,COMPLETE,1094796,56.315449256625726,5.6281088,3.1893248,43.33221134602089,0.4312571631082079,0.2407788815182181,0.2498701971776993,85.45859195746135,0.5478764706019762,0.4020117400680716,42,6-6-8-10-40,70
GEN2,Formula R4 signed,r4_signed,COMPLETE,1100004,56.107639637051406,5.6281088,3.25568,42.15321494850988,0.43314820723720215,0.24072497751737398,0.24970263687381794,85.40128433214468,0.5783884119884781,0.39694449389689335,42,6-6-8-10-40,70
GEN2,Global L1 + DepGraph,global_l1,COMPLETE,1082754,56.79594914889032,5.6281088,2.681216,52.36026709362832,0.40783349011646247,0.22750582276910122,0.2355775460883765,80.5703345693097,0.5664771845690314,0.379579043748455,42,6-6-8-10-40,70
GEN2,FPGM + DepGraph,fpgm,COMPLETE,1101906,56.03174603174603,5.6281088,2.742656,51.26860376259961,0.41118663266157446,0.23137287573332307,0.23950976725383183,81.91520117549466,0.5609561431884417,0.3724880597276867,42,6-6-8-10-40,70
GEN2,Isomorphic Pruning + Taylor,isomorphic_taylor,COMPLETE,1098522,56.16677440206852,5.6281088,2.715008,51.75985226156252,0.4185231035576678,0.23543803399973293,0.24203691706710403,82.77951659665,0.548643205244645,0.3906057013297155,42,6-6-8-10-40,70
NGN2,Unpruned baseline,baseline,COMPLETE,2506140,0.0,5.6281088,5.6281088,0.0,0.42457113852142786,0.25063413420962916,0.2556081270327769,100.0,0.5543305256331891,0.39194552296558993,42,none,0
NGN2,XD-Prune,xd_prune,COMPLETE,1094796,56.315449256625726,5.6281088,3.1893248,43.33221134602089,0.3893909111016,0.22594598018104883,0.23004006909152203,89.99716548997823,0.5126673013419634,0.359079004543438,42,6-6-8-10-40,70
NGN2,Formula R4 signed,r4_signed,COMPLETE,1100004,56.107639637051406,5.6281088,3.25568,42.15321494850988,0.3846928873459154,0.22794205199438125,0.2293481721999404,89.72647891220251,0.5008165633178826,0.36647630075508464,42,6-6-8-10-40,70
NGN2,Global L1 + DepGraph,global_l1,COMPLETE,1082754,56.79594914889032,5.6281088,2.681216,52.36026709362832,0.3462899816381575,0.2053078036673194,0.20599107162370628,80.58862369320981,0.4181950027063623,0.3330238069640484,42,6-6-8-10-40,70
NGN2,FPGM + DepGraph,fpgm,COMPLETE,1101906,56.03174603174603,5.6281088,2.742656,51.26860376259961,0.36186351337628947,0.20262531455608426,0.20853341102812373,81.5832475472829,0.501600221246337,0.3316999250512956,42,6-6-8-10-40,70
NGN2,Isomorphic Pruning + Taylor,isomorphic_taylor,COMPLETE,1098522,56.16677440206852,5.6281088,2.715008,51.75985226156252,0.358455802188588,0.203384984236406,0.208161512778785,81.4377520758923,0.506848382009338,0.32485141027513,42,6-6-8-10-40,70
