epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3418.46,1.3186,5.14319,0.00653,0.71438,0.17208,0.18761,0.13395,1.23648,2.83948,0.00694,0.000222102,0.000222102,0.000222102
2,6744.39,1.29048,2.53177,0.00641,0.40532,0.3507,0.30161,0.21234,1.23793,1.72787,0.00702,0.000400437,0.000400437,0.000400437
3,10033.9,1.27232,1.66293,0.00637,0.49093,0.4024,0.38119,0.27111,1.20353,1.30785,0.00672,0.000534749,0.000534749,0.000534749
4,13317.8,1.26705,1.37653,0.00624,0.52597,0.44078,0.41172,0.29126,1.22166,1.17896,0.00701,0.000468901,0.000468901,0.000468901
5,16614.2,1.21995,1.22006,0.00587,0.53523,0.47656,0.44939,0.32392,1.18117,1.0928,0.00644,0.000402868,0.000402868,0.000402868
6,19899.1,1.20629,1.12418,0.00576,0.49658,0.52482,0.50089,0.36518,1.15529,1.00928,0.00626,0.000336835,0.000336835,0.000336835
7,23179.3,1.16587,1.03798,0.00539,0.6012,0.50442,0.52557,0.38027,1.14204,0.98,0.00602,0.000270802,0.000270802,0.000270802
8,26470.2,1.14932,1.00085,0.00523,0.52178,0.53777,0.55371,0.40672,1.12212,0.94477,0.00583,0.000204769,0.000204769,0.000204769
9,29790.2,1.13259,0.9498,0.00516,0.60818,0.49058,0.56265,0.41682,1.11509,0.91334,0.00576,0.000138736,0.000138736,0.000138736
10,33148.7,1.11236,0.92548,0.00496,0.60441,0.52512,0.57174,0.41772,1.10096,0.89717,0.00568,7.2703e-05,7.2703e-05,7.2703e-05
