epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1933.28,1.46271,4.02209,0.00769,0.57389,0.14878,0.11687,0.08247,1.4256,2.8473,0.00726,0.000222154,0.000222154,0.000222154
2,3799.42,1.43078,2.56848,0.00751,0.66721,0.16725,0.20281,0.13413,1.45979,2.1857,0.00767,0.000400483,0.000400483,0.000400483
3,34607.5,1.40753,1.92144,0.00738,0.42465,0.31105,0.25021,0.1663,1.4011,1.80554,0.00736,0.00053479,0.00053479,0.00053479
4,36500.3,1.38636,1.61201,0.0073,0.40491,0.32402,0.27856,0.18852,1.43081,1.69292,0.00754,0.000468901,0.000468901,0.000468901
5,38340.7,1.3693,1.42931,0.00703,0.44343,0.37086,0.32991,0.22355,1.39971,1.49849,0.00737,0.000402868,0.000402868,0.000402868
6,40209.4,1.33287,1.32471,0.00672,0.47785,0.39605,0.35477,0.245,1.3445,1.42532,0.00679,0.000336835,0.000336835,0.000336835
7,42092.6,1.29117,1.23843,0.00652,0.49217,0.40258,0.36955,0.25823,1.32358,1.36452,0.00666,0.000270802,0.000270802,0.000270802
8,43944.5,1.27549,1.17219,0.00622,0.46522,0.40159,0.39402,0.27577,1.30881,1.31784,0.00649,0.000204769,0.000204769,0.000204769
9,45822.2,1.24301,1.13272,0.00597,0.46652,0.41169,0.39503,0.27647,1.31207,1.29498,0.00644,0.000138736,0.000138736,0.000138736
10,47706.9,1.24344,1.09938,0.00597,0.50949,0.42977,0.40623,0.28587,1.29073,1.2708,0.00631,7.2703e-05,7.2703e-05,7.2703e-05
