epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,89.5009,1.31999,3.90637,0.00583,0.59695,0.23022,0.28432,0.20294,1.18386,2.84699,0.00636,0.00997925,0.00332642,0.00997925,0.00332642,0.00997925,0.00332642,0.00997925,0.00332642
2,156.463,1.29686,2.2121,0.0056,0.41705,0.34229,0.35079,0.24181,1.2448,1.8242,0.00689,0.0197815,0.00659382,0.0197815,0.00659382,0.0197815,0.00659382,0.0197815,0.00659382
3,217.003,1.33162,1.62593,0.00593,0.39908,0.429,0.38171,0.26166,1.26528,1.38689,0.00721,0.0293857,0.00979522,0.0293857,0.00979522,0.0293857,0.00979522,0.0293857,0.00979522
4,275.423,1.34641,1.43044,0.00615,0.34754,0.39671,0.3463,0.23743,1.25805,1.31337,0.00715,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,333.59,1.34217,1.30134,0.00603,0.48568,0.45579,0.46128,0.30235,1.24911,1.17698,0.00704,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,391.887,1.33153,1.22821,0.00597,0.51432,0.4559,0.45443,0.30707,1.26485,1.13203,0.00718,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,449.932,1.31536,1.17598,0.00585,0.49138,0.48556,0.48801,0.34535,1.20173,0.99301,0.00662,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,508.272,1.30987,1.14238,0.00576,0.48113,0.46595,0.47934,0.3371,1.19526,0.99505,0.00645,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,566.589,1.29189,1.10006,0.00574,0.45149,0.49086,0.47089,0.32309,1.20736,1.01011,0.00666,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,624.758,1.28057,1.06773,0.00562,0.55035,0.50532,0.52946,0.3704,1.1784,0.93715,0.00635,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,682.936,1.28291,1.0638,0.00551,0.55899,0.51333,0.54212,0.37549,1.17946,0.91319,0.00644,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,741.048,1.26791,1.02863,0.00546,0.56159,0.55625,0.56318,0.39521,1.16414,0.9042,0.00618,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,799.157,1.25944,1.01423,0.00542,0.65559,0.52691,0.57878,0.39413,1.18869,0.87296,0.00638,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,857.407,1.27004,1.00409,0.0054,0.55185,0.50485,0.53433,0.37715,1.14907,0.91823,0.00614,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,915.565,1.24583,0.98013,0.00532,0.61723,0.54105,0.57835,0.40659,1.14167,0.88428,0.00601,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,973.747,1.23768,0.95937,0.00534,0.58158,0.59084,0.59558,0.41109,1.15071,0.85993,0.00619,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,1031.97,1.23995,0.94267,0.00529,0.55359,0.58985,0.59049,0.4232,1.13011,0.84179,0.00596,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,1090.49,1.23955,0.9443,0.00528,0.62267,0.55568,0.59397,0.41786,1.15434,0.84362,0.00626,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,1148.85,1.22031,0.93188,0.00523,0.62428,0.57797,0.60288,0.42444,1.123,0.83148,0.00592,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,1207.56,1.22121,0.92814,0.00524,0.61579,0.5724,0.60156,0.43011,1.13366,0.82485,0.00601,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,1265.57,1.21207,0.9016,0.00517,0.63194,0.57937,0.60692,0.43413,1.13027,0.80945,0.00592,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,1323.71,1.21218,0.90531,0.00514,0.54646,0.62578,0.60071,0.42939,1.11535,0.79632,0.00585,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,1381.73,1.20394,0.89124,0.00511,0.63808,0.58632,0.6109,0.44303,1.11079,0.80431,0.00576,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
