layer_id,from,layer_name,layer_type,output_shape,parameters,mean_latency_ms,std_latency_ms,latency_percent
0,-1,ultralytics.nn.modules.conv.Conv,Conv,"[1, 16, 208, 208]",464,1.5783859929069877,0.18802567466840125,1.486779109521607
1,-1,ultralytics.nn.modules.conv.Conv,Conv,"[1, 32, 104, 104]",4672,1.6526259970851243,0.16320752582695544,1.5567103480138855
2,-1,ultralytics.nn.modules.block.C3k2,C3k2,"[1, 64, 104, 104]",6640,5.111136001069099,0.6340143382119444,4.814494215269654
3,-1,ultralytics.nn.modules.conv.Conv,Conv,"[1, 64, 52, 52]",36992,2.2592519875615835,0.5371569442198288,2.12812878050526
4,-1,ultralytics.nn.modules.block.C3k2,C3k2,"[1, 128, 52, 52]",26080,4.25746199907735,0.7788181458877327,4.010366024696037
5,-1,ultralytics.nn.modules.conv.Conv,Conv,"[1, 128, 26, 26]",147712,2.3113900027237833,1.0769133762667484,2.177240792461417
6,-1,ultralytics.nn.modules.block.C3k2,C3k2,"[1, 128, 26, 26]",87040,7.01249000383541,1.483678482286345,6.605496811479861
7,-1,ultralytics.nn.modules.conv.Conv,Conv,"[1, 256, 13, 13]",295424,1.615544008091092,1.222126151377168,1.5217805356463185
8,-1,ultralytics.nn.modules.block.C3k2,C3k2,"[1, 256, 13, 13]",346112,5.670605986379087,1.2396827134173456,5.341493498272205
9,-1,ultralytics.nn.modules.block.SPPF,SPPF,"[1, 256, 13, 13]",164608,5.188587997108698,0.6588186669726791,4.8874510269873905
10,-1,ultralytics.nn.modules.block.C2PSA,C2PSA,"[1, 256, 13, 13]",249728,5.7140099932439625,0.6474986036843295,5.382378409166135
11,-1,torch.nn.modules.upsampling.Upsample,Upsample,"[1, 256, 26, 26]",0,0.427308005746454,0.1490537839157844,0.4025077637093583
12,"[-1, 6]",ultralytics.nn.modules.conv.Concat,Concat,"[1, 384, 26, 26]",0,0.10938001098111272,0.018284828109543287,0.10303177806744866
13,-1,ultralytics.nn.modules.block.C3k2,C3k2,"[1, 128, 26, 26]",119808,7.2477239882573485,0.7627915588203412,6.8270782088438455
14,-1,torch.nn.modules.upsampling.Upsample,Upsample,"[1, 128, 52, 52]",0,0.5771680106408894,0.04471711225073546,0.5436701445408652
15,"[-1, 4]",ultralytics.nn.modules.conv.Concat,Concat,"[1, 256, 52, 52]",0,0.2101719845086336,0.05742077913575188,0.1979739540127491
16,-1,ultralytics.nn.modules.block.C3k2,C3k2,"[1, 64, 52, 52]",34304,8.163933991454542,0.8596524524919498,7.690112915696178
17,-1,ultralytics.nn.modules.conv.Conv,Conv,"[1, 64, 26, 26]",36992,1.0797139909118414,0.3064760168030847,1.0170491965589346
18,"[-1, 13]",ultralytics.nn.modules.conv.Concat,Concat,"[1, 192, 26, 26]",0,0.10424801148474216,0.013680080925150157,0.0981976312392534
19,-1,ultralytics.nn.modules.block.C3k2,C3k2,"[1, 128, 26, 26]",95232,6.994342003017664,1.0318847725820088,6.588402090279432
20,-1,ultralytics.nn.modules.conv.Conv,Conv,"[1, 128, 13, 13]",147712,1.0912460018880665,0.15728859888647068,1.027911908903871
21,"[-1, 10]",ultralytics.nn.modules.conv.Concat,Concat,"[1, 384, 13, 13]",0,0.09161199675872922,0.02666042155287218,0.08629498967586585
22,-1,ultralytics.nn.modules.block.C3k2,C3k2,"[1, 256, 13, 13]",463104,7.3231120011769235,0.8143107245706456,6.898090827570103
23,"[16, 19, 22]",ultralytics.nn.modules.head.Detect,Detect,"[[1, 300, 6], {one2many: {boxes: [1, 4, 3549], scores: [1, 11, 3549], feats: [[1, 64, 52, 52], [1, 128, 26, 26], [1, 256, 13, 13]]}, one2one: {boxes: [1, 4, 3549], scores: [1, 11, 3549], feats: [[1, 64, 52, 52], [1, 128, 26, 26], [1, 256, 13, 13]]}}]",245466,30.36998200463131,3.017346026985208,28.607359038882326
