group_id,root,current_channel_index,raw_l1_sum,rejected_lower_scoring_candidates,parameters_before,parameters_removed,parameters_after,dependency_operation_count,step,reduction_percent
DG001,model.0.conv,12,3.4787521362304688,0,2508090,317,2507773,4,1,0.012639099872813198
DG011,model.16.m.0.cv1.conv,8,4.005400657653809,0,2507773,646,2507127,15,2,0.03839575134864104
DG001,model.0.conv,6,4.185722351074219,0,2507127,317,2506810,4,3,0.051034851221443134
DG001,model.0.conv,4,4.705278396606445,0,2506810,317,2506493,4,4,0.06367395109425633
DG012,model.16.m.0.cv2.conv,1,4.746002197265625,0,2506493,66,2506427,5,5,0.06630543561036983
DG012,model.16.m.0.cv2.conv,1,4.887983798980713,0,2506427,66,2506361,5,6,0.06893692012647223
DG012,model.16.m.0.cv2.conv,1,5.0894927978515625,0,2506361,66,2506295,5,7,0.07156840464257463
DG011,model.16.m.0.cv1.conv,14,5.095611572265625,0,2506295,646,2505649,15,8,0.09732505611840248
DG012,model.16.m.0.cv2.conv,7,5.096527099609375,0,2505649,66,2505583,5,9,0.09995654063450488
DG011,model.16.m.0.cv1.conv,4,5.1279144287109375,0,2505583,646,2504937,15,10,0.12571319211033272
DG012,model.16.m.0.cv2.conv,6,5.285560607910156,0,2504937,66,2504871,5,11,0.12834467662643512
DG012,model.16.m.0.cv2.conv,0,5.3072052001953125,0,2504871,66,2504805,5,12,0.13097616114253752
DG012,model.16.m.0.cv2.conv,3,5.395896911621094,0,2504805,66,2504739,5,13,0.13360764565865102
DG012,model.16.m.0.cv2.conv,0,5.3977203369140625,0,2504739,66,2504673,5,14,0.13623913017475342
DG012,model.16.m.0.cv2.conv,7,5.4393696784973145,0,2504673,66,2504607,5,15,0.13887061469085582
DG021,model.2.cv2.conv,31,5.450377464294434,0,2504607,626,2503981,4,16,0.16382984661634792
DG011,model.16.m.0.cv1.conv,6,5.498329162597656,0,2503981,646,2503335,15,17,0.18958649809217576
DG012,model.16.m.0.cv2.conv,1,5.5077056884765625,0,2503335,66,2503269,5,18,0.19221798260827816
DG011,model.16.m.0.cv1.conv,0,5.525514602661133,0,2503269,646,2502623,15,19,0.217974634084106
DG011,model.16.m.0.cv1.conv,2,5.539501190185547,0,2502623,646,2501977,15,20,0.24373128555992274
DG011,model.16.m.0.cv1.conv,4,5.556327819824219,0,2501977,646,2501331,15,21,0.2694879370357506
DG021,model.2.cv2.conv,42,5.563755035400391,0,2501331,626,2500705,4,22,0.2944471689612427
DG012,model.16.m.0.cv2.conv,2,5.587226867675781,0,2500705,66,2500639,5,23,0.2970786534773451
DG011,model.16.m.0.cv1.conv,3,5.617881774902344,0,2500639,646,2499993,15,24,0.3228353049531729
DG012,model.16.m.0.cv2.conv,3,5.669952392578125,0,2499993,66,2499927,5,25,0.3254667894692753
DG011,model.16.m.0.cv1.conv,6,5.687196731567383,0,2499927,646,2499281,15,26,0.35122344094510316
