model_id,domain,method,paper_role,checkpoint_bytes,checkpoint_sha256,ncnn_param_bytes,ncnn_param_sha256,ncnn_bin_bytes,ncnn_bin_sha256
baseline_gen_640_fp32,GEN,Unpruned baseline,baseline,5385470,d0250e9ffd459c2c46a01ac81421d95e9e1d0bb35799b5dede30c92e7b94d250,26400,83c85979f397f1170553cf0ca8527d63df81bf4b460ef60465166fe444af245f,9609132,bad702c5e3b9d4e2c1dcbdd73d1abd9f787d97ee82b143544522e063429046a4
7_t7_gen_p56_25_640_fp32,GEN,XD-Prune T7,proposed,4811487,52431d9aebb986bb0149bfc3ee77d00cc7a1f4d4e6c325d16dec9ec96b642980,26336,8a00821ae8d760ae39064e1c836c8514afb0cc640d17078c0fa02ab2c1f67ff5,4067880,1f01ad6fc007e2f8a3c091d50ace2c322a3741c861cc3c20886702dcc40187d3
gen_global_l1_unrestricted_p56_640_fp32,GEN,Global L1 unrestricted,comparator,4817943,508af89d7f9f2956aef89aa910afaa6e02de53b97c7f3e8147af97361db4fcbf,26195,cd6d11d4d0980f156ee72f20ecc400b7fda306a916b1b2894fcf464dce78dc2c,4068476,de20e6df885391033ff5106e3ab6393b699d1e2f240d0b30eebe1fc743e6a717
snow_baseline_640_fp32,SNOW,Unpruned baseline,baseline,5374078,5c9bceba2872e98ee1beb967e10e4ca10e17bea6a8f8200e306bcdae067bdb68,26394,08fecdd2456db860a3ff1306f461100817fbf2ce348730133cfe06b0b1a86986,9606792,63d6ed0629e1167e3c5496baa46e9c1a45bbd3150df6d45f211fd4c695ebb72e
snow_xdprune_t7_56pct_640_fp32,SNOW,XD-Prune T7,proposed,4807470,ea94930eb6bf2660c1de36a448a0c21eedcfc2be8f498ae9f8d19e01570a54d3,26330,ed340d764510cff16e5e3a6c44a77b07fb0a4360f37aaf1ae6608f8ee50b4ce4,4065540,b4e8e2c35c3f0e165471a488abf4d81e58699ae15a67f0ef8156e0647e77e068
bdd_gen2_baseline_640_fp32,GEN2,Unpruned baseline,baseline,5377022,863520b6ac857d934efe910035ef3fbfc3dcf927e9d9eac29407ae1bce42d4ea,26394,b1b98420ab654faa833796e88f1048133c9395931a65c5552036bae4eac98a4e,9605232,d560062d610f2389aa05c5c378647cbd5450ae85eaccbc0e7af0ed8e8036ec6a
bdd_gen2_proposed_t7_56pct_640_fp32,GEN2,XD-Prune,proposed,4855347,5d9ed3fbe96dd1e5b2d3f794d57fa4668f11179910c864c66d84d4c106f23dab,26339,8cb08efef5a59271f651855d574378b77d9ed61ad7ff1665227528c57db45166,4117872,c3200b8bb933f1ab870f534f7c84657fcbf84398196b2920c248f5c4918ddc62
bdd_gen2_r4_signed_t7_56pct_640_fp32,GEN2,Formula R4 signed,ablation,4876595,e10be0ef58c18a976e126031f946d3269773e865db7cef6b9167755e7e655c67,26339,74ddb801e0a703b1f408a9223f1dfb3abc2f1c21aa3646470089dd039e8c7bb4,4138656,a22d7f15b4e7a7135110719ff27551e563665d0fa54093100a0df0675e835b9f
bdd_gen2_global_l1_t7_56pct_640_fp32,GEN2,Global L1 + DepGraph,comparator,4805107,d5b340264445f115bedf922bfb444db2aaab689b3d5c30477a793806885cb143,26332,2843a77e8c36bdfffd75c085f5c66fc0bfa269f4df557012fc341656eacbeca1,4070052,95d6af677584ec15cb50caef1662849a79e87989872dedd4b6d3e814d12924f2
bdd_gen2_fpgm_t7_56pct_640_fp32,GEN2,FPGM + DepGraph,comparator,4881139,2b3466b0081adda72dfaafd77634c4eedd99eb766dfd8f89e0fead784fbe5afc,26332,d7bbc1adcf8856dbdb0349f0a4c94b9bb3c0061382d17a0946d1087ef622a5dc,4146756,8b9daf1b71c4d2e4cec38235fea1c527dc44b36308797ddbc6f0b50d31f1be18
bdd_gen2_isomorphic_taylor_t7_56pct_640_fp32,GEN2,Isomorphic Pruning + Taylor,comparator,4869171,d5f6fff1f707c17fe4a01660248862185c1c57aae7866eaace7f5923fe0facf7,26334,92c361521f8d8c704783854cbebc8509dbb12718741b5d2a76161ca84a8d3310,4132788,497a5c82ee7f7285168b51fd97dd010c33898068f7f54bd81d3fe9012ea6471a
bdd_ngn2_baseline_640_fp32,NGN2,Unpruned baseline,baseline,5374398,6c5f7580651afd48862e598f649baf6d4d7cf23ceeadc5c42b105546af72c27d,26394,b1b98420ab654faa833796e88f1048133c9395931a65c5552036bae4eac98a4e,9605232,5070ce7281ca5539ba359df58d38e8264e84ad06ff7720c780efa62d96c11a55
bdd_ngn2_proposed_t7_56pct_640_fp32,NGN2,XD-Prune,proposed,4855347,be142682799f4ad977d0996825c9c7919749615ef5a4ffd8d2a6771c9d6559e0,26339,8cb08efef5a59271f651855d574378b77d9ed61ad7ff1665227528c57db45166,4117872,7dbffca9c563f2fa7adf7e6eed9bf2d9d8da55965391793f1ad280837a9d1793
