canonical_group_id,representative_original_group_id,representative_root,alias_count,original_group_ids,alias_roots,root_out_channels,probe_indices,dependency_operation_count,dependent_module_paths,operation_signature_sha256,pilot_parameters_removed_for_3_indices,gen_physical_status,snow_physical_status,t1_t2_status
DG001,G001,model.0.conv,1,G001,model.0.conv,16,0;8;15,4,model.0.bn; model.0.conv; model.1.conv,4D7253711C634DC176E2CAA3627CEDCF9DF9E3D8343437BC2C92D81EACFCAE18,951,PASS,PASS,PRIMARY_SWEEP
DG002,G002,model.1.conv,1,G002,model.1.conv,32,0;16;31,4,model.1.bn; model.1.conv; model.2.cv1.conv,6AC7F05A121F2C4B2285863C3491F64B07EE683089909686E420E35ADDF52183,534,PASS,PASS,PRIMARY_SWEEP
DG003,G004,model.10.cv2.conv,1,G004,model.10.cv2.conv,256,0;128;255,8,model.10.cv2.bn; model.10.cv2.conv; model.13.cv1.conv; model.22.cv1.conv,F2F461E787011C26EFE2E66CF6846D4E4BAF2E96DFA38D2E69F10C06800B1030,1926,PASS,PASS,PRIMARY_SWEEP
DG004,G005,model.10.m.0.ffn.0.conv,1,G005,model.10.m.0.ffn.0.conv,256,0;128;255,4,model.10.m.0.ffn.0.bn; model.10.m.0.ffn.0.conv; model.10.m.0.ffn.1.conv,38395DA3215F2F09E285F1675BD4340A9D3032468AA9CEFF6683E43576F452BE,774,PASS,PASS,PRIMARY_SWEEP
DG005,G008,model.13.cv2.conv,1,G008,model.13.cv2.conv,128,0;64;127,8,model.13.cv2.bn; model.13.cv2.conv; model.16.cv1.conv; model.19.cv1.conv,D559E2B24FCDA5B870E62A08DDB627C46D20E9303948C797239E03DF825820C3,1158,PASS,PASS,PRIMARY_SWEEP
DG006,G009,model.13.m.0.cv1.conv,3,G009; G013; G015,model.13.m.0.cv1.conv; model.13.m.0.m.0.cv2.conv; model.13.m.0.m.1.cv2.conv,32,0;16;31,15,model.13.m.0.cv1.bn; model.13.m.0.cv1.conv; model.13.m.0.cv3.conv; model.13.m.0.m.0.cv1.conv; model.13.m.0.m.0.cv2.bn; model.13.m.0.m.0.cv2.conv; model.13.m.0.m.1.cv1.conv; model.13.m.0.m.1.cv2.bn; model.13.m.0.m.1.cv2.conv,F0A87FD9F9E331CF0C35351F202A13987064692308DEADA8A5D29A7D0CE506E4,3858,PASS,PASS,PRIMARY_SWEEP
DG007,G010,model.13.m.0.cv2.conv,1,G010,model.13.m.0.cv2.conv,32,0;16;31,5,model.13.m.0.cv2.bn; model.13.m.0.cv2.conv; model.13.m.0.cv3.conv,EAE374EE683B94457EFBC3895AB24CC4B54EF503D8A3AD7CBAB555B37BAED9D7,390,PASS,PASS,PRIMARY_SWEEP
DG008,G012,model.13.m.0.m.0.cv1.conv,1,G012,model.13.m.0.m.0.cv1.conv,32,0;16;31,4,model.13.m.0.m.0.cv1.bn; model.13.m.0.m.0.cv1.conv; model.13.m.0.m.0.cv2.conv,8475FCDD9C3081145CB03CA2E98844E97A0A7EB7E0DCBE26B2ACC614A5CA23A9,1734,PASS,PASS,PRIMARY_SWEEP
DG009,G014,model.13.m.0.m.1.cv1.conv,1,G014,model.13.m.0.m.1.cv1.conv,32,0;16;31,4,model.13.m.0.m.1.cv1.bn; model.13.m.0.m.1.cv1.conv; model.13.m.0.m.1.cv2.conv,6D2F97E479B67E2211C3AC1093291176769811650D5194B259F1598A5E20CD1A,1734,PASS,PASS,PRIMARY_SWEEP
DG010,G017,model.16.cv2.conv,1,G017,model.16.cv2.conv,64,0;32;63,14,model.16.cv2.bn; model.16.cv2.conv; model.17.conv; model.23.cv2.0.0.conv; model.23.cv3.0.0.0.bn; model.23.cv3.0.0.0.conv; model.23.cv3.0.0.1.conv; model.23.one2one_cv2.0.0.conv; model.23.one2one_cv3.0.0.0.bn; model.23.one2one_cv3.0.0.0.conv; model.23.one2one_cv3.0.0.1.conv,858EBE161EE35413C8FB4B137CE7EEDBE99FF07D83247B53192E0B4290FC8095,3336,PASS,PASS,PRIMARY_SWEEP
