conv_root_id,module_path,module_type,in_channels,gen_out_channels,snow_out_channels,original_depgraph_id,category,canonical_group_id,canonical_representative_root,root_role,rule_or_block_family,t1_t2_disposition,reason
R001,model.0.conv,Conv2d,3,16,16,G001,VALIDATED_COMMON_GROUP,DG001,model.0.conv,REPRESENTATIVE,DepGraph-validated structured group,INCLUDED_ONCE_AS_DG001,"DepGraph matched; physical prune, 640-pixel forward, save and reload passed on GEN and SNOW"
R002,model.1.conv,Conv2d,16,32,32,G002,VALIDATED_COMMON_GROUP,DG002,model.1.conv,REPRESENTATIVE,DepGraph-validated structured group,INCLUDED_ONCE_AS_DG002,"DepGraph matched; physical prune, 640-pixel forward, save and reload passed on GEN and SNOW"
R003,model.2.cv1.conv,Conv2d,32,32,32,G035,CUSTOM_RULE_REQUIRED,,,CUSTOM_ROOT_ENTRY,C3k2/C3k split/residual,DEFERRED_UNTIL_CUSTOM_RULE_VALIDATION,C3k2 split/residual-aware paired rule required
R004,model.2.cv2.conv,Conv2d,48,64,64,G036,VALIDATED_COMMON_GROUP,DG021,model.2.cv2.conv,REPRESENTATIVE,DepGraph-validated structured group,INCLUDED_ONCE_AS_DG021,"DepGraph matched; physical prune, 640-pixel forward, save and reload passed on GEN and SNOW"
R005,model.2.m.0.cv1.conv,Conv2d,16,8,8,G037,VALIDATED_COMMON_GROUP,DG022,model.2.m.0.cv1.conv,REPRESENTATIVE,DepGraph-validated structured group,INCLUDED_ONCE_AS_DG022,"DepGraph matched; physical prune, 640-pixel forward, save and reload passed on GEN and SNOW"
R006,model.2.m.0.cv2.conv,Conv2d,8,16,16,G038,CUSTOM_RULE_REQUIRED,,,CUSTOM_ROOT_ENTRY,C3k2/C3k split/residual,DEFERRED_UNTIL_CUSTOM_RULE_VALIDATION,C3k2 split/residual-aware paired rule required
R007,model.3.conv,Conv2d,64,64,64,G046,VALIDATED_COMMON_GROUP,DG027,model.3.conv,REPRESENTATIVE,DepGraph-validated structured group,INCLUDED_ONCE_AS_DG027,"DepGraph matched; physical prune, 640-pixel forward, save and reload passed on GEN and SNOW"
R008,model.4.cv1.conv,Conv2d,64,64,64,G047,CUSTOM_RULE_REQUIRED,,,CUSTOM_ROOT_ENTRY,C3k2/C3k split/residual,DEFERRED_UNTIL_CUSTOM_RULE_VALIDATION,C3k2 split/residual-aware paired rule required
R009,model.4.cv2.conv,Conv2d,96,128,128,G048,VALIDATED_COMMON_GROUP,DG028,model.4.cv2.conv,REPRESENTATIVE,DepGraph-validated structured group,INCLUDED_ONCE_AS_DG028,"DepGraph matched; physical prune, 640-pixel forward, save and reload passed on GEN and SNOW"
R010,model.4.m.0.cv1.conv,Conv2d,32,16,16,G049,VALIDATED_COMMON_GROUP,DG029,model.4.m.0.cv1.conv,REPRESENTATIVE,DepGraph-validated structured group,INCLUDED_ONCE_AS_DG029,"DepGraph matched; physical prune, 640-pixel forward, save and reload passed on GEN and SNOW"
