domain,group_id,group_kind,eligible_for_cumulative_raw,selection_unit,score_basis,root_channels_before,selectable_units_before,selected_unit_count,prune_first_mean_score,prune_first_max_score,all_unit_score_mean,all_unit_score_std,domain_rank_prune_first_ascending
GEN2,DG001,GENERIC,False,output_channel,DepGraph_GroupMagnitudeImportance_p1_mean_mean,16,16,6,0.8189491629600525,0.864247739315033,1.0,0.17472749948501587,1
GEN2,DG016,GENERIC,True,output_channel,DepGraph_GroupMagnitudeImportance_p1_mean_mean,128,128,48,0.8201510310173035,0.9414064288139343,0.9999999403953552,0.17258356511592865,2
GEN2,DG010,GENERIC,True,output_channel,DepGraph_GroupMagnitudeImportance_p1_mean_mean,64,64,24,0.8598425984382629,0.9803891777992249,0.9999999403953552,0.1337638795375824,3
GEN2,DG018,GENERIC,True,output_channel,DepGraph_GroupMagnitudeImportance_p1_mean_mean,32,32,12,0.8984372019767761,0.9508017301559448,1.0000001192092896,0.13851910829544067,4
GEN2,DG024,GENERIC,True,output_channel,DepGraph_GroupMagnitudeImportance_p1_mean_mean,256,256,96,0.9012411236763,0.974097728729248,0.9999999403953552,0.09805531799793243,5
GEN2,DG021,GENERIC,True,output_channel,DepGraph_GroupMagnitudeImportance_p1_mean_mean,64,64,24,0.9056974053382874,0.9696220755577087,1.0000001192092896,0.08647952228784561,6
GEN2,DG023,GENERIC,True,output_channel,DepGraph_GroupMagnitudeImportance_p1_mean_mean,128,128,48,0.9062221646308899,0.9819993376731873,1.0,0.09069623798131943,7
GEN2,DG015,GENERIC,True,output_channel,DepGraph_GroupMagnitudeImportance_p1_mean_mean,64,64,24,0.9152587056159973,0.9813924431800842,1.0,0.07905501872301102,8
GEN2,DG026,GENERIC,True,output_channel,DepGraph_GroupMagnitudeImportance_p1_mean_mean,256,256,96,0.9211428761482239,0.9704498052597046,1.0,0.08021099865436554,9
GEN2,DG002,GENERIC,True,output_channel,DepGraph_GroupMagnitudeImportance_p1_mean_mean,32,32,12,0.9213221073150635,0.981923520565033,0.9999999403953552,0.07390554249286652,10
GEN2,DG022,GENERIC,True,output_channel,DepGraph_GroupMagnitudeImportance_p1_mean_mean,8,8,3,0.9218944907188416,0.9794163107872009,1.0,0.07259020209312439,11
GEN2,DG019,GENERIC,True,output_channel,DepGraph_GroupMagnitudeImportance_p1_mean_mean,32,32,12,0.9240637421607971,0.9649102687835693,1.0,0.07455652207136154,12
GEN2,DG012,GENERIC,True,output_channel,DepGraph_GroupMagnitudeImportance_p1_mean_mean,16,16,6,0.9283609986305237,0.9566669464111328,1.0,0.09420699626207352,13
GEN2,DG025,GENERIC,True,output_channel,DepGraph_GroupMagnitudeImportance_p1_mean_mean,64,64,24,0.9295911192893982,0.9682549834251404,1.0000001192092896,0.06592313945293427,14
GEN2,DG005,GENERIC,True,output_channel,DepGraph_GroupMagnitudeImportance_p1_mean_mean,128,128,48,0.9318349361419678,0.9851075410842896,1.0,0.06994351744651794,15
GEN2,DG014,GENERIC,True,output_channel,DepGraph_GroupMagnitudeImportance_p1_mean_mean,16,16,6,0.9321138858795166,0.9544825553894043,0.9999999403953552,0.06945439428091049,16
GEN2,CDG008,CUSTOM,True,hidden_channel,coupled_logical_l1,64,64,24,0.934323787689209,0.9739858508110046,1.0,0.06829852610826492,17
GEN2,CDG007,CUSTOM,True,hidden_channel,coupled_logical_l1,32,32,12,0.9399272799491882,0.9897884130477905,1.0,0.06023190915584564,18
GEN2,DG003,GENERIC,True,output_channel,DepGraph_GroupMagnitudeImportance_p1_mean_mean,256,256,96,0.9404303431510925,0.9773104190826416,1.0,0.05789725482463837,19
GEN2,DG033,GENERIC,True,output_channel,DepGraph_GroupMagnitudeImportance_p1_mean_mean,32,32,12,0.9407433867454529,0.979636549949646,1.0,0.05793802812695503,20
GEN2,DG041,GENERIC,True,output_channel,DepGraph_GroupMagnitudeImportance_p1_mean_mean,64,64,24,0.9413335919380188,0.9856199622154236,0.9999999403953552,0.06578614562749863,21
GEN2,DG004,GENERIC,True,output_channel,DepGraph_GroupMagnitudeImportance_p1_mean_mean,256,256,96,0.9424989223480225,0.9916391968727112,1.0000001192092896,0.06402739882469177,22
GEN2,CDG006,CUSTOM,True,hidden_channel,coupled_logical_l1,64,64,24,0.9448735117912292,0.9879998564720154,1.0,0.05825239047408104,23
GEN2,DG020,GENERIC,False,output_channel,DepGraph_GroupMagnitudeImportance_p1_mean_mean,32,32,12,0.9470493793487549,0.9806702136993408,1.0,0.052636612206697464,24
GEN2,DG009,GENERIC,True,output_channel,DepGraph_GroupMagnitudeImportance_p1_mean_mean,32,32,12,0.9471907615661621,0.9790306091308594,1.0,0.046053431928157806,25
GEN2,CDG002,CUSTOM,True,hidden_channel,coupled_logical_l1,32,32,12,0.9473970532417297,0.9660712480545044,0.9999999403953552,0.06639202684164047,26
GEN2,DG013,GENERIC,True,output_channel,DepGraph_GroupMagnitudeImportance_p1_mean_mean,16,16,6,0.9474248290061951,0.9878736138343811,0.9999999403953552,0.04929928854107857,27
