sequence_rank,T4_rank,ratio_percent,group_id,group_kind,representative_root,P_R4_prunability,sensitivity_S_R4,parameters_removed_isolated
1,1,25.0,DG026,GENERIC,model.22.m.0.1.ffn.0.conv,6.588618353324235,0.0,16512
2,2,25.0,DG025,GENERIC,model.22.m.0.0.cv1.conv,1.1131731376962557,0.012225473805171649,36896
3,3,25.0,DG038,GENERIC,model.8.m.0.cv1.conv,0.782585570706793,0.019933385453270846,41056
4,4,25.0,DG004,GENERIC,model.10.m.0.ffn.0.conv,0.7565706861082082,0.007708529783536843,16512
5,5,25.0,DG040,GENERIC,model.8.m.0.m.0.cv1.conv,0.7254278505795063,0.009156082925180744,18464
6,6,25.0,CDG009,CUSTOM,model.22,0.579807145426174,0.0848205893604278,124704
7,7,25.0,DG039,GENERIC,model.8.m.0.cv2.conv,0.5146259382154497,0.0022006831875650093,4128
8,8,25.0,CDG005,CUSTOM,model.10,0.44750032456544375,0.06265768864555893,71392
9,9,25.0,DG041,GENERIC,model.8.m.0.m.1.cv1.conv,0.41449750420888115,0.016774547088728248,18464
10,10,25.0,DG042,GENERIC,model.9.cv1.conv,0.4105787330663868,0.03886908099038545,41024
11,11,25.0,DG036,GENERIC,model.7.conv,0.4073024746054231,0.08740497582101038,90240
12,12,25.0,DG003,GENERIC,model.10.cv2.conv,0.30308575744485733,0.05309338327280429,41088
13,13,25.0,CDG004,CUSTOM,model.8,0.28653814076265366,0.06771421433199026,49344
14,14,25.0,DG037,GENERIC,model.8.cv2.conv,0.2759939598722743,0.11780646989216852,82176
15,15,25.0,DG034,GENERIC,model.6.m.0.m.0.cv1.conv,0.2706305612934738,0.005817665022445017,4624
16,16,25.0,DG023,GENERIC,model.20.conv,0.20740577054469247,0.08580463741381558,45120
17,17,25.0,DG031,GENERIC,model.6.cv2.conv,0.19620552391836035,0.16989452196399676,84032
18,18,25.0,DG024,GENERIC,model.22.cv2.conv,0.1444244442048385,0.14470053703713542,52736
19,19,25.0,DG035,GENERIC,model.6.m.0.m.1.cv1.conv,0.07798331717178579,0.02265978492131546,4624
20,20,25.0,DG033,GENERIC,model.6.m.0.cv2.conv,0.07772667052953654,0.004338975724940837,1040
21,21,25.0,DG019,GENERIC,model.19.m.0.m.0.cv1.conv,0.07579165909826674,0.02334395200853141,4624
22,22,25.0,DG007,GENERIC,model.13.m.0.cv2.conv,0.0679681961708978,0.0051055144981963455,1040
23,23,25.0,DG028,GENERIC,model.4.cv2.conv,0.06683411947243985,0.2500393401008323,42048
24,24,25.0,DG018,GENERIC,model.19.m.0.cv2.conv,0.0644794925488906,0.0054358572118571955,1040
25,25,25.0,DG008,GENERIC,model.13.m.0.m.0.cv1.conv,0.06089570391920331,0.02929882886620743,4624
26,26,25.0,DG009,GENERIC,model.13.m.0.m.1.cv1.conv,0.05801600179436559,0.030802751907567132,4624
27,27,25.0,CDG006,CUSTOM,model.13,0.05332559045123327,0.1529642710327678,20576
28,28,25.0,DG005,GENERIC,model.13.cv2.conv,0.046418970763831044,0.10517846633975608,12352
29,29,25.0,DG020,GENERIC,model.19.m.0.m.1.cv1.conv,0.042855587328794166,0.04205316125012008,4624
30,30,25.0,DG030,GENERIC,model.5.conv,0.041909982621541414,0.3895846707065891,41024
31,31,25.0,DG016,GENERIC,model.19.cv2.conv,0.03637737679058887,0.6251928748445753,57088
32,32,25.0,DG021,GENERIC,model.2.cv2.conv,0.03442474002452664,0.11509628383231942,10016
33,33,25.0,DG015,GENERIC,model.17.conv,0.029744641810726315,0.1505341830709379,11296
34,34,25.0,DG010,GENERIC,model.16.cv2.conv,0.026559219459696026,0.26630318535461633,17792
35,35,25.0,CDG003,CUSTOM,model.6,0.026385553760148332,0.18627913804320312,12384
36,36,25.0,DG017,GENERIC,model.19.m.0.cv1.conv,0.024932674654050586,0.16364811287067854,10288
37,37,25.0,DG006,GENERIC,model.13.m.0.cv1.conv,0.021294837336611014,0.19177526123903887,10288
38,38,25.0,CDG008,CUSTOM,model.19,0.020332859315628404,0.2822192290153029,14432
39,39,25.0,DG032,GENERIC,model.6.m.0.cv1.conv,0.017451012378158964,0.2342366580030531,10288
40,40,25.0,DG029,GENERIC,model.4.m.0.cv1.conv,0.013120347761863244,0.0693132472257411,2312
41,41,25.0,DG014,GENERIC,model.16.m.0.m.1.cv1.conv,0.011102465751564674,0.04069012706893653,1160
42,42,25.0,DG001,GENERIC,model.0.conv,0.009483441790320627,0.05235166070390998,1268
43,43,25.0,DG013,GENERIC,model.16.m.0.m.0.cv1.conv,0.008746240037282053,0.05192139319161479,1160
44,44,25.0,DG027,GENERIC,model.3.conv,0.005417042659388192,0.7556367422628221,10272
45,45,25.0,CDG007,CUSTOM,model.16,0.004146368340457312,0.5948785326399839,6192
46,46,25.0,DG012,GENERIC,model.16.m.0.cv2.conv,0.0038781468765357726,0.02616278809583615,264
47,47,25.0,DG022,GENERIC,model.2.m.0.cv1.conv,0.0032737719919518687,0.06969264583775757,580
48,48,25.0,CDG002,CUSTOM,model.4,0.0028450469758266833,0.9033369146851971,6448
49,49,25.0,DG011,GENERIC,model.16.m.0.cv1.conv,0.002579930057860328,0.39864947677282503,2584
50,50,25.0,DG002,GENERIC,model.1.conv,0.002365479913612803,0.23920685464426422,1424
51,51,25.0,CDG001,CUSTOM,model.2,0.0012382921848688108,0.5223082297247951,1624
