rank_by_prunability_descending,ratio_percent,group_id,group_kind,representative_root,parameters_removed,baseline_parameters,R_parameter_reduction_fraction,sensitivity_S_R4,epsilon,P_R4_prunability
1,25.0,DG026,GENERIC,model.22.m.0.1.ffn.0.conv,16512,2506140,0.006588618353324235,0.0,0.001,6.588618353324235
2,25.0,DG025,GENERIC,model.22.m.0.0.cv1.conv,36896,2506140,0.014722242173222565,0.012225473805171649,0.001,1.1131731376962557
3,25.0,DG038,GENERIC,model.8.m.0.cv1.conv,41056,2506140,0.016382165401773244,0.019933385453270846,0.001,0.782585570706793
4,25.0,DG004,GENERIC,model.10.m.0.ffn.0.conv,16512,2506140,0.006588618353324235,0.007708529783536843,0.001,0.7565706861082082
5,25.0,DG040,GENERIC,model.8.m.0.m.0.cv1.conv,18464,2506140,0.007367505406721093,0.009156082925180744,0.001,0.7254278505795063
6,25.0,CDG009,CUSTOM,model.22,124704,2506140,0.04975939093586152,0.0848205893604278,0.001,0.579807145426174
7,25.0,DG039,GENERIC,model.8.m.0.cv2.conv,4128,2506140,0.0016471545883310588,0.0022006831875650093,0.001,0.5146259382154497
8,25.0,CDG005,CUSTOM,model.10,71392,2506140,0.028486836329973585,0.06265768864555893,0.001,0.44750032456544375
9,25.0,DG041,GENERIC,model.8.m.0.m.1.cv1.conv,18464,2506140,0.007367505406721093,0.016774547088728248,0.001,0.41449750420888115
10,25.0,DG042,GENERIC,model.9.cv1.conv,41024,2506140,0.016369396761553624,0.03886908099038545,0.001,0.4105787330663868
11,25.0,DG036,GENERIC,model.7.conv,90240,2506140,0.036007565419330125,0.08740497582101038,0.001,0.4073024746054231
12,25.0,DG003,GENERIC,model.10.cv2.conv,41088,2506140,0.016394934041992864,0.05309338327280429,0.001,0.30308575744485733
13,25.0,CDG004,CUSTOM,model.8,49344,2506140,0.01968924321865498,0.06771421433199026,0.001,0.28653814076265366
14,25.0,DG037,GENERIC,model.8.cv2.conv,82176,2506140,0.03278986808398573,0.11780646989216852,0.001,0.2759939598722743
15,25.0,DG034,GENERIC,model.6.m.0.m.0.cv1.conv,4624,2506140,0.0018450685117351784,0.005817665022445017,0.001,0.2706305612934738
16,25.0,DG023,GENERIC,model.20.conv,45120,2506140,0.018003782709665062,0.08580463741381558,0.001,0.20740577054469247
17,25.0,DG031,GENERIC,model.6.cv2.conv,84032,2506140,0.033530449216723726,0.16989452196399676,0.001,0.19620552391836035
