sequence_rank,T4_rank,ratio_percent,group_id,group_kind,representative_root,P_R4_prunability,sensitivity_S_R4,parameters_removed_isolated
1,1,37.5,DG026,GENERIC,model.22.m.0.1.ffn.0.conv,8.115978413659104,0.00021771239723278386,24768
2,2,37.5,DG025,GENERIC,model.22.m.0.0.cv1.conv,0.8430312717163498,0.025195188720429952,55344
3,3,37.5,DG040,GENERIC,model.8.m.0.m.0.cv1.conv,0.6649108957981975,0.015620660271802388,27696
4,4,37.5,DG039,GENERIC,model.8.m.0.cv2.conv,0.6324947212607949,0.0029063280679584333,6192
5,5,37.5,DG004,GENERIC,model.10.m.0.ffn.0.conv,0.5913836327922196,0.015711533735426664,24768
6,6,37.5,CDG009,CUSTOM,model.22,0.587101158831911,0.12456565968061019,184752
7,7,37.5,DG038,GENERIC,model.8.m.0.cv1.conv,0.5400584004675052,0.04450109410646676,61584
8,8,37.5,DG041,GENERIC,model.8.m.0.m.1.cv1.conv,0.40335103967617914,0.026398610696414422,27696
9,9,37.5,CDG005,CUSTOM,model.10,0.38753108451210155,0.10689047400362035,104784
10,10,37.5,DG036,GENERIC,model.7.conv,0.38516115957141545,0.13923051594583374,135360
11,11,37.5,DG042,GENERIC,model.9.cv1.conv,0.3695194541861982,0.06544872107317469,61536
12,12,37.5,DG034,GENERIC,model.6.m.0.m.0.cv1.conv,0.24931883802333055,0.010100656450772415,6936
13,13,37.5,DG023,GENERIC,model.20.conv,0.24872014365652412,0.10757855607301237,67680
14,14,37.5,DG037,GENERIC,model.8.cv2.conv,0.23861010201157243,0.2051304266304415,123264
15,15,37.5,DG003,GENERIC,model.10.cv2.conv,0.21739091865747576,0.11212524559380255,61632
16,16,37.5,CDG004,CUSTOM,model.8,0.1842171046953447,0.15932096952574035,74016
17,17,37.5,DG024,GENERIC,model.22.cv2.conv,0.1705139251222978,0.18411144236614943,79104
18,18,37.5,DG031,GENERIC,model.6.cv2.conv,0.1699446493702541,0.2949532648510026,126048
19,19,37.5,DG033,GENERIC,model.6.m.0.cv2.conv,0.0987034388734632,0.005306479468304105,1560
20,20,37.5,DG035,GENERIC,model.6.m.0.m.1.cv1.conv,0.08995960433236373,0.029764950425722345,6936
21,21,37.5,DG019,GENERIC,model.19.m.0.m.0.cv1.conv,0.06819746774850767,0.0395821925501527,6936
22,22,37.5,DG018,GENERIC,model.19.m.0.cv2.conv,0.06650652454663425,0.008359551035778892,1560
23,23,37.5,DG007,GENERIC,model.13.m.0.cv2.conv,0.06290040374845621,0.00889614014555165,1560
24,24,37.5,DG016,GENERIC,model.19.cv2.conv,0.05229793281174975,0.6523505129294145,85632
25,25,37.5,DG009,GENERIC,model.13.m.0.m.1.cv1.conv,0.0519125110270879,0.05231282792617438,6936
26,26,37.5,DG028,GENERIC,model.4.cv2.conv,0.04746476600402509,0.5292246696157319,63072
27,27,37.5,DG030,GENERIC,model.5.conv,0.04577545618533463,0.5354030681183465,61536
28,28,37.5,CDG006,CUSTOM,model.13,0.045609506134852505,0.2690172515661884,30864
29,29,37.5,DG005,GENERIC,model.13.cv2.conv,0.042104457106353875,0.1745881252306818,18528
30,30,37.5,DG008,GENERIC,model.13.m.0.m.0.cv1.conv,0.03989774606819137,0.06836739641563987,6936
31,31,37.5,DG010,GENERIC,model.16.cv2.conv,0.03433208960650909,0.30917762289495526,26688
32,32,37.5,DG015,GENERIC,model.17.conv,0.030310190764211386,0.22206012683602527,16944
33,33,37.5,DG020,GENERIC,model.19.m.0.m.1.cv1.conv,0.02810417746737863,0.09747656174300806,6936
34,34,37.5,DG006,GENERIC,model.13.m.0.cv1.conv,0.024692191294886784,0.2483774923567501,15432
35,35,37.5,CDG003,CUSTOM,model.6,0.02245923722072654,0.3290288239820277,18576
36,36,37.5,DG017,GENERIC,model.19.m.0.cv1.conv,0.02131192746958861,0.2879310108012912,15432
37,37,37.5,DG032,GENERIC,model.6.m.0.cv1.conv,0.02070249966130941,0.29643638916319026,15432
38,38,37.5,CDG008,CUSTOM,model.19,0.01615307184646579,0.5337580442083708,21648
39,39,37.5,DG021,GENERIC,model.2.cv2.conv,0.013722938561007491,0.43585079230375523,15024
40,40,37.5,DG029,GENERIC,model.4.m.0.cv1.conv,0.01223907313641193,0.11206423030388607,3468
41,41,37.5,DG014,GENERIC,model.16.m.0.m.1.cv1.conv,0.009264237338724456,0.07394354759670531,1740
42,42,37.5,DG001,GENERIC,model.0.conv,0.007847971946672116,0.09570473572163089,1902
43,43,37.5,DG027,GENERIC,model.3.conv,0.00772178822719891,0.7952016161090132,15408
44,44,37.5,DG013,GENERIC,model.16.m.0.m.0.cv1.conv,0.005648466276796089,0.12191740410915353,1740
45,45,37.5,DG012,GENERIC,model.16.m.0.cv2.conv,0.005242426086979945,0.029140991994191862,396
46,46,37.5,CDG007,CUSTOM,model.16,0.004905215096248157,0.7545423668535063,9288
47,47,37.5,CDG002,CUSTOM,model.4,0.003891670206514943,0.9906877077403786,9672
48,48,37.5,DG022,GENERIC,model.2.m.0.cv1.conv,0.0036718157298542865,0.09354379835796163,870
49,49,37.5,DG011,GENERIC,model.16.m.0.cv1.conv,0.0030151993828129793,0.5119350833040669,3876
50,50,37.5,DG002,GENERIC,model.1.conv,0.0022396966874345123,0.37954560666246323,2136
51,51,37.5,CDG001,CUSTOM,model.2,0.0013726353414588533,0.7071361723395176,2436
