rank_by_sensitivity_ascending,ratio_percent,group_id,group_kind,representative_root,mAP_GEN2_baseline,mAP_GEN2_pruned,AD_GEN2,NAD_GEN2_signed,D_GEN2_nonnegative_harm,mAP_NGN2_baseline,mAP_NGN2_pruned,AD_NGN2,NAD_NGN2_signed,D_NGN2_nonnegative_harm,sensitivity_S_R4
1,25.0,DG026,GENERIC,model.22.m.0.1.ffn.0.conv,0.29238744923632365,0.292440465055548,-5.301581922434462e-05,-0.00018132043411170603,0.0,0.2556081270327769,0.2556850498607336,-7.692282795668248e-05,-0.00030094046245571286,0.0,-0.00022119377689304166
2,25.0,DG039,GENERIC,model.8.m.0.cv2.conv,0.29238744923632365,0.29142227102063956,0.0009651782156840927,0.003301024781347514,0.003301024781347514,0.2556081270327769,0.25572851743179964,-0.00012039039902272952,-0.0004709959750508705,0.0,0.002043684529214719
3,25.0,DG033,GENERIC,model.6.m.0.cv2.conv,0.29238744923632365,0.2914049031744498,0.000982546061873868,0.003360424889782872,0.003360424889782872,0.2556081270327769,0.2539987984821219,0.001609328550654987,0.006296077395256768,0.006296077395256768,0.004338975724940837
4,25.0,DG007,GENERIC,model.13.m.0.cv2.conv,0.29238744923632365,0.29103527490926456,0.0013521743270590858,0.004624597706196972,0.004624597706196972,0.2556081270327769,0.2540572635534311,0.0015508634793457987,0.006067348082195093,0.006067348082195093,0.0051055144981963455
5,25.0,DG018,GENERIC,model.19.m.0.cv2.conv,0.29238744923632365,0.2906957386500841,0.0016917105862395698,0.005785852267797706,0.005785852267797706,0.2556081270327769,0.25439760091347585,0.0012105261193010586,0.0047358670999761735,0.0047358670999761735,0.0054358572118571955
6,25.0,DG034,GENERIC,model.6.m.0.m.0.cv1.conv,0.29238744923632365,0.2906457702102468,0.0017416790260768589,0.005956750300417779,0.005956750300417779,0.2556081270327769,0.25419218722748654,0.0014159398052903671,0.0055394944664994925,0.0055394944664994925,0.005817665022445017
7,25.0,DG004,GENERIC,model.10.m.0.ffn.0.conv,0.29238744923632365,0.2898045352355357,0.0025829140007879725,0.008833874393494636,0.008833874393494636,0.2556081270327769,0.25421305862866617,0.0013950684041107442,0.005457840563621254,0.005457840563621254,0.007708529783536843
8,25.0,DG040,GENERIC,model.8.m.0.m.0.cv1.conv,0.29238744923632365,0.290541475444137,0.0018459737921866504,0.00631345085778505,0.00631345085778505,0.2556081270327769,0.251814558108134,0.003793568924642887,0.014841347059972133,0.014841347059972133,0.009156082925180744
9,25.0,DG025,GENERIC,model.22.m.0.0.cv1.conv,0.29238744923632365,0.2887790690066794,0.00360838022964427,0.012341091380867647,0.012341091380867647,0.2556081270327769,0.25254230215530016,0.0030658248774767527,0.011994238653779653,0.011994238653779653,0.012225473805171649
10,25.0,DG041,GENERIC,model.8.m.0.m.1.cv1.conv,0.29238744923632365,0.2860314198636408,0.00635602937268287,0.021738379637306446,0.021738379637306446,0.2556081270327769,0.2538580083508968,0.0017501186818801306,0.006846881991571852,0.006846881991571852,0.016774547088728248
11,25.0,DG038,GENERIC,model.8.m.0.cv1.conv,0.29238744923632365,0.28447457775421686,0.007912871482106787,0.02706296560530944,0.02706296560530944,0.2556081270327769,0.25415774897002924,0.0014503780627476703,0.005674225149193659,0.005674225149193659,0.019933385453270846
12,25.0,DG035,GENERIC,model.6.m.0.m.1.cv1.conv,0.29238744923632365,0.2847437336976172,0.007643715538706464,0.02614242013010754,0.02614242013010754,0.2556081270327769,0.2515964815757894,0.0040116454569875115,0.015694514503731306,0.015694514503731306,0.02265978492131546
13,25.0,DG019,GENERIC,model.19.m.0.m.0.cv1.conv,0.29238744923632365,0.28455907545467996,0.007828373781643694,0.02677397337707328,0.02677397337707328,0.2556081270327769,0.25139470585772394,0.004213421175052967,0.01648390927144768,0.01648390927144768,0.02334395200853141
14,25.0,DG012,GENERIC,model.16.m.0.cv2.conv,0.29238744923632365,0.28353344639768086,0.008854002838642794,0.03028174725614334,0.03028174725614334,0.2556081270327769,0.25102638464222604,0.004581742390550869,0.017924869775221768,0.017924869775221768,0.02616278809583615
15,25.0,DG008,GENERIC,model.13.m.0.m.0.cv1.conv,0.29238744923632365,0.2842468826223623,0.008140566613961342,0.027841710152824266,0.027841710152824266,0.2556081270327769,0.2473742054916472,0.008233921541129702,0.03221306629297376,0.03221306629297376,0.02929882886620743
16,25.0,DG009,GENERIC,model.13.m.0.m.1.cv1.conv,0.29238744923632365,0.2850545862558336,0.007332862980490074,0.02507926725186911,0.02507926725186911,0.2556081270327769,0.24480875492434076,0.01079937210843615,0.04224972121896318,0.04224972121896318,0.030802751907567132
