sequence_rank,T4_rank,ratio_percent,group_id,group_kind,representative_root,P_updated_prunability,B_geometric_resource_benefit,sensitivity_S_GEN_PROTECTED,parameters_removed_isolated,gflops_removed_isolated
1,1,12.5,DG026,GENERIC,model.22.m.0.1.ffn.0.conv,0.872615523561528,0.0019472869907788065,0.00028426509395957993,8256,0.006656000000000439
2,2,12.5,DG004,GENERIC,model.10.m.0.ffn.0.conv,0.7324856435365055,0.0019472869907788065,0.000711177387276622,8256,0.006656000000000439
3,3,12.5,DG025,GENERIC,model.22.m.0.0.cv1.conv,0.4700145297950474,0.004336316747957513,0.004889603884428873,18448,0.014771200000000206
4,4,12.5,DG038,GENERIC,model.8.m.0.cv1.conv,0.35297292510300443,0.0048287781431822245,0.008851529324516869,20528,0.016460799999999942
5,5,12.5,CDG005,CUSTOM,model.10,0.30737702588938154,0.008593649365317835,0.019364358688317596,36464,0.02935040000000022
6,6,12.5,CDG009,CUSTOM,model.22,0.2965717550792929,0.014860361172086164,0.03524677451287825,63120,0.050700799999999546
7,7,12.5,DG034,GENERIC,model.6.m.0.m.0.cv1.conv,0.2611921220199961,0.0010883068436388507,0.003078384078055691,2312,0.007424000000000319
8,8,12.5,DG040,GENERIC,model.8.m.0.m.0.cv1.conv,0.2484525804711925,0.0021709772159587684,0.006567017019566944,9232,0.007398400000000471
9,9,12.5,DG003,GENERIC,model.10.cv2.conv,0.19191717794872312,0.006119850290904913,0.02576812532605642,20544,0.02641919999999942
10,10,12.5,DG039,GENERIC,model.8.m.0.cv2.conv,0.18391344841958404,0.00048682174769466917,0.002160193747246319,2064,0.0016639999999998878
11,11,12.5,DG036,GENERIC,model.7.conv,0.16647562562850676,0.010608655343848639,0.05311632123333531,45120,0.036147200000001156
12,12,12.5,CDG004,CUSTOM,model.8,0.1544099356397022,0.005808060142981419,0.031806489198803536,24672,0.019814400000000454
13,13,12.5,DG042,GENERIC,model.9.cv1.conv,0.1419489407418894,0.004823141066649317,0.02915485863832487,20512,0.016435200000000094
14,14,12.5,DG021,GENERIC,model.2.cv2.conv,0.1343198765098522,0.0052671857404108305,0.03394656189897513,5008,0.08028159999999929
15,15,12.5,DG037,GENERIC,model.8.cv2.conv,0.12168271540612695,0.00966882898634026,0.06979051701912714,41088,0.03297280000000047
16,16,12.5,DG028,GENERIC,model.4.cv2.conv,0.10183477771584958,0.01158858288155812,0.10220930759839009,21024,0.09256960000000003
17,17,12.5,DG008,GENERIC,model.13.m.0.m.0.cv1.conv,0.10130879637438876,0.0010883068436388507,0.009654164517061064,2312,0.007424000000000319
18,18,12.5,DG023,GENERIC,model.20.conv,0.10084854738803364,0.005304327671924254,0.04729263886161302,22560,0.018073600000000134
19,19,12.5,DG033,GENERIC,model.6.m.0.cv2.conv,0.09568818205123701,0.0002462249658772172,0.0023269764535558957,520,0.0016895999999997358
20,20,12.5,DG018,GENERIC,model.19.m.0.cv2.conv,0.09201344598457695,0.0002462249658772172,0.0024297422608962347,520,0.0016895999999997358
21,21,12.5,DG041,GENERIC,model.8.m.0.m.1.cv1.conv,0.08970835401524761,0.0021709772159587684,0.022029413481096827,9232,0.007398400000000471
22,22,12.5,DG031,GENERIC,model.6.cv2.conv,0.08857049123586012,0.011558515270440143,0.11894223175217962,42016,0.04607999999999901
23,23,12.5,DG019,GENERIC,model.19.m.0.m.0.cv1.conv,0.08321792504686441,0.0010883068436388507,0.01198948670896376,2312,0.007424000000000319
24,24,12.5,DG030,GENERIC,model.5.conv,0.06801951642104959,0.009646282133298633,0.13217010588079578,20512,0.06574080000000038
25,25,12.5,DG024,GENERIC,model.22.cv2.conv,0.06754613441618769,0.006217790536533342,0.08583470943662906,26368,0.021248000000000822
26,26,12.5,DG005,GENERIC,model.13.cv2.conv,0.06647809715557806,0.0035697147307127033,0.05012789220226755,6176,0.02990080000000006
27,27,12.5,CDG006,CUSTOM,model.13,0.06086558658067624,0.004845685023651418,0.07476720127012561,10288,0.03307519999999986
28,28,12.5,DG035,GENERIC,model.6.m.0.m.1.cv1.conv,0.05844890553214292,0.0010883068436388507,0.01753149165781223,2312,0.007424000000000319
29,29,12.5,DG010,GENERIC,model.16.cv2.conv,0.05420486797977722,0.00656671075069479,0.11457943341378693,8896,0.07024640000000026
30,30,12.5,DG009,GENERIC,model.13.m.0.m.1.cv1.conv,0.049077413585443624,0.0010883068436388507,0.02108700281778232,2312,0.007424000000000319
31,31,12.5,DG007,GENERIC,model.13.m.0.cv2.conv,0.04766735118851048,0.0002462249658772172,0.0049192595793719875,520,0.0016895999999997358
32,32,12.5,DG016,GENERIC,model.19.cv2.conv,0.04399775297284025,0.009663542341090512,0.20997363656338228,28544,0.04741119999999999
33,33,12.5,DG001,GENERIC,model.0.conv,0.04143714586913262,0.0013585689323893945,0.03142768851594081,634,0.0421888000000008
