sequence_rank,T4_rank,ratio_percent,group_id,group_kind,representative_root,P_updated_prunability,B_geometric_resource_benefit,sensitivity_S_GEN_PROTECTED,parameters_removed_isolated,gflops_removed_isolated
1,1,25.0,DG026,GENERIC,model.22.m.0.1.ffn.0.conv,1.0,0.0038945739815574834,0.0,16512,0.01331199999999999
2,2,25.0,DG025,GENERIC,model.22.m.0.0.cv1.conv,0.41271281254362663,0.008672633495914898,0.012341091380867647,36896,0.029542399999999525
3,3,25.0,DG004,GENERIC,model.10.m.0.ffn.0.conv,0.3059739778802015,0.0038945739815574834,0.008833874393494636,16512,0.01331199999999999
4,4,25.0,DG040,GENERIC,model.8.m.0.m.0.cv1.conv,0.2910283253023574,0.004341954431917407,0.010577398958878591,18464,0.014796800000000054
5,5,25.0,DG034,GENERIC,model.6.m.0.m.0.cv1.conv,0.2676154283234564,0.0021766136872777013,0.005956750300417779,4624,0.014848000000000638
6,6,25.0,DG038,GENERIC,model.8.m.0.cv1.conv,0.26300160751675566,0.009657556286364449,0.02706296560530944,41056,0.032921599999999884
7,7,25.0,CDG009,CUSTOM,model.22,0.24545885682608284,0.029359831741760562,0.09025219660954537,124704,0.10017280000000017
8,8,25.0,DG039,GENERIC,model.8.m.0.cv2.conv,0.22777053852063758,0.0009736434953894682,0.003301024781347514,4128,0.0033280000000006638
9,9,25.0,CDG005,CUSTOM,model.10,0.2075958243767396,0.016826407148101644,0.06422728070240882,71392,0.057472000000000634
10,10,25.0,DG036,GENERIC,model.7.conv,0.16816782943837455,0.021217310687697017,0.10495016592513602,90240,0.07229440000000054
11,11,25.0,DG041,GENERIC,model.8.m.0.m.1.cv1.conv,0.16648385026022877,0.004341954431917407,0.021738379637306446,18464,0.014796800000000054
12,12,25.0,DG042,GENERIC,model.9.cv1.conv,0.16632740571008273,0.009646282133298633,0.04834946482203236,41024,0.03287040000000019
13,13,25.0,DG003,GENERIC,model.10.cv2.conv,0.1438187573908005,0.012239700581810032,0.07286533581167612,41088,0.05283840000000062
14,14,25.0,DG037,GENERIC,model.8.cv2.conv,0.1399644773068126,0.019337657972680392,0.11882352652766107,82176,0.06594560000000005
15,15,25.0,CDG004,CUSTOM,model.8,0.11762665765047747,0.011616120285962709,0.08713802709854862,49344,0.03962880000000002
16,16,25.0,DG023,GENERIC,model.20.conv,0.10819494029950774,0.010608655343848639,0.08744265199530708,45120,0.036147200000001156
17,17,25.0,DG031,GENERIC,model.6.cv2.conv,0.10640639517773616,0.023117030540880507,0.19413523613225434,84032,0.0921599999999998
18,18,25.0,DG033,GENERIC,model.6.m.0.cv2.conv,0.09255357985350897,0.0004924499317544991,0.00482825114251982,1040,0.0033792000000003597
19,19,25.0,DG007,GENERIC,model.13.m.0.cv2.conv,0.08434639738075586,0.0004924499317544991,0.005345972894196032,1040,0.0033792000000003597
20,20,25.0,DG018,GENERIC,model.19.m.0.cv2.conv,0.07843679964778101,0.0004924499317544991,0.005785852267797706,1040,0.0033792000000003597
21,21,25.0,DG028,GENERIC,model.4.cv2.conv,0.0780637696760094,0.02317716576311618,0.2737232511563988,42048,0.18513919999999917
22,22,25.0,DG035,GENERIC,model.6.m.0.m.1.cv1.conv,0.0768604501591952,0.0021766136872777013,0.02614242013010754,4624,0.014848000000000638
23,23,25.0,DG019,GENERIC,model.19.m.0.m.0.cv1.conv,0.07518374955366375,0.0021766136872777013,0.02677397337707328,4624,0.014848000000000638
24,24,25.0,DG021,GENERIC,model.2.cv2.conv,0.07496728382699223,0.010534371480821718,0.1299852117700894,10016,0.16056320000000035
25,25,25.0,DG024,GENERIC,model.22.cv2.conv,0.07482637419344912,0.012435581073066556,0.15375690395790348,52736,0.042496000000000755
26,26,25.0,DG008,GENERIC,model.13.m.0.m.0.cv1.conv,0.06758829829127151,0.0021766136872777013,0.030027388222899014,4624,0.014848000000000638
27,27,25.0,DG005,GENERIC,model.13.cv2.conv,0.06338765180516039,0.007139429461425407,0.10549180482645189,12352,0.05980160000000012
28,28,25.0,DG009,GENERIC,model.13.m.0.m.1.cv1.conv,0.06072953135188978,0.0021766136872777013,0.03366449423541615,4624,0.014848000000000638
29,29,25.0,CDG006,CUSTOM,model.13,0.059427068141561734,0.009691370047302902,0.1533886934721863,20576,0.06615040000000061
30,30,25.0,DG020,GENERIC,model.19.m.0.m.1.cv1.conv,0.04881770741699118,0.0021766136872777013,0.0424099472645814,4624,0.014848000000000638
31,31,25.0,DG001,GENERIC,model.0.conv,0.04843465436694954,0.0027171378647787604,0.0533819073393687,1268,0.08437759999999983
32,32,25.0,DG010,GENERIC,model.16.cv2.conv,0.04151579823333029,0.01313342150138958,0.3032141391928818,17792,0.14049280000000053
33,33,25.0,DG030,GENERIC,model.5.conv,0.04065378957285109,0.0192925642665972,0.4552650223521155,41024,0.13148159999999987
34,34,25.0,DG015,GENERIC,model.17.conv,0.032856417002594354,0.005315601494784877,0.15646714841264278,11296,0.03624960000000055
35,35,25.0,DG029,GENERIC,model.4.m.0.cv1.conv,0.029672309311336794,0.002176613687277669,0.071178434766806,2312,0.02969600000000039
36,36,25.0,DG017,GENERIC,model.19.m.0.cv1.conv,0.02869660550188722,0.004845685023651418,0.16401348625821827,10288,0.03307519999999986
37,37,25.0,CDG003,CUSTOM,model.6,0.027865198877610825,0.005841860972336225,0.20380534082926488,12384,0.03993599999999997
38,38,25.0,DG014,GENERIC,model.16.m.0.m.1.cv1.conv,0.025988986654468138,0.001093940911541747,0.04099853949510281,1160,0.01495040000000003
39,39,25.0,DG016,GENERIC,model.19.cv2.conv,0.025320762492805654,0.019327084682181025,0.7439629105410038,57088,0.09482239999999997
40,40,25.0,DG006,GENERIC,model.13.m.0.cv1.conv,0.02401892824867529,0.004845685023651418,0.19689874642984903,10288,0.03307519999999986
41,41,25.0,CDG008,CUSTOM,model.19,0.020878911406836703,0.006804240075803959,0.3190863173014328,14432,0.04648960000000013
42,42,25.0,DG013,GENERIC,model.16.m.0.m.0.cv1.conv,0.020595870716923148,0.001093940911541747,0.05202063368339788,1160,0.01495040000000003
43,43,25.0,DG032,GENERIC,model.6.m.0.cv1.conv,0.019744294114231047,0.004845685023651418,0.24057635921943982,10288,0.03307519999999986
44,44,25.0,DG022,GENERIC,model.2.m.0.cv1.conv,0.014729058881684624,0.001093940911541747,0.07317698979279857,580,0.02990080000000006
45,45,25.0,DG002,GENERIC,model.1.conv,0.010768728813468902,0.002691594826501965,0.24725386049367232,1424,0.07372800000000002
46,46,25.0,DG027,GENERIC,model.3.conv,0.009576237978988888,0.009668828986340227,1.0,10272,0.13189120000000099
47,47,25.0,CDG007,CUSTOM,model.16,0.0092905152193851,0.0058418609723362575,0.6229565247347274,6192,0.07987200000000083
48,48,25.0,DG012,GENERIC,model.16.m.0.cv2.conv,0.008248063405103534,0.0002518429883217992,0.03028174725614334,264,0.0034816000000006397
49,49,25.0,CDG002,CUSTOM,model.4,0.006555200630675522,0.006082455930911184,0.9218000412802198,6448,0.08314880000000002
50,50,25.0,DG011,GENERIC,model.16.m.0.cv1.conv,0.0053370597164389705,0.002439739719754705,0.4546920611930079,2584,0.03338239999999981
51,51,25.0,CDG001,CUSTOM,model.2,0.005282428648538924,0.00307499957659102,0.579043526045433,1624,0.08437759999999983
