rank_by_prunability_descending,ratio_percent,group_id,group_kind,representative_root,parameters_removed,gflops_removed,baseline_parameters,baseline_gflops,RP_parameter_reduction_fraction,RF_gflop_reduction_fraction,B_geometric_resource_benefit,sensitivity_S_GEN_PROTECTED,P_updated_prunability
1,25.0,DG026,GENERIC,model.22.m.0.1.ffn.0.conv,16512,0.01331199999999999,2506140,5.782528,0.006588618353324235,0.0023021073136178486,0.0038945739815574834,0.0,1.0
2,25.0,DG025,GENERIC,model.22.m.0.0.cv1.conv,36896,0.029542399999999525,2506140,5.782528,0.014722242173222565,0.0051089073844518395,0.008672633495914898,0.012341091380867647,0.41271281254362663
3,25.0,DG004,GENERIC,model.10.m.0.ffn.0.conv,16512,0.01331199999999999,2506140,5.782528,0.006588618353324235,0.0023021073136178486,0.0038945739815574834,0.008833874393494636,0.3059739778802015
4,25.0,DG040,GENERIC,model.8.m.0.m.0.cv1.conv,18464,0.014796800000000054,2506140,5.782528,0.007367505406721093,0.002558880821675235,0.004341954431917407,0.010577398958878591,0.2910283253023574
5,25.0,DG034,GENERIC,model.6.m.0.m.0.cv1.conv,4624,0.014848000000000638,2506140,5.782528,0.0018450685117351784,0.0025677350805738664,0.0021766136872777013,0.005956750300417779,0.2676154283234564
6,25.0,DG038,GENERIC,model.8.m.0.cv1.conv,41056,0.032921599999999884,2506140,5.782528,0.016382165401773244,0.005693288471754894,0.009657556286364449,0.02706296560530944,0.26300160751675566
7,25.0,CDG009,CUSTOM,model.22,124704,0.10017280000000017,2506140,5.782528,0.04975939093586152,0.01732335753497435,0.029359831741760562,0.09025219660954537,0.24545885682608284
8,25.0,DG039,GENERIC,model.8.m.0.cv2.conv,4128,0.0033280000000006638,2506140,5.782528,0.0016471545883310588,0.0005755268284045773,0.0009736434953894682,0.003301024781347514,0.22777053852063758
9,25.0,CDG005,CUSTOM,model.10,71392,0.057472000000000634,2506140,5.782528,0.028486836329973585,0.009938905613600252,0.016826407148101644,0.06422728070240882,0.2075958243767396
10,25.0,DG036,GENERIC,model.7.conv,90240,0.07229440000000054,2506140,5.782528,0.036007565419330125,0.012502213564724725,0.021217310687697017,0.10495016592513602,0.16816782943837455
