rank_by_sensitivity_ascending,ratio_percent,group_id,group_kind,representative_root,mAP_GEN2_baseline,mAP_GEN2_pruned,AD_GEN2,NAD_GEN2_signed,D_GEN2_nonnegative_harm,mAP_NGN2_baseline,mAP_NGN2_pruned,AD_NGN2,NAD_NGN2_signed,D_NGN2_nonnegative_harm,sensitivity_S_GEN_PROTECTED
1,37.5,DG026,GENERIC,model.22.m.0.1.ffn.0.conv,0.29238744923632365,0.2923277921063388,5.965712998484696e-05,0.0002040345101701981,0.0002040345101701981,0.2556081270327769,0.25554548561650076,6.26414162761546e-05,0.0002450681713579554,0.0002450681713579554,0.00022455134076407676
2,37.5,DG039,GENERIC,model.8.m.0.cv2.conv,0.29238744923632365,0.29121023667570756,0.0011772125606160921,0.004026207567017024,0.004026207567017024,0.2556081270327769,0.2554377465612968,0.0001703804714801027,0.0006665690698412521,0.0006665690698412521,0.004026207567017024
3,37.5,DG033,GENERIC,model.6.m.0.cv2.conv,0.29238744923632365,0.2913099396144412,0.0010775096218824665,0.0036852116077375255,0.0036852116077375255,0.2556081270327769,0.2534229292722301,0.00218519776054682,0.008549015189437265,0.008549015189437265,0.006117113398587395
4,37.5,DG007,GENERIC,model.13.m.0.cv2.conv,0.29238744923632365,0.2899853188058779,0.002402130430445737,0.008215572989606004,0.008215572989606004,0.2556081270327769,0.2529862843202488,0.002621842712528133,0.01025727445744294,0.01025727445744294,0.009236423723524472
5,37.5,DG018,GENERIC,model.19.m.0.cv2.conv,0.29238744923632365,0.28936292269090685,0.0030245265454167947,0.010344242043618656,0.010344242043618656,0.2556081270327769,0.254485964152192,0.0011221628805849204,0.004390169020099366,0.004390169020099366,0.010344242043618656
6,37.5,DG034,GENERIC,model.6.m.0.m.0.cv1.conv,0.29238744923632365,0.2899608789917268,0.0024265702445968595,0.008299160073165697,0.008299160073165697,0.2556081270327769,0.25210536292572067,0.0035027641070562443,0.013703649205985853,0.013703649205985853,0.011001404639575775
7,37.5,DG040,GENERIC,model.8.m.0.m.0.cv1.conv,0.29238744923632365,0.28849669001412503,0.0038907592221986143,0.013306861263575949,0.013306861263575949,0.2556081270327769,0.2504325076560401,0.005175619376736829,0.02024825828825526,0.02024825828825526,0.016777559775915607
8,37.5,DG004,GENERIC,model.10.m.0.ffn.0.conv,0.29238744923632365,0.28654823540825275,0.005839213828070899,0.019970808744773874,0.019970808744773874,0.2556081270327769,0.2537695419371657,0.0018385850956111893,0.007192983716732237,0.007192983716732237,0.019970808744773874
9,37.5,DG025,GENERIC,model.22.m.0.0.cv1.conv,0.29238744923632365,0.2854529322706554,0.006934516965668269,0.02371687630156591,0.02371687630156591,0.2556081270327769,0.2484122946966002,0.007195832336176711,0.028151813558158035,0.028151813558158035,0.02593434492986197
10,37.5,DG041,GENERIC,model.8.m.0.m.1.cv1.conv,0.29238744923632365,0.28558862195873874,0.006798827277584907,0.023252801361147754,0.023252801361147754,0.2556081270327769,0.2472522387320195,0.008355888300757397,0.03269022936694776,0.03269022936694776,0.027971515364047756
11,37.5,DG012,GENERIC,model.16.m.0.cv2.conv,0.29238744923632365,0.2826342940962212,0.009753155140102443,0.03335695552451503,0.03335695552451503,0.2556081270327769,0.2503147217325132,0.005293405300263732,0.02070906493354553,0.02070906493354553,0.03335695552451503
12,37.5,DG035,GENERIC,model.6.m.0.m.1.cv1.conv,0.29238744923632365,0.28260299338526507,0.009784455851058582,0.03346400769463345,0.03346400769463345,0.2556081270327769,0.24989098200382126,0.00571714502895565,0.02236683588790013,0.02236683588790013,0.03346400769463345
13,37.5,DG019,GENERIC,model.19.m.0.m.0.cv1.conv,0.29238744923632365,0.27972474380848006,0.01266270542784359,0.043307965033782606,0.043307965033782606,0.2556081270327769,0.24739527238376344,0.008212854649013474,0.03213064758289289,0.03213064758289289,0.043307965033782606
14,37.5,DG009,GENERIC,model.13.m.0.m.1.cv1.conv,0.29238744923632365,0.2779214466446358,0.014466002591687843,0.049475456725215396,0.049475456725215396,0.2556081270327769,0.2407860327900318,0.01482209424274511,0.05798757032809233,0.05798757032809233,0.05373151352665387
15,37.5,DG038,GENERIC,model.8.m.0.cv1.conv,0.29238744923632365,0.2765938134539975,0.015793635782326176,0.05401612081358831,0.05401612081358831,0.2556081270327769,0.24909752202786198,0.006510605004914932,0.025471040692223647,0.025471040692223647,0.05401612081358831
16,37.5,DG042,GENERIC,model.9.cv1.conv,0.29238744923632365,0.2710482628113059,0.021339186425017753,0.07298256638837547,0.07298256638837547,0.2556081270327769,0.24273032620331836,0.012877800829458552,0.05038103044277312,0.05038103044277312,0.07298256638837547
17,37.5,DG014,GENERIC,model.16.m.0.m.1.cv1.conv,0.29238744923632365,0.27133084203393737,0.02105660720238628,0.07201611169488732,0.07201611169488732,0.2556081270327769,0.23572221876374522,0.019885908269031694,0.0777984194003413,0.0777984194003413,0.07490726554761432
18,37.5,DG008,GENERIC,model.13.m.0.m.0.cv1.conv,0.29238744923632365,0.26796858731651957,0.02441886191980408,0.08351542442598968,0.08351542442598968,0.2556081270327769,0.24587678302079893,0.009731344011977977,0.03807134039494024,0.03807134039494024,0.08351542442598968
19,37.5,DG020,GENERIC,model.19.m.0.m.1.cv1.conv,0.29238744923632365,0.2644295922798836,0.02795785695644004,0.0956192101591986,0.0956192101591986,0.2556081270327769,0.22974281733689397,0.025865309695882938,0.10119126491062704,0.10119126491062704,0.09840523753491282
20,37.5,DG001,GENERIC,model.0.conv,0.29238744923632365,0.2632488768662778,0.029138572370045857,0.09965739790183148,0.09965739790183148,0.2556081270327769,0.23316588394015267,0.022442243092624242,0.08779941136122972,0.08779941136122972,0.09965739790183148
21,37.5,DG022,GENERIC,model.2.m.0.cv1.conv,0.29238744923632365,0.26290257230310465,0.029484876933218995,0.10084180087151311,0.10084180087151311,0.2556081270327769,0.23542842944610537,0.02017969758667154,0.07894779333085868,0.07894779333085868,0.10084180087151311
22,37.5,DG023,GENERIC,model.20.conv,0.29238744923632365,0.26358039833933616,0.028807050896987485,0.09852355486607785,0.09852355486607785,0.2556081270327769,0.22348111000849552,0.03212701702428139,0.1256885584868814,0.1256885584868814,0.11210605667647963
23,37.5,DG029,GENERIC,model.4.m.0.cv1.conv,0.29238744923632365,0.26137848523239426,0.031008964003929385,0.10605436069475825,0.10605436069475825,0.2556081270327769,0.2238912559884301,0.03171687104434681,0.1240839695221417,0.1240839695221417,0.11506916510844997
